"gameweek","player","pos","team_normalized","salary","ppg","pts_floor","pts_ceiling","sortino","form","matchup_quality","est_own_pct","est_captain_pct","cash_score","cash_rating","gpp_score","gpp_rating","captain_score","captain_rating","value","picked_by","n_games","actual_pts","actual_own_pct","actual_captain_pct","opponent","home_away"
18,"Pedro Neto","MID","Chelsea",12.3,4.32727272727273,1,8.7,1.86844860235441,4.32727272727273,65.6,12.6,0.1,94.2,"Cash Lock",80.2,"Leverage Gold",80.1,"Top Captain",0.35,"6.4",22,2.7,NA,NA,"West Ham","H"
18,"David Raya","GK","Arsenal",11.2,4.64090909090909,1,6.8,1.82589233477679,4.64090909090909,62,26.2,0,93,"Cash Lock",78.2,"Leverage Gold",64.9,"Live Longshot",0.41,"27.6",22,3.3,NA,NA,"Leeds United","A"
18,"Bart Verbruggen","GK","Brighton",4.9,3.76363636363636,1.2,7.8,1.90823695047613,3.76363636363636,55.2,11.1,0,92.2,"Cash Lock",78,"Leverage Gold",64.7,"Live Longshot",0.77,"11.5",22,2.2,NA,NA,"Everton","H"
18,"Morgan Rogers","MID","Aston Villa",7.5,5.46363636363636,2,13.3,1.93284347862639,5.46363636363636,55.2,32.3,19.6,91.3,"Cash Lock",75.6,"Leverage Gold",74.9,"Top Captain",0.73,"36.9",22,2.3,NA,NA,"Brentford","H"
18,"Robin Roefs","GK","Sunderland",8.4,4.67727272727273,0.7,8.3,1.75069145630782,4.67727272727273,60.7,14.5,0,91.3,"Cash Lock",84.7,"Leverage Gold",72.6,"Top Captain",0.56,"13",22,4,NA,NA,"Burnley","H"
18,"Granit Xhaka","MID","Sunderland",8.7,3.97727272727273,1.7,7.3,1.91634870274605,3.97727272727273,54,4.4,0.1,87.6,"Cash Lock",68.5,"Sneaky Good",59.6,"Live Longshot",0.46,"3.2",22,6,NA,NA,"Burnley","H"
18,"John McGinn","MID","Aston Villa",6.7,3.32272727272727,0.7,7.3,1.87089069673571,3.32272727272727,55.2,2.6,0.1,86.7,"Cash Lock",72.1,"Leverage Gold",59.1,"Live Longshot",0.5,"1.9",22,0.7,NA,NA,"Brentford","H"
18,"Marcus Tavernier","MID","Bournemouth",9.3,4.05,0.7,8.7,1.73149265514967,4.05,52.7,4.6,0.1,83.9,"Strong Play",74.8,"Leverage Gold",72.1,"Top Captain",0.44,"3.4",22,2.1,NA,NA,"Wolverhampton","A"
18,"Jarrod Bowen","MID","West Ham",10.2,4.54090909090909,2.3,8.4,2.33705734473243,4.54090909090909,48.5,26.2,2.7,82.6,"Strong Play",61.3,"Sneaky Good",59.2,"Live Longshot",0.45,"27.5",22,3.1,NA,NA,"Chelsea","A"
18,"Martin Dubravka","GK","Burnley",6.1,3.64545454545455,1.2,8.3,2.17200507336865,3.64545454545455,44.3,4.3,0,78.8,"Strong Play",74.9,"Leverage Gold",59.4,"Live Longshot",0.6,"2.4",22,9,NA,NA,"Sunderland","A"
18,"Yegor Yarmoliuk","MID","Brentford",6.9,2.80909090909091,0.7,6.3,1.79726068272028,2.80909090909091,48.7,1.2,0,77.6,"Strong Play",68,"Sneaky Good",71,"Top Captain",0.41,"0.2",22,5.3,NA,NA,"Aston Villa","A"
