Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1067895,4562192,Rai,Aaron,2026,expected,player,16.4
1067895,4562193,Morikawa,Collin,2026,expected,player,19.6
1067895,4562197,Reitan,Kristoffer,2026,expected,player,15.2
1067895,4562198,Kim,Michael,2026,expected,player,14.6
1067895,4562199,Echavarria,Nicolas,2026,expected,player,15.8
1067895,4562200,Pendrith,Taylor,2026,expected,player,15.2
1067895,4562201,McCarty,Matt,2026,expected,player,15
1067895,4562204,Gotterup,Christopher,2026,expected,player,17
1067895,4562205,Keefer,John,2026,expected,player,15.6
1067895,4562206,McNealy,Maverick,2026,expected,player,18.4
1067895,4562209,MacIntyre,Robert,2026,expected,player,19
1067895,4562210,Harman,Brian,2026,expected,player,16
1067895,4562212,Brennan,Michael,2026,expected,player,15.2
1067895,4562213,Gerard,Ryan,2026,expected,player,14.6
1067895,4562214,Bradley,Keegan,2026,expected,player,18.6
1067895,4562216,Conners,Corey,2026,expected,player,17.4
1067895,4562218,Spaun,J.J.,2026,expected,player,19.2
1067895,4562221,Horschel,Billy,2026,expected,player,14.8
1067895,4562222,Woo Kim,Si,2026,expected,player,18.8
1067895,4562228,Kitayama,Kurt,2026,expected,player,17.8
1067895,4562233,Matsuyama,Hideki,2026,expected,player,19.4
1067895,4562234,Stevens,Sam,2026,expected,player,14.6
1067895,4562241,Griffin,Ben,2026,expected,player,20.2
1067895,4562244,Taylor,Nick,2026,expected,player,18
1067895,4562245,Bridgeman,Jacob,2026,expected,player,14
1067895,4562246,Berger,Daniel,2026,expected,player,15
1067895,4562249,Hall,Harry,2026,expected,player,18.2
1067895,4562250,Scott,Adam,2026,expected,player,16.8
1067895,4562251,Hoge,Tom,2026,expected,player,12.6
1067895,4562252,Finau,Tony,2026,expected,player,14.2
1067895,4562253,McGreevy,Max,2026,expected,player,13.8
1067895,4562254,Highsmith,Joe,2026,expected,player,12.2
1067895,4562255,Coody,Pierceson,2026,expected,player,14.8
1067895,4562256,Knapp,Jake,2026,expected,player,15.6
1067895,4562257,L. Smith,Jordan,2026,expected,player,14.4
1067895,4562260,Fisk,Steven,2026,expected,player,13.6
1067895,4562262,Henley,Russell,2026,expected,player,20.6
1067895,4562263,Li,Hao-Tong,2026,expected,player,14.4
1067895,4562266,Van Rooyen,Erik,2026,expected,player,13.2
1067895,4562267,Grillo,Emiliano,2026,expected,player,14.8
1067895,4562269,Schmid,Matthias,2026,expected,player,14
1067895,4562272,Spieth,Jordan,2026,expected,player,16.6
1067895,4562273,Campbell,Brian,2026,expected,player,13
1067895,4562275,Theegala,Sahith,2026,expected,player,14.2
1067895,4562276,Brown,Daniel,2026,expected,player,13.6
1067895,4562279,Meissner,Mac,2026,expected,player,15
1067895,4562280,Whaley,Vince,2026,expected,player,14.6
1067895,4562281,Parry,John,2026,expected,player,14.4
1067895,4562282,Riley,Davis,2026,expected,player,12.8
