Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1070835,4353053,Stafford,Matthew,LAR,expected,quarterback,18.8
1070835,4353056,Garoppolo,Jimmy,LAR,unexpected,quarterback,16.3
1070835,4353057,Corum,Blake,LAR,expected,running_back,10.2
1070835,4353060,Williams,Kyren,LAR,expected,running_back,14.8
1070835,4353062,Rivers,Ronnie,LAR,unexpected,running_back,4.1
1070835,4353066,Smith,Xavier,LAR,unexpected,wide_receiver,6.6
1070835,4353068,Nacua,Puka,LAR,expected,wide_receiver,20
1070835,4353070,Adams,Davante,LAR,expected,wide_receiver,13.5
1070835,4353071,Mumpfield,Konata,LAR,expected,wide_receiver,5.8
1070835,4353073,Whittington,Jordan,LAR,expected,wide_receiver,5.5
1070835,4353074,Parkinson,Colby,LAR,expected,tight_end,10.3
1070835,4353075,DEF/ST Rams,,LAR,expected,defense_special,8.4
1070835,4353076,Ferguson,Terrance,LAR,expected,tight_end,5.7
1070835,4353077,Higbee,Tyler,LAR,expected,tight_end,8.7
1070835,4353079,Allen,Davis,LAR,expected,tight_end,5.3
1070835,4353173,Jones Jr.,Velus,SEA,unexpected,running_back,4.2
1070835,4353178,Akers,Cam,SEA,unexpected,running_back,4.3
1070835,4353188,Shaheed,Rashid,SEA,expected,wide_receiver,10.8
1070835,4353353,Lock,Drew,SEA,unexpected,quarterback,14.4
1070835,4353355,Darnold,Sam,SEA,expected,quarterback,16.9
1070835,4353357,Russell,Brady,SEA,unexpected,running_back,4
1070835,4353360,Ouzts,Robbie,SEA,possible,running_back,4
1070835,4353363,Charbonnet,Zach,SEA,injured,running_back,11.1
1070835,4353364,Walker III,Kenneth,SEA,expected,running_back,14.4
1070835,4353365,Smith-Njigba,Jaxon,SEA,expected,wide_receiver,19.8
1070835,4353367,Kupp,Cooper,SEA,expected,wide_receiver,10.1
1070835,4353371,Bobo,Jake,SEA,unexpected,wide_receiver,4.3
1070835,4353374,Young,Dareke,SEA,unexpected,wide_receiver,4.7
1070835,4353376, DEF/ST Seahawks,,SEA,expected,defense_special,8.8
1070835,4353378,Saubert,Eric,SEA,unexpected,tight_end,4.2
1070835,4353379,Kallerup,Nick,SEA,unexpected,tight_end,4
1070835,4353380,Arroyo,Elijah,SEA,expected,tight_end,5.5
1070835,4353381,Barner,AJ,SEA,expected,tight_end,11.6
