Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1068229,4352561,Kalinic,Nikola,CHI,unexpected,tight_end,4
1068229,4352577,Johnson,D'Ernest,NE,unexpected,running_back,4.1
1068229,4352601,Allen,Josh,BUF,possible,quarterback,20.5
1068229,4352602,Trubisky,Mitchell,BUF,unexpected,quarterback,18
1068229,4352603,Cook,James,BUF,expected,running_back,17.6
1068229,4352604,Davis,Ray,BUF,expected,running_back,6
1068229,4352606,Johnson,Ty,BUF,possible,running_back,9
1068229,4352608,Gilliam,Reggie,BUF,unexpected,running_back,4.3
1068229,4352612,Moore,Elijah,DEN,expected,wide_receiver,5.5
1068229,4352613,Coleman,Keon,BUF,expected,wide_receiver,7.4
1068229,4352614,Shavers,Tyrell,BUF,injured,wide_receiver,7.9
1068229,4352620,Shakir,Khalil,BUF,expected,wide_receiver,12.2
1068229,4352622,DEF/ST Bills,,BUF,expected,defense_special,8.5
1068229,4352624,Hawes,Jackson,BUF,expected,tight_end,5
1068229,4352625,Kincaid,Dalton,BUF,possible,tight_end,10
1068229,4352627,Knox,Dawson,BUF,expected,tight_end,8.6
1068229,4352659,Bagent,Tyson,CHI,unexpected,quarterback,15.4
1068229,4352660,Williams,Caleb,CHI,expected,quarterback,17.9
1068229,4352662,Keenum,Case,CHI,unexpected,quarterback,15.3
1068229,4352663,Homer,Travis,CHI,unexpected,running_back,4
1068229,4352665,Swift,D'Andre,CHI,expected,running_back,13.2
1068229,4352666,Monangai,Kyle,CHI,expected,running_back,9.9
1068229,4352672,Zaccheaus,Olamide,CHI,expected,wide_receiver,5.8
1068229,4352673,Duvernay,Devin,CHI,unexpected,wide_receiver,4.4
1068229,4352675,Odunze,Rome,CHI,expected,wide_receiver,10.3
1068229,4352676,Burden III,Luther,CHI,expected,wide_receiver,11.7
1068229,4352679,Walker,Jahdae,CHI,unexpected,wide_receiver,5.3
1068229,4352680,Moore,DJ,CHI,expected,wide_receiver,11.4
1068229,4352681,DEF/ST Bears,,CHI,expected,defense_special,8.2
1068229,4352683,Loveland,Colston,CHI,expected,tight_end,12.5
1068229,4352685,Kmet,Cole,CHI,expected,tight_end,7.5
1068229,4352686,Smythe,Durham,CHI,expected,tight_end,4.2
1068229,4352687,Carlson,Stephen,CHI,unexpected,tight_end,4
1068229,4352779,Nix,Bo,DEN,expected,quarterback,18.1
1068229,4352781,Stidham,Jarrett,DEN,unexpected,quarterback,15.6
1068229,4352782,Harvey,RJ,DEN,expected,running_back,14.8
1068229,4352783,Badie,Tyler,DEN,unexpected,running_back,6.3
1068229,4352785,McLaughlin,Jaleel,DEN,unexpected,running_back,8.4
1068229,4352789,Sutton,Courtland,DEN,expected,wide_receiver,13.3
1068229,4352791,Bandy,Michael,DEN,expected,wide_receiver,5
1068229,4352792,Bryant,Pat,DEN,expected,wide_receiver,9.8
1068229,4352797,Mims Jr.,Marvin,DEN,expected,wide_receiver,6.4
1068229,4352800,Franklin,Troy,DEN,expected,wide_receiver,9.4
1068229,4352801,Trautman,Adam,DEN,expected,tight_end,6.3
1068229,4352803,DEF/ST Broncos,,DEN,expected,defense_special,7.8
1068229,4352805,Engram,Evan,DEN,expected,tight_end,9.2
1068229,4352806,Adkins,Nate,DEN,unexpected,tight_end,4.9
1068229,4352856,Hardman,Mecole,BUF,unexpected,wide_receiver,4
1068229,4352867,Stroud,C.J.,HOU,expected,quarterback,16.6
1068229,4352869,Mills,Davis,HOU,unexpected,quarterback,16.1
1068229,4352871,Marks,Woody,HOU,expected,running_back,12.4
