Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price,Owned
1064791,4352517,Dallas,DeeJay,JAX,gameweek_off,running_back,7,0.00
1064791,4352561,Kalinic,Nikola,CHI,gameweek_off,tight_end,6,0.00
1064791,4352577,Johnson,D'Ernest,NE,unexpected,running_back,6,0.00
1064791,4352601,Allen,Josh,BUF,gameweek_off,quarterback,21.5,24.31
1064791,4352602,Trubisky,Mitchell,BUF,gameweek_off,quarterback,16.5,0.00
1064791,4352603,Cook,James,BUF,gameweek_off,running_back,19,15.82
1064791,4352604,Davis,Ray,BUF,gameweek_off,running_back,9.5,0.00
1064791,4352606,Johnson,Ty,BUF,gameweek_off,running_back,9,0.16
1064791,4352608,Gilliam,Reggie,BUF,gameweek_off,running_back,6,0.00
1064791,4352611,Palmer,Joshua,BUF,gameweek_off,wide_receiver,7,0.00
1064791,4352612,Moore,Elijah,DEN,expected,wide_receiver,7,0.00
1064791,4352613,Coleman,Keon,BUF,gameweek_off,wide_receiver,9,0.82
1064791,4352614,Shavers,Tyrell,BUF,gameweek_off,wide_receiver,7.5,0.00
1064791,4352618,Samuel,Curtis,BUF,gameweek_off,wide_receiver,8,0.16
1064791,4352620,Shakir,Khalil,BUF,gameweek_off,wide_receiver,10,40.62
1064791,4352622,DEF/ST Bills,,BUF,gameweek_off,defense_special,8,1.63
1064791,4352623,Latu,Keleki,BUF,gameweek_off,tight_end,6,0.00
1064791,4352624,Hawes,Jackson,BUF,gameweek_off,tight_end,7,0.33
1064791,4352625,Kincaid,Dalton,BUF,gameweek_off,tight_end,10.5,15.01
1064791,4352627,Knox,Dawson,BUF,gameweek_off,tight_end,8.5,3.75
1064791,4352630,Dalton,Andy,CAR,gameweek_off,quarterback,13.5,0.00
1064791,4352631,Young,Bryce,CAR,gameweek_off,quarterback,16.5,0.16
1064791,4352634,Dowdle,Rico,CAR,gameweek_off,running_back,10.5,0.65
1064791,4352636,Brooks,Jonathon,CAR,gameweek_off,running_back,6,0.00
1064791,4352637,Hubbard,Chuba,CAR,gameweek_off,running_back,11,0.00
1064791,4352638,Etienne,Trevor,CAR,gameweek_off,running_back,7.5,0.00
1064791,4352639,Coker,Jalen,CAR,gameweek_off,wide_receiver,9,0.65
1064791,4352642,Legette,Xavier,CAR,gameweek_off,wide_receiver,8,0.00
1064791,4352643,Moore,David,CAR,gameweek_off,wide_receiver,7,0.00
1064791,4352645,Tremayne,Brycen,CAR,gameweek_off,wide_receiver,6.5,0.00
1064791,4352646,Renfrow,Hunter,CAR,gameweek_off,wide_receiver,8,0.00
1064791,4352647,Thielen,Adam,PIT,gameweek_off,wide_receiver,9,0.00
1064791,4352648,Horn Jr.,Jimmy,CAR,gameweek_off,wide_receiver,6.5,0.00
1064791,4352649,McMillan,Tetairoa,CAR,gameweek_off,wide_receiver,10,2.28
1064791,4352651,DEF/ST Panthers,,CAR,gameweek_off,defense_special,7.5,0.00
1064791,4352652,Sanders,Ja'Tavion,CAR,gameweek_off,tight_end,9,0.00
1064791,4352656,Mitchell,James,CAR,gameweek_off,tight_end,6.5,0.00
1064791,4352657,Tremble,Tommy,CAR,gameweek_off,tight_end,7.5,0.16
1064791,4352658,Evans,Mitchell,CAR,gameweek_off,tight_end,7,0.00
1064791,4352659,Bagent,Tyson,CHI,gameweek_off,quarterback,14.5,0.00
1064791,4352660,Williams,Caleb,CHI,gameweek_off,quarterback,17.5,11.26
1064791,4352662,Keenum,Case,CHI,gameweek_off,quarterback,14,0.00
1064791,4352663,Homer,Travis,CHI,gameweek_off,running_back,6.5,0.00
1064791,4352664,Hankins,Deion,CHI,gameweek_off,running_back,6,0.00
1064791,4352665,Swift,D'Andre,CHI,gameweek_off,running_back,15,14.68
1064791,4352666,Monangai,Kyle,CHI,gameweek_off,running_back,9.5,5.06
1064791,4352667,Johnson,Roschon,CHI,gameweek_off,running_back,7,0.00
1064791,4352672,Zaccheaus,Olamide,CHI,gameweek_off,wide_receiver,7.5,0.82
1064791,4352673,Duvernay,Devin,CHI,gameweek_off,wide_receiver,6.5,0.00
1064791,4352675,Odunze,Rome,CHI,gameweek_off,wide_receiver,12.5,4.40
1064791,4352676,Burden III,Luther,CHI,gameweek_off,wide_receiver,12,10.93
1064791,4352679,Walker,Jahdae,CHI,gameweek_off,wide_receiver,8,0.00
1064791,4352680,Moore,DJ,CHI,gameweek_off,wide_receiver,11.5,8.97
1064791,4352681,DEF/ST Bears,,CHI,gameweek_off,defense_special,8,2.61
1064791,4352683,Loveland,Colston,CHI,gameweek_off,tight_end,13,34.09
1064791,4352685,Kmet,Cole,CHI,gameweek_off,tight_end,9,0.16
1064791,4352686,Smythe,Durham,CHI,gameweek_off,tight_end,6.5,0.00
1064791,4352687,Carlson,Stephen,CHI,gameweek_off,tight_end,6,0.00
1064791,4352717,McLachlan,Tanner,LAC,gameweek_off,tight_end,6,0.00
1064791,4352728,Strong Jr.,Pierre,GB,gameweek_off,running_back,6,0.00
1064791,4352729,Williams,Trayveon,CLE,gameweek_off,running_back,6,0.00
1064791,4352744,Bates,Brenden,CLE,gameweek_off,tight_end,6,0.00
1064791,4352779,Nix,Bo,DEN,injured,quarterback,20,2.94
1064791,4352781,Stidham,Jarrett,DEN,expected,quarterback,16,0.00
1064791,4352782,Harvey,RJ,DEN,expected,running_back,18,16.80
1064791,4352783,Badie,Tyler,DEN,unexpected,running_back,7,0.16
1064791,4352785,McLaughlin,Jaleel,DEN,expected,running_back,8,0.33
1064791,4352786,Burton,Michael,DEN,injured,running_back,6.5,0.00
1064791,4352787,Dobbins,J.K.,DEN,possible,running_back,11,0.00
1064791,4352788,Estime,Audric,NO,gameweek_off,running_back,8,0.00
1064791,4352789,Sutton,Courtland,DEN,expected,wide_receiver,15,7.99
1064791,4352790,Sherfield Sr.,Trent,ARI,gameweek_off,wide_receiver,6.5,0.00
1064791,4352791,Bandy,Michael,DEN,expected,wide_receiver,7.5,0.00
1064791,4352792,Bryant,Pat,DEN,unexpected,wide_receiver,8.5,9.62
1064791,4352796,Vele,Devaughn,NO,gameweek_off,wide_receiver,9.5,0.00
1064791,4352797,Mims Jr.,Marvin,DEN,expected,wide_receiver,10.5,0.82
1064791,4352800,Franklin,Troy,DEN,possible,wide_receiver,9.5,0.00
1064791,4352801,Trautman,Adam,DEN,expected,tight_end,7.5,0.00
1064791,4352802,Krull,Lucas,DEN,possible,tight_end,7,0.00
1064791,4352803,DEF/ST Broncos,,DEN,expected,defense_special,10,2.28
1064791,4352805,Engram,Evan,DEN,expected,tight_end,10,0.65
1064791,4352806,Adkins,Nate,DEN,expected,tight_end,8,0.00
1064791,4352820,Patrick,Tim,JAX,gameweek_off,wide_receiver,8.5,0.00
1064791,4352836,Love,Jordan,GB,gameweek_off,quarterback,15.5,0.16
1064791,4352837,Willis,Malik,GB,gameweek_off,quarterback,14.5,0.00
1064791,4352840,Wilson,Emanuel,GB,gameweek_off,running_back,8.5,0.00
