Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1044212,4352511,Brissett,Jacoby,ARI,unexpected,quarterback,17.4
1044212,4352514,Benson,Trey,ARI,possible,running_back,6
1044212,4352516,Carter,Michael,ARI,expected,running_back,6.3
1044212,4352518,Knight,Bam,ARI,unexpected,running_back,10.2
1044212,4352519,Demercado,Emari,ARI,possible,running_back,6.8
1044212,4352520,Harrison Jr.,Marvin,ARI,expected,wide_receiver,12.3
1044212,4352522,Wilson,Michael,ARI,expected,wide_receiver,13.4
1044212,4352523,Jackson,Trishton,ARI,refuted,wide_receiver,4
1044212,4352525,Baccellia,Andre,ARI,possible,wide_receiver,4.2
1044212,4352528,DEF/ST Cardinals,,ARI,expected,defense_special,7.2
1044212,4352529,Dortch,Greg,ARI,expected,wide_receiver,8.4
1044212,4352531,Weaver,Xavier,ARI,unexpected,wide_receiver,4.5
1044212,4352532,Deguara,Josiah,ARI,unexpected,tight_end,4.1
1044212,4352533,Higgins,Elijah,ARI,expected,tight_end,6.4
1044212,4352537,McBride,Trey,ARI,expected,tight_end,18.7
1044212,4352541,Cousins,Kirk,ATL,unexpected,quarterback,14.6
1044212,4352542,Allgeier,Tyler,ATL,expected,running_back,9.8
1044212,4352543,Robinson,Bijan,ATL,expected,running_back,18.3
1044212,4352547,Carter,Nathan,ATL,unexpected,running_back,4.2
1044212,4352549,Agnew,Jamal,ATL,unexpected,wide_receiver,4.1
1044212,4352550,Mooney,Darnell,ATL,expected,wide_receiver,9.6
1044212,4352551,Sills V,David,ATL,unexpected,wide_receiver,6.1
1044212,4352553,London,Drake,ATL,possible,wide_receiver,17.7
1044212,4352559,Washington,Casey,ATL,unexpected,wide_receiver,4.9
1044212,4352560,Hodge,KhaDarel,ATL,expected,wide_receiver,4.5
1044212,4352562,DEF/ST Falcons,,ATL,expected,defense_special,7.2
1044212,4352563,Pitts Sr.,Kyle,ATL,expected,tight_end,11.2
1044212,4352565,Woerner,Charlie,ATL,expected,tight_end,4.5
1044212,4352566,Franks,Feleipe,ATL,possible,tight_end,4.3
1044212,4352567,Quitoriano,Teagan,ATL,expected,tight_end,4
1044212,4352569,Jackson,Lamar,BAL,expected,quarterback,18.3
1044212,4352570,Rush,Cooper,BAL,unexpected,quarterback,15.7
1044212,4352571,Ali,Rasheen,BAL,unexpected,running_back,4.8
1044212,4352572,Henry,Derrick,BAL,expected,running_back,16.3
1044212,4352573,Mitchell,Keaton,BAL,expected,running_back,7.3
1044212,4352578,Ricard,Patrick,BAL,unexpected,running_back,4.2
1044212,4352579,Hopkins,DeAndre,BAL,expected,wide_receiver,6.9
1044212,4352581,Bateman,Rashod,BAL,expected,wide_receiver,8.2
1044212,4352582,Flowers,Zay,BAL,expected,wide_receiver,13.2
1044212,4352585,Wester,LaJohntay,BAL,unexpected,wide_receiver,4
