Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1064802,4352517,Dallas,DeeJay,JAX,unexpected,running_back,4.1
1064802,4352561,Kalinic,Nikola,CHI,unexpected,tight_end,4
1064802,4352577,Johnson,D'Ernest,NE,unexpected,running_back,4.8
1064802,4352601,Allen,Josh,BUF,expected,quarterback,21
1064802,4352602,Trubisky,Mitchell,BUF,unexpected,quarterback,18.5
1064802,4352603,Cook,James,BUF,expected,running_back,18.5
1064802,4352604,Davis,Ray,BUF,expected,running_back,6.2
1064802,4352606,Johnson,Ty,BUF,possible,running_back,9.7
1064802,4352608,Gilliam,Reggie,BUF,unexpected,running_back,4.2
1064802,4352611,Palmer,Joshua,BUF,possible,wide_receiver,7.2
1064802,4352613,Coleman,Keon,BUF,expected,wide_receiver,7.1
1064802,4352614,Shavers,Tyrell,BUF,expected,wide_receiver,7.5
1064802,4352620,Shakir,Khalil,BUF,expected,wide_receiver,11.5
1064802,4352622,DEF/ST Bills,,BUF,expected,defense_special,8.7
1064802,4352623,Latu,Keleki,BUF,unexpected,tight_end,4.3
1064802,4352624,Hawes,Jackson,BUF,unexpected,tight_end,5.5
1064802,4352625,Kincaid,Dalton,BUF,expected,tight_end,10.4
1064802,4352627,Knox,Dawson,BUF,expected,tight_end,9.6
1064802,4352630,Dalton,Andy,CAR,unexpected,quarterback,13.2
1064802,4352631,Young,Bryce,CAR,expected,quarterback,15.7
1064802,4352634,Dowdle,Rico,CAR,expected,running_back,12.5
1064802,4352637,Hubbard,Chuba,CAR,expected,running_back,9.4
1064802,4352638,Etienne,Trevor,CAR,unexpected,running_back,4.5
1064802,4352639,Coker,Jalen,CAR,expected,wide_receiver,13.7
1064802,4352642,Legette,Xavier,CAR,expected,wide_receiver,8.4
1064802,4352643,Moore,David,CAR,unexpected,wide_receiver,4.2
1064802,4352645,Tremayne,Brycen,CAR,expected,wide_receiver,4.8
1064802,4352646,Renfrow,Hunter,CAR,refuted,wide_receiver,6.3
1064802,4352647,Thielen,Adam,PIT,expected,wide_receiver,8
1064802,4352648,Horn Jr.,Jimmy,CAR,expected,wide_receiver,5.5
1064802,4352649,McMillan,Tetairoa,CAR,expected,wide_receiver,14.1
1064802,4352651,DEF/ST Panthers,,CAR,expected,defense_special,7.2
1064802,4352656,Mitchell,James,CAR,unexpected,tight_end,4.3
1064802,4352657,Tremble,Tommy,CAR,expected,tight_end,8.7
1064802,4352658,Evans,Mitchell,CAR,expected,tight_end,5.2
1064802,4352659,Bagent,Tyson,CHI,unexpected,quarterback,15
1064802,4352660,Williams,Caleb,CHI,expected,quarterback,17.5
1064802,4352662,Keenum,Case,CHI,unexpected,quarterback,14.9
1064802,4352663,Homer,Travis,CHI,unexpected,running_back,4
1064802,4352665,Swift,D'Andre,CHI,expected,running_back,12.7
1064802,4352666,Monangai,Kyle,CHI,expected,running_back,10.6
1064802,4352672,Zaccheaus,Olamide,CHI,expected,wide_receiver,6.5
1064802,4352673,Duvernay,Devin,CHI,unexpected,wide_receiver,4.5
1064802,4352675,Odunze,Rome,CHI,expected,wide_receiver,11
1064802,4352676,Burden III,Luther,CHI,expected,wide_receiver,10.9
1064802,4352679,Walker,Jahdae,CHI,unexpected,wide_receiver,5.6
1064802,4352680,Moore,DJ,CHI,expected,wide_receiver,11.7
1064802,4352681,DEF/ST Bears,,CHI,expected,defense_special,8.1
1064802,4352683,Loveland,Colston,CHI,expected,tight_end,12
1064802,4352685,Kmet,Cole,CHI,expected,tight_end,7.7
1064802,4352686,Smythe,Durham,CHI,unexpected,tight_end,4.3
1064802,4352687,Carlson,Stephen,CHI,unexpected,tight_end,4
1064802,4352717,McLachlan,Tanner,LAC,unexpected,tight_end,4
1064802,4352728,Strong Jr.,Pierre,GB,unexpected,running_back,4
1064802,4352820,Patrick,Tim,JAX,expected,wide_receiver,5.6
1064802,4352836,Love,Jordan,GB,expected,quarterback,16.2
1064802,4352837,Willis,Malik,GB,possible,quarterback,15.7
1064802,4352840,Wilson,Emanuel,GB,expected,running_back,8.8
1064802,4352841,Jacobs,Josh,GB,expected,running_back,15
1064802,4352842,Brooks,Chris,GB,unexpected,running_back,6.1
1064802,4352844,Johnson,Amar,LAC,unexpected,running_back,4.1
1064802,4352847,Watson,Christian,GB,expected,wide_receiver,12.8
1064802,4352849,Golden,Matthew,GB,expected,wide_receiver,6
1064802,4352851,Doubs,Romeo,GB,expected,wide_receiver,10.2
1064802,4352852,Wicks,Dontayvion,GB,injured,wide_receiver,6.1
1064802,4352853,Reed,Jayden,GB,expected,wide_receiver,10.9
1064802,4352856,Hardman,Mecole,BUF,unexpected,wide_receiver,4
1064802,4352860,Musgrave,Luke,GB,expected,tight_end,7.6
1064802,4352862,DEF/ST Packers,,GB,expected,defense_special,7.8
1064802,4352867,Stroud,C.J.,HOU,expected,quarterback,16.7
1064802,4352868,Mertz,Graham,HOU,unexpected,quarterback,14.2
1064802,4352869,Mills,Davis,HOU,unexpected,quarterback,16.2
1064802,4352871,Marks,Woody,HOU,expected,running_back,10.5
1064802,4352872,Johnson,Jakob,HOU,unexpected,running_back,4
1064802,4352873,Jordan,Jawhar,HOU,possible,running_back,7.5
1064802,4352874,Ogunbowale,Dare,HOU,expected,running_back,5.1
1064802,4352875,Chubb,Nick,HOU,expected,running_back,7.2
1064802,4352878,Watson,Justin,HOU,unexpected,wide_receiver,4.3
1064802,4352879,Berrios,Braxton,HOU,expected,wide_receiver,4.6
1064802,4352881,Higgins,Jayden,HOU,expected,wide_receiver,10.8
1064802,4352885,Hutchinson,Xavier,HOU,expected,wide_receiver,6.9
1064802,4352888,Collins,Nico,HOU,expected,wide_receiver,16.4
1064802,4352889,Kirk,Christian,HOU,expected,wide_receiver,7.7
1064802,4352890,Noel,Jaylin,HOU,expected,wide_receiver,6.4
1064802,4352891,DEF/ST Texans,,HOU,expected,defense_special,9.2
1064802,4352892,Schultz,Dalton,HOU,expected,tight_end,10.9
