Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1059277,23044,Stones,John,MCI,injured,defender,9.7
1059277,23059,Coleman,Seamus,EVE,injured,defender,6.3
1059277,23076,Maguire,Harry,MUN,injured,defender,11.2
1059277,23117,Milner,James,BHA,unexpected,midfielder,7
1059277,23120,Gomez,Joe,LIV,injured,defender,10.3
1059277,23148,Zinchenko,Oleksandr,NTG,unexpected,defender,8.4
1059277,23188,Shaw,Luke,MUN,expected,defender,11.1
1059277,23238,van Dijk,Virgil,LIV,expected,defender,10.6
1059277,23260,Walker,Kyle,BUR,expected,defender,5.5
1059277,23287,Tarkowski,James,EVE,expected,defender,6.9
1059277,23326,Iwobi,Alex,FUL,suspended,midfielder,7.5
1059277,23331,Welbeck,Danny,BHA,possible,forward,11
1059277,23346,Ake,Nathan,MCI,unexpected,defender,9.5
1059277,23404,Ward-Prowse,James,WHU,unexpected,midfielder,7.8
1059277,23433,Pickford,Jordan,EVE,expected,goalkeeper,7.4
1059277,23490,Davies,Ben,TOT,unexpected,defender,6.1
1059277,24087,Pope,Nick,NEW,unexpected,goalkeeper,10.2
1059277,32948,Wan-Bissaka,Aaron,WHU,suspended,defender,5.7
1059277,32973,Rice,Declan,ARS,expected,midfielder,11.7
1059277,32986,Jesus,Gabriel,ARS,possible,forward,10.8
1059277,45008,Dunk,Lewis,BHA,expected,defender,7.2
1059277,45018,March,Solly,BHA,injured,midfielder,9.3
1059277,45036,Hughes,Will,CRY,expected,midfielder,7.9
1059277,45039,Barnes,Harvey,NEW,possible,midfielder,11.5
1059277,45072,Lascelles,Jamaal,NEW,injured,defender,9.1
1059277,45081,Silva,Bernardo,MCI,expected,midfielder,12.3
1059277,45106,Salah,Mohamed,LIV,suspended,midfielder,14.3
1059277,45120,Robertson,Andrew,LIV,possible,defender,10.1
1059277,45474,Richarlison,Richarlison,TOT,expected,forward,9.2
1059277,46637,Walker-Peters,Kyle,WHU,expected,defender,5.9
1059277,55898,Foden,Phil,MCI,expected,midfielder,14
1059277,57345,Wood,Chris,NTG,injured,forward,9.1
1059277,69539,Hudson-Odoi,Callum,NTG,expected,midfielder,9.4
1059277,76982,Nketiah,Eddie,CRY,expected,forward,9.7
1059277,77164,Nelson,Reiss,BRE,unexpected,midfielder,8.1
1059277,77662,Dubravka,Martin,BUR,expected,goalkeeper,6
1059277,84632,Willock,Joe,NEW,unexpected,midfielder,9.1
1059277,88449,Diop,Issa,FUL,unexpected,defender,5.7
1059277,88472,Leno,Bernd,FUL,expected,goalkeeper,6.7
1059277,88492,Maddison,James,TOT,injured,midfielder,8
1059277,88528,Jimenez,Raul,FUL,expected,forward,7.6
1059277,88531,Gibbs-White,Morgan,NTG,expected,midfielder,9.8
1059277,88556,Boly,Willy,NTG,suspended,defender,7.9
1059277,90433,Bissouma,Yves,TOT,suspended,midfielder,6
1059277,90826,Alisson,Becker,LIV,expected,goalkeeper,11
1059277,91161,Schar,Fabian,NEW,expected,defender,9.4
1059277,91483,Digne,Lucas,AV,possible,defender,5.2
1059277,92389,Kovacic,Mateo,MCI,injured,midfielder,9.9
1059277,92390,Arrizabalaga,Kepa,ARS,unexpected,goalkeeper,11.7
1059277,92423,Burn,Dan,NEW,injured,defender,9.9
1059277,95817,Longstaff,Sean,LEE,injured,midfielder,4.7
1059277,96761,McNeil,Dwight,EVE,expected,midfielder,6.3
1059277,106430,Saka,Bukayo,ARS,expected,midfielder,12.8
1059277,106466,Kilman,Max,WHU,expected,defender,5.8
1059277,110910,Tielemans,Youri,AV,expected,midfielder,4.7
1059277,131313,Martinez,Emiliano,AV,expected,goalkeeper,5.6
1059277,131314,Mings,Tyrone,AV,injured,defender,4.8
1059277,131333,McGinn,John,AV,expected,midfielder,5.1
1059277,131338,Grealish,Jack,EVE,expected,midfielder,7.6
1059277,132424,Trossard,Leandro,ARS,expected,midfielder,12.5
1059277,132974,Rodri,Rodri,MCI,unexpected,midfielder,10
1059277,134708,Konsa,Ezri,AV,expected,defender,5
1059277,137292,Justin,James,LEE,unexpected,defender,3.9
1059277,137599,Joelinton,Joelinton,NEW,possible,midfielder,9.3
1059277,137863,Henderson,Dean,CRY,expected,goalkeeper,8.8
1059277,139207,Neto,Pedro,CHE,expected,midfielder,13.7
1059277,139208,Webster,Adam,BHA,injured,defender,6.6
1059277,139802,Mount,Mason,MUN,expected,midfielder,13.9
1059277,139838,Krafth,Emil,NEW,injured,defender,9
1059277,140008,Martinelli,Gabriel,ARS,unexpected,midfielder,12
1059277,140028,Kelleher,Caoimhin,BRE,expected,goalkeeper,8.2
1059277,140080,Ramsdale,Aaron,NEW,expected,goalkeeper,10.1
1059277,148332,James,Reece,CHE,expected,defender,9.2
1059277,154682,Jones,Curtis,LIV,expected,midfielder,12.1
1059277,156926,Williams,Neco,NTG,expected,defender,8.9
1059277,160700,Soucek,Tomas,WHU,unexpected,midfielder,8.6
1059277,160701,Fernandes,Bruno,MUN,injured,midfielder,15.3
1059277,161049,Bowen,Jarrod,WHU,expected,midfielder,9.4
1059277,163914,Mac Allister,Alexis,LIV,expected,midfielder,12.4
1059277,164449,Pedro,Joao,CHE,expected,forward,13.5
1059277,174861,Mitchell,Tyrick,CRY,expected,defender,8.2
1059277,176641,White,Ben,ARS,injured,defender,11
1059277,176648,Phillips,Kalvin,MCI,unexpected,midfielder,9.7
1059277,176811,Heaton,Tom,MUN,unexpected,goalkeeper,11.3
1059277,177020,Veltman,Joel,BHA,unexpected,defender,6.9
1059277,180321,Eze,Eberechi,ARS,unexpected,midfielder,12.6
1059277,181081,Magalhaes,Gabriel,ARS,expected,defender,11.4
1059277,181873,Cash,Matty,AV,suspended,defender,5.3
1059277,182119,Castagne,Timothy,FUL,unexpected,defender,5.9
1059277,182529,Havertz,Kai,ARS,injured,forward,11.9
1059277,183114,Watkins,Ollie,AV,expected,forward,5.7
1059277,183126,Areola,Alphonse,WHU,expected,goalkeeper,6.4
1059277,184652,Hoever,Ki-Jana,WOL,expected,defender,3.1
1059277,185623,Murphy,Jacob,NEW,expected,midfielder,11.6
1059277,186002,Ramsey,Jacob,NEW,expected,midfielder,9.2
1059277,186737,Dias,Ruben,MCI,expected,defender,10.2
1059277,186823,Fofana,Wesley,CHE,expected,defender,8.6
1059277,187323,Ait Nouri,Rayan,MCI,suspended,defender,9.8
1059277,187804,Andersen,Joachim,FUL,expected,defender,6.2
1059277,189201,Clyne,Nathaniel,CRY,expected,defender,7.7
1059277,192195,Henry,Rico,BRE,expected,defender,7.2
1059277,192197,Pinnock,Ethan,BRE,unexpected,defender,7.1
1059277,192201,Norgaard,Christian,ARS,unexpected,midfielder,10.3
1059277,192208,Raya,David,ARS,expected,goalkeeper,11.8
1059277,192210,Jensen,Mathias,BRE,expected,midfielder,9
1059277,192211,Janelt,Vitaly,BRE,expected,midfielder,7.3
1059277,192214,Mbeumo,Bryan,MUN,suspended,midfielder,15
1059277,192735,Buendia,Emiliano,AV,expected,midfielder,5.5
1059277,192955,Williams,Rhys,LIV,unexpected,defender,9.7
1059277,192988,Sánchez,Robert,CHE,expected,goalkeeper,9.6
1059277,197282,Steele,Jason,BHA,unexpected,goalkeeper,7.6
1059277,197966,Smith Rowe,Emile,FUL,expected,midfielder,7.2
1059277,198784,Diallo,Amad,MUN,suspended,midfielder,14.7
1059277,200376,Anderson,Elliot,NTG,expected,midfielder,9.5
1059277,201968,Mateta,Jean-Philippe,CRY,expected,forward,10.8
1059277,201990,Odegaard,Martin,ARS,expected,midfielder,11
1059277,203010,Caicedo,Moises,CHE,expected,midfielder,12.7
1059277,219749,Elanga,Anthony,NEW,unexpected,midfielder,10.8
1059277,225319,Konate,Ibrahima,LIV,expected,defender,10.5
1059277,228177,Sancho,Jadon,AV,unexpected,midfielder,4.5
1059277,230737,Travers,Mark,EVE,unexpected,goalkeeper,7.3
1059277,230742,Smith,Adam,BOU,possible,defender,4.7
1059277,230744,Lerma,Jefferson,CRY,possible,midfielder,8.3
1059277,230747,Cook,Lewis,BOU,expected,midfielder,4.3
1059277,230752,Brooks,David,BOU,possible,midfielder,5.3
1059277,230753,Solanke,Dominic,TOT,injured,forward,8.1
1059277,230755,Anthony,Jaidon,BUR,expected,midfielder,6.5
1059277,230938,Spence,Djed,TOT,expected,defender,6.4
1059277,230975,Worrall,Joe,BUR,unexpected,defender,4.9
1059277,230985,Yates,Ryan,NTG,injured,midfielder,7.8
1059277,230991,Johnson,Brennan,TOT,unexpected,midfielder,8.6
1059277,231147,Adarabioyo,Tosin,CHE,unexpected,defender,8.5
1059277,231153,Robinson,Antonee,FUL,expected,defender,6
1059277,231155,Tete,Kenny,FUL,expected,defender,6.4
1059277,231160,Reed,Harrison,FUL,unexpected,midfielder,5.7
1059277,231167,Carvalho,Fabio,BRE,injured,midfielder,8.8
1059277,231959,Sa,Jose,WOL,expected,goalkeeper,4.4
1059277,231961,Guehi,Marc,CRY,expected,defender,8.5
1059277,233401,Onyeka,Frank,BRE,suspended,midfielder,8.7
1059277,234793,Wilson,Harry,FUL,expected,midfielder,7.8
1059277,234799,Ajer,Kristoffer,BRE,possible,defender,7.7
1059277,234803,Collins,Nathan,BRE,expected,defender,7.4
1059277,237976,Livramento,Valentino,NEW,injured,defender,9.7
1059277,237977,Bettinelli,Marcus,MCI,unexpected,goalkeeper,10.3
1059277,241952,Romero,Cristian,TOT,expected,defender,6.7
1059277,241953,Elliott,Harvey,AV,unexpected,midfielder,4.4
1059277,242869,Broja,Armando,BUR,expected,forward,5.5
1059277,242870,Gordon,Anthony,NEW,expected,midfielder,11.4
1059277,242875,Branthwaite,Jarrad,EVE,injured,defender,6.5
1059277,242878,Dewsbury-Hall,Kiernan,EVE,injured,midfielder,7.5
1059277,242906,Palmer,Cole,CHE,expected,midfielder,13.1
1059277,242908,Dalot,Diogo,MUN,expected,defender,11.4
1059277,242911,Wissa,Yoane,NEW,possible,forward,10.9
1059277,242981,Chalobah,Trevoh,CHE,expected,defender,9.3
1059277,255546,Garner,James,EVE,expected,midfielder,7
1059277,257178,Hwang,Hee-chan,WOL,expected,midfielder,5.1
1059277,257179,Cucurella,Marc,CHE,expected,defender,9
1059277,258290,Christie,Ryan,BOU,unexpected,midfielder,6
1059277,274827,Mykolenko,Vitaliy,EVE,expected,defender,6.7
1059277,274923,Patterson,Nathan,EVE,unexpected,defender,6.4
1059277,278659,Trippier,Kieran,NEW,injured,defender,9.5
1059277,280711,Gomes,Toti,WOL,injured,defender,3.3
1059277,280848,Hill,James,BOU,unexpected,defender,4.5
1059277,283020,Guimaraes,Bruno,NEW,expected,midfielder,12.2
1059277,291491,Kulusevski,Dejan,TOT,injured,midfielder,7.9
1059277,291492,Bentancur,Rodrigo,TOT,expected,midfielder,7.4
1059277,495578,Iroegbunam,Timothy,EVE,expected,midfielder,6.1
1059277,1214404,Garnacho,Alejandro,CHE,expected,midfielder,12.5
1059277,1677493,Saliba,William,ARS,expected,defender,11.2
1059277,1677501,Haaland,Erling,MCI,expected,forward,14.9
1059277,1677507,Austin,Brandon,TOT,unexpected,goalkeeper,6.9
1059277,1697059,Kamara,Boubacar,AV,suspended,midfielder,4.3
1059277,1727417,Awoniyi,Taiwo,NTG,unexpected,forward,8.1
1059277,1727418,Adingra,Simon,SUN,expected,midfielder,5
1059277,1727421,Botman,Sven,NEW,injured,defender,9.3
1059277,1758327,Ortega,Stefan,MCI,unexpected,goalkeeper,10.5
1059277,1758328,Johnstone,Sam,WOL,unexpected,goalkeeper,4.5
1059277,1777193,Malacia,Tyrell,MUN,unexpected,defender,10.3
1059277,1783652,Mitoma,Kaoru,BHA,possible,midfielder,10.4
1059277,1783661,Lavia,Romeo,CHE,injured,midfielder,8.5
1059277,1783664,Sarr,Pape,TOT,suspended,midfielder,7.7
1059277,1783669,Adams,Tyler,BOU,injured,midfielder,5.6
1059277,1803646,Hickey,Aaron,BRE,unexpected,defender,7.3
1059277,1814996,Lewis-Potter,Keane,BRE,expected,defender,7.9
1059277,1818085,Martinez,Lisandro,MUN,expected,defender,10.6
1059277,1908560,Richards,Chris,CRY,unexpected,defender,8
1059277,1954998,Tavernier,Marcus,BOU,expected,midfielder,6.9
1059277,2018115,Senesi,Marcos,BOU,expected,defender,5.1
1059277,2018116,Onana,Amadou,AV,expected,midfielder,4.2
1059277,2024700,Colwill,Levi,CHE,injured,defender,8.4
1059277,2064482,Damsgaard,Mikkel,BRE,possible,midfielder,9.3
1059277,2087563,Lewis,Rico,MCI,unexpected,defender,9.9
1059277,2139824,Nunes,Matheus,MCI,expected,defender,10.4
1059277,2170280,Casemiro,Casemiro,MUN,expected,midfielder,14.4
1059277,2200000,Isak,Alexander,LIV,injured,forward,13.2
1059277,2209114,van Hecke,Jan Paul,BHA,expected,defender,7.5
1059277,2235927,Paqueta,Lucas,WHU,expected,midfielder,9
1059277,2268238,Gueye,Idrissa,EVE,suspended,midfielder,6.6
1059277,2584318,Bueno,Hugo,WOL,possible,defender,3.6
1059277,2624511,Yarmoliuk,Yegor,BRE,expected,midfielder,7.8
1059277,2707125,Hall,Lewis,NEW,expected,defender,9.2
1059277,2818755,Gakpo,Cody,LIV,possible,midfielder,13.8
1059277,2818757,Buonanotte,Facundo,CHE,unexpected,midfielder,11.3
1059277,2833740,Schade,Kevin,BRE,expected,midfielder,9.7
1059277,2840078,Badiashile,Benoit,CHE,unexpected,defender,8.2
1059277,2840080,Santos,Andrey,CHE,unexpected,midfielder,8.8
1059277,2853885,Alcaraz,Carlos,EVE,expected,midfielder,6
1059277,2882402,Ouattara,Dango,BRE,suspended,midfielder,9.9
1059277,2882403,Madueke,Noni,ARS,unexpected,midfielder,10.9
1059277,2911676,Bentley,Daniel,WOL,injured,goalkeeper,4.3
1059277,2930166,Semenyo,Antoine,BOU,expected,midfielder,7.7
1059277,2930169,Ayari,Yasin,BHA,expected,midfielder,8.9
1059277,2930170,Gomes,Joao,WOL,expected,midfielder,4.9
1059277,2930172,Lukic,Sasa,FUL,expected,midfielder,6.9
1059277,2930177,Porro,Pedro,TOT,expected,defender,6.5
1059277,2930183,Fernandez,Enzo,CHE,expected,midfielder,13.3
1059277,3556528,Gusto,Malo,CHE,possible,defender,9.1
1059277,3556529,Udogie,Destiny,TOT,injured,defender,6.3
1059277,3556539,Muniz,Rodrigo,FUL,injured,forward,7
1059277,3584337,Cullen,Josh,BUR,unexpected,midfielder,6.3
1059277,3584351,Ekdal,Hjalmar,BUR,expected,defender,5.3
1059277,3584353,Berge,Sander,FUL,expected,midfielder,6.1
1059277,3584363,Foster,Lyle,BUR,suspended,forward,6.1
1059277,3584389,Osula,William,NEW,injured,forward,10.6
1059277,3584408,Kluivert,Justin,BOU,expected,midfielder,6.2
1059277,3584409,Vicario,Guglielmo,TOT,expected,goalkeeper,7.1
1059277,3590555,Szoboszlai,Dominik,LIV,expected,midfielder,12.7
1059277,3591232,Tonali,Sandro,NEW,expected,midfielder,10
1059277,3591888,Verbruggen,Bart,BHA,expected,goalkeeper,7.7
1059277,3627793,Cunha,Matheus,MUN,expected,forward,14.2
1059277,3627877,Torres,Pau,AV,injured,defender,4.9
1059277,3627958,Timber,Jurrien,ARS,expected,defender,11.6
1059277,3628155,Kerkez,Milos,LIV,expected,defender,10.7
1059277,3628161,Amdouni,Zeki,BUR,injured,forward,5.3
1059277,3628567,Trafford,James,MCI,unexpected,goalkeeper,10.6
1059277,3628568,Doherty,Matt,WOL,expected,defender,3.2
1059277,3628750,Aina,Ola,NTG,injured,defender,8.3
1059277,3629364,Julio,Igor,WHU,unexpected,defender,5.4
1059277,3629422,Maatsen,Ian,AV,expected,defender,4.7
1059277,3629982,Bassey,Calvin,FUL,suspended,defender,6.3
1059277,3631216,Ugochukwu,Lesley,BUR,expected,midfielder,6.2
1059277,3634178,Disasi,Axel,CHE,unexpected,defender,8.1
1059277,3634364,Gvardiol,Josko,MCI,expected,defender,10.3
1059277,3638005,van de Ven,Micky,TOT,expected,defender,6.8
1059277,3638248,Barkley,Ross,AV,injured,midfielder,4.6
1059277,3638526,Scott,Alex,BOU,expected,midfielder,5.4
1059277,3638859,McAtee,James,NTG,unexpected,midfielder,8
1059277,3638871,Odobert,Wilson,TOT,possible,midfielder,6.6
1059277,3639047,Traore,Adama,FUL,unexpected,midfielder,6.6
1059277,3639127,Doak,Ben,BOU,injured,midfielder,5.7
1059277,3643150,Endo,Wataru,LIV,injured,midfielder,10
1059277,3646579,Mavropanos,Konstantinos,WHU,expected,defender,5.6
1059277,3647914,Doku,Jeremy,MCI,injured,midfielder,13.6
1059277,3648390,Petrovic,Djordje,BOU,expected,goalkeeper,5.5
1059277,3649502,Kudus,Mohammed,TOT,expected,midfielder,9.1
1059277,3650885,Beto,Beto,EVE,possible,forward,7.3
1059277,3651385,Baleba,Carlos,BHA,suspended,midfielder,6.9
1059277,3651663,Bueno,Santiago,WOL,expected,defender,3.8
1059277,3651901,Murillo,Murillo,NTG,expected,defender,8.7
1059277,3651912,Irving,Andrew,WHU,unexpected,midfielder,5.2
1059277,3651913,Bayindir,Altay,MUN,unexpected,goalkeeper,11.5
1059277,3652110,Dominguez,Nicolas,NTG,possible,midfielder,7.7
1059277,3652436,Gravenberch,Ryan,LIV,expected,midfielder,12.9
1059277,3652439,Tresor,Mike,BUR,unexpected,midfielder,4.9
1059277,3652440,Bellegarde,Jeanricner,WOL,injured,midfielder,5.3
1059277,3652441,Sangare,Ibrahim,NTG,suspended,midfielder,8.5
1059277,3652667,Bobb,Oscar,MCI,injured,midfielder,11.9
1059277,3663310,Mejbri,Hannibal,BUR,suspended,midfielder,5.8
1059277,3674479,Hinshelwood,Jack,BHA,expected,midfielder,10.1
1059277,3709125,Miley,Lewis,NEW,expected,midfielder,10.4
1059277,3715024,Mainoo,Kobbie,MUN,injured,midfielder,10.4
1059277,3737495,Mosquera,Yerson,WOL,expected,defender,3
1059277,3744084,Bradley,Conor,LIV,unexpected,defender,10.4
1059277,3745030,Dragusin,Radu,TOT,unexpected,defender,6
1059277,3757741,Valdimarsson,Hakon Rafn,BRE,unexpected,goalkeeper,8.1
1059277,3762190,Munoz,Daniel,CRY,injured,defender,8.6
1059277,3762913,Rogers,Morgan,AV,expected,midfielder,6
1059277,3763100,Wharton,Adam,CRY,expected,midfielder,8.4
1059277,3763423,Esteve,Maxime,BUR,expected,defender,5.4
1059277,3763425,Unal,Enes,BOU,unexpected,forward,5.2
1059277,3763426,Sels,Matz,NTG,expected,goalkeeper,9.2
1059277,3879483,van den Berg,Sepp,BRE,expected,defender,7.6
1059277,3879488,Guiu,Marc,CHE,unexpected,forward,11.8
1059277,3879490,Bergvall,Lucas,TOT,expected,midfielder,7.5
1059277,3879494,Minteh,Yankuba,BHA,expected,midfielder,11.1
1059277,3879497,Riad,Chadi,CRY,injured,defender,7.5
1059277,3879498,Kamada,Daichi,CRY,injured,midfielder,9.8
1059277,3879499,Guilherme Lira,Luis,WHU,unexpected,midfielder,7.5
1059277,3879502,King,Tom,EVE,unexpected,goalkeeper,7
1059277,3879504,Gomes,Rodrigo,WOL,injured,midfielder,4.2
1059277,3879506,Konak,Yunus Emre,BRE,unexpected,midfielder,7
1059277,3879507,Thiago,Igor,BRE,expected,forward,10.4
1059277,3879516,Hermansen,Mads,WHU,unexpected,goalkeeper,6.3
1059277,3879523,Gray,Archie,TOT,expected,midfielder,6.1
1059277,3879559,Tuanzebe,Axel,BUR,suspended,defender,5.2
1059277,3879579,Giraud-Hutchinson,Omari,NTG,expected,midfielder,9
1059277,3893792,Larsen,Jorgen,WOL,expected,forward,5.5
1059277,3893793,Ndiaye,Iliman-Cheikh,EVE,suspended,midfielder,7.7
1059277,3893796,Wieffer,Mats,BHA,possible,midfielder,9.1
1059277,3893803,Delap,Liam,CHE,unexpected,forward,11.9
1059277,3893805,Zirkzee,Joshua,MUN,possible,forward,13.1
1059277,3893837,Milenkovic,Nikola,NTG,expected,defender,8.6
1059277,3893844,Yoro,Leny,MUN,possible,defender,10.8
1059277,3894951,Savinho,Savinho,MCI,possible,midfielder,12.2
1059277,3905453,Sessegnon,Ryan,FUL,injured,midfielder,7.4
1059277,3907046,Calafiori,Riccardo,ARS,possible,defender,11.5
1059277,3907762,O'Brien,Jake,EVE,expected,defender,6.8
1059277,3907764,Jorgensen,Filip,CHE,unexpected,goalkeeper,9.5
1059277,3912181,Cuenca,Jorge,FUL,expected,defender,5.8
1059277,3912182,Summerville,Crysencio,WHU,expected,midfielder,8.5
1059277,3912183,Sarr,Ismaila,CRY,suspended,midfielder,10.5
1059277,3914553,Fullkrug,Niclas,WHU,unexpected,forward,8
1059277,3914568,Rodriguez,Guido,WHU,unexpected,midfielder,7.4
1059277,3920508,Todibo,Jean-Clair,WHU,expected,defender,5.5
1059277,3922518,Araujo,Julian,BOU,unexpected,defender,4.2
1059277,3922519,de Ligt,Matthijs,MUN,injured,defender,11
1059277,3922520,Mazraoui,Noussair,MUN,suspended,defender,10.7
1059277,3923371,Gruda,Brajan,BHA,expected,midfielder,10
1059277,3924958,Gonzalez,Enso,WOL,unexpected,midfielder,4.1
1059277,3925510,Evanilson,Evanilson,BOU,expected,forward,6.8
1059277,3926400,Dibling,Tyler,EVE,unexpected,midfielder,6.2
1059277,3926696,Nedeljkovic,Kosta,AV,unexpected,defender,4.3
1059277,3932747,Rutter,Georginio,BHA,expected,forward,10.7
1059277,3934330,Fernandes,Mateus,WHU,expected,midfielder,8.7
1059277,3943790,Merino,Mikel,ARS,unexpected,midfielder,11.4
1059277,3943791,Kadioglu,Ferdi,BHA,expected,defender,7.1
1059277,3946037,Nunes,Gustavo,BRE,unexpected,midfielder,8
1059277,3946281,Chiesa,Federico,LIV,unexpected,midfielder,13
1059277,3947060,Matthews,Remi,CRY,unexpected,goalkeeper,8.5
1059277,3947465,Lacroix,Maxence,CRY,expected,defender,8.1
1059277,3947650,Ugarte,Manuel,MUN,expected,midfielder,10.5
1059277,3947663,Andre,Andre,WOL,suspended,midfielder,4.3
1059277,3947674,Morato,Morato,NTG,unexpected,defender,8.2
1059277,3948113,Bogarde,Lamare,AV,expected,defender,4.6
1059277,3963752,Nwaneri,Ethan,ARS,unexpected,midfielder,10.6
1059277,3973402,Lewis-Skelly,Myles,ARS,unexpected,defender,10.7
1059277,4015014,Devenny,Justin,CRY,possible,midfielder,7.7
1059277,4015330,Kporha,Caleb,CRY,injured,defender,7.4
1059277,4034328,King,Joshua,FUL,possible,midfielder,5.9
1059277,4042029,Scarles,Oliver,WHU,possible,defender,5.3
1059277,4049941,Acheampong,Josh,CHE,unexpected,defender,8.7
1059277,4050503,Gomez,Diego,BHA,expected,midfielder,10.3
1059277,4050504,Kinsky,Antonin,TOT,unexpected,goalkeeper,7
1059277,4051799,Agbadou,Emmanuel,WOL,suspended,defender,3.4
1059277,4054387,Dennis,Will,BOU,unexpected,goalkeeper,5.4
1059277,4054393,Soler,Julio,BOU,unexpected,defender,4.3
1059277,4054663,Malen,Donyell,AV,possible,midfielder,5.4
1059277,4056075,Rodney,Kaden,CRY,unexpected,midfielder,7.4
1059277,4057260,O’Reilly,Nico,MCI,expected,midfielder,12.8
1059277,4057906,Esse,Romain,CRY,unexpected,midfielder,7.8
1059277,4058256,George,Tyrique,CHE,unexpected,midfielder,8.7
1059277,4058397,Khusanov,Abduqodir,MCI,unexpected,defender,9.6
1059277,4059073,Marmoush,Omar,MCI,suspended,forward,13.1
1059277,4060760,Garcia,Andres,AV,unexpected,defender,4.4
1059277,4068230,Scarlett,Dane,TOT,unexpected,forward,6.3
1059277,4068254,Kayode,Michael,BRE,expected,defender,7.5
1059277,4069391,Danso,Kevin,TOT,possible,defender,6.2
1059277,4070128,Gonzalez,Nico,MCI,expected,midfielder,10.1
1059277,4070205,Munetsi,Marshall,WOL,injured,midfielder,5.4
1059277,4072114,Dorgu,Patrick,MUN,expected,defender,10.9
1059277,4072115,Tel,Mathys,TOT,unexpected,midfielder,8.4
1059277,4083701,Obi-Martin,Chidozie,MUN,unexpected,forward,12.5
1059277,4101873,Akinmboni,Matai,BOU,injured,defender,4.1
1059277,4111078,Heaven,Ayden,MUN,expected,defender,10.5
1059277,4169942,Fredricson,Tyler,MUN,unexpected,defender,10.2
1059277,4293350,Mamardashvili,Giorgi,LIV,unexpected,goalkeeper,10.9
1059277,4293351,Pecsi,Armin,LIV,unexpected,goalkeeper,10.8
1059277,4293352,Woodman,Freddie,LIV,unexpected,goalkeeper,10.7
1059277,4293353,Ramsay,Calvin,LIV,unexpected,defender,9.6
1059277,4293354,Frimpong,Jeremie,LIV,expected,defender,10.2
1059277,4293356,Wirtz,Florian,LIV,expected,midfielder,12.5
1059277,4293358,Reijnders,Tijjani,MCI,expected,midfielder,13
1059277,4293359,Cherki,Rayan,MCI,expected,midfielder,13.4
1059277,4293360,Slonina,Gabriel,CHE,unexpected,goalkeeper,9.4
1059277,4293363,Essugo,Dario,CHE,injured,midfielder,8.3
1059277,4293364,Estevao,Estevao,CHE,possible,midfielder,12.4
1059277,4293366,Gillespie,Mark,NEW,unexpected,goalkeeper,10
1059277,4293368,Leon,Diego,MUN,unexpected,defender,10.4
1059277,4293377,Coppola,Diego,BHA,unexpected,defender,6.8
1059277,4293378,Boscagli,Olivier,BHA,unexpected,defender,6.7
1059277,4293379,Watson,Tom,BHA,unexpected,midfielder,6.8
1059277,4293380,Tzimas,Stefanos,BHA,injured,forward,9.8
1059277,4293381,Kostoulas,Charalambos,BHA,unexpected,midfielder,9.6
1059277,4293382,Truffert,Adrien,BOU,expected,defender,4.9
1059277,4293383,Kroupi,Eli Junior,BOU,unexpected,forward,6.7
1059277,4293384,Tyrer,Harry,EVE,unexpected,goalkeeper,7.2
1059277,4293385,Kante,Mohamadou,WHU,unexpected,midfielder,5.1
1059277,4293386,Benitez,Walter,CRY,unexpected,goalkeeper,8.7
1059277,4293388,Cox,Matthew,BRE,unexpected,goalkeeper,8
1059277,4293389,Balcombe,Ellery,BRE,unexpected,goalkeeper,7.9
1059277,4293390,Peart-Harris,Myles,BRE,unexpected,midfielder,7.2
1059277,4293391,Donovan,Romelle,BRE,unexpected,midfielder,7.1
1059277,4293392,Milambo,Antoni,BRE,injured,midfielder,8.3
1059277,4293393,Chirewa,Tawanda,WOL,suspended,midfielder,4
1059277,4293394,Lopez,Fernando,WOL,possible,midfielder,4.8
1059277,4293395,Fraser,Nathan,WOL,unexpected,forward,4.4
1059277,4293396,Weiss,Max,BUR,unexpected,goalkeeper,5.9
1059277,4293398,Hladky,Vaclav,BUR,unexpected,goalkeeper,5.8
1059277,4293399,Hartman,Quilindschy,BUR,expected,defender,5.7
1059277,4293400,Humphreys,Bashir,BUR,unexpected,defender,4.7
1059277,4293401,Pires,Lucas,BUR,unexpected,defender,4.8
1059277,4293403,Roberts,Connor,BUR,injured,defender,5.1
1059277,4293404,Sonne,Oliver,BUR,unexpected,defender,5
1059277,4293406,Laurent,Josh,BUR,possible,midfielder,5
1059277,4293409,Edwards,Marcus,BUR,unexpected,midfielder,5.4
1059277,4293410,Tchaouna,Loum,BUR,expected,midfielder,5.9
1059277,4293411,Flemming,Zian,BUR,possible,forward,6.4
1059277,4293414,Barnes,Ashley,BUR,unexpected,forward,5.2
