,,,,Offense,,,,,,,,,,,,,Defense,,,,,,,,Disciplinary,,,
Player,Team,Opp,Pos,MIN,G,A,S,SOG,CC,P,AP,CR,ACR,AW,DR,DSP,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
Hugo Ekitike,LIV,LEE,F,95.0,0.70,0.18,3.34,1.40,1.21,16.33,21.86,0.55,0.16,1.82,1.23,1.58,0.29,0.95,0.65,0.05,0.82,0.38,0.99,0.00,1.05,1.92,0.16,0.00
Erling Haaland,MCI,SUN,F,95.0,0.58,0.08,3.71,1.73,1.03,12.93,17.46,0.90,0.22,1.82,0.59,1.13,0.25,0.63,0.39,0.14,0.67,0.42,0.88,0.00,0.80,1.16,0.11,0.00
Yoane Wissa,NEW,BRN,F,95.0,0.57,0.07,2.51,1.09,0.78,12.73,16.97,0.55,0.09,1.45,0.81,1.13,0.19,0.60,0.36,0.10,0.70,0.40,0.92,0.00,1.08,1.34,0.11,0.01
Igor Jesus,NFO,EVE,F,95.0,0.56,0.09,2.60,1.36,1.33,13.78,18.29,0.76,0.16,1.85,0.69,1.61,0.18,0.56,0.29,0.09,0.87,0.38,0.96,0.00,1.17,1.40,0.07,0.00
Benjamin Sesko,MUN,WOL,F,95.0,0.55,0.16,3.12,1.32,1.29,17.44,23.65,0.51,0.09,2.43,1.14,2.66,0.17,0.70,0.37,0.08,0.91,0.43,0.85,0.00,1.39,1.29,0.06,0.00
Liam Delap,CHE,BOU,F,95.0,0.55,0.11,2.44,1.08,0.85,12.86,17.36,0.37,0.07,2.03,0.98,1.77,0.09,0.63,0.47,0.07,0.89,0.32,1.17,0.00,1.39,1.64,0.24,0.00
Viktor Gyokeres,ARS,AVL,F,95.0,0.54,0.29,4.43,1.90,2.54,25.33,32.40,1.48,0.38,2.51,1.30,2.32,0.35,1.14,0.69,0.14,1.23,0.43,0.85,0.00,2.29,2.76,0.31,0.00
Matheus Cunha,MUN,WOL,F/M,95.0,0.54,0.20,3.54,1.48,1.70,21.12,27.17,2.16,0.36,1.73,1.45,2.74,0.32,1.06,0.62,0.06,0.79,0.43,0.85,0.00,1.89,1.49,0.11,0.01
Kevin Schade,BRE,TOT,F/M,95.0,0.51,0.12,3.01,1.16,1.41,22.32,29.77,2.70,0.70,2.22,2.10,1.67,0.50,1.95,1.29,0.29,1.11,0.29,1.21,0.00,2.50,1.01,0.17,0.00
Danny Welbeck,BHA,WHU,F,95.0,0.48,0.20,2.48,1.08,1.21,17.00,21.47,0.49,0.10,1.46,0.66,1.48,0.19,1.21,0.93,0.10,0.63,0.27,1.31,0.00,1.08,0.89,0.13,0.00
Joshua Zirkzee,MUN,WOL,F,95.0,0.47,0.12,2.94,1.18,1.33,18.54,24.58,0.53,0.08,2.05,0.99,2.86,0.24,0.99,0.61,0.12,0.75,0.43,0.85,0.00,1.50,1.31,0.11,0.00
Jarrod Bowen,WHU,BHA,F/M,95.0,0.46,0.18,2.63,1.16,0.99,15.53,19.95,1.81,0.38,1.31,1.03,1.83,0.51,0.95,0.58,0.11,0.51,0.16,1.76,0.00,1.61,1.01,0.06,0.00
Cole Palmer,CHE,BOU,F/M,95.0,0.46,0.17,2.82,1.14,2.14,27.97,34.78,3.34,0.98,0.42,1.14,1.26,0.36,1.13,0.68,0.09,0.53,0.32,1.17,0.00,1.62,0.67,0.18,0.05
Raul Jimenez,FUL,CRY,F,95.0,0.43,0.18,3.67,1.35,0.88,15.94,22.51,0.73,0.14,4.13,0.88,1.94,0.46,0.97,0.63,0.22,1.13,0.23,1.45,0.00,1.75,1.73,0.09,0.00
Florian Wirtz,LIV,LEE,F/M,95.0,0.41,0.26,2.14,0.87,1.72,37.25,44.68,2.25,0.43,0.58,1.85,1.27,0.41,1.42,0.87,0.24,0.50,0.38,0.99,0.00,1.09,1.17,0.12,0.00
