,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Erling Haaland,MCI,WOL,$15.1,F,-250,71.43
Divine Mukasa,MCI,WOL,$4.4,M,-125,55.56
Omar Marmoush,MCI,WOL,$8.3,F,-120,54.55
Mohamed Salah,LIV,BOU,$14.0,M,-120,54.55
Igor Thiago,BRE,NFO,$7.1,F,105,48.78
Antoine Semenyo,MCI,WOL,$7.6,F,105,48.78
Hugo Ekitike,LIV,BOU,$8.9,F,115,46.51
Viktor Gyokeres,ARS,MUN,$8.7,F,115,46.51
Phil Foden,MCI,WOL,$8.6,M,125,44.44
Nick Woltemade,NEW,AVL,$7.2,F,125,44.44
Yoane Wissa,NEW,AVL,$7.3,M,140,41.67
Raul Jimenez,FUL,BHA,$6.2,F,150,40.00
Rayan Cherki,MCI,WOL,$6.8,M,155,39.22
Gabriel Jesus,ARS,MUN,$6.4,F,160,38.46
Kai Havertz,ARS,MUN,$7.3,F,170,37.04
Jean-Philippe Mateta,CRY,CHE,$7.5,F,170,37.04
Cole Palmer,CHE,CRY,$10.4,M,170,37.04
Bukayo Saka,ARS,MUN,$10.1,M,170,37.04
Eberechi Eze,ARS,MUN,$7.3,M,175,36.36
Will Osula,NEW,AVL,$5.4,F,175,36.36
Liam Delap,CHE,CRY,$6.2,F,180,35.71
Wilson Isidor,SUN,WHU,$5.2,F,180,35.71
Joao Pedro,CHE,CRY,$7.1,F,180,35.71
Harvey Barnes,NEW,AVL,$6.1,M,185,35.09
Marc Guiu,CHE,CRY,$4.2,F,185,35.09
Danny Welbeck,BHA,FUL,$6.2,F,185,35.09
Beto,EVE,LEE,$5.0,F,190,34.48
Junior Kroupi,BOU,LIV,$4.6,F,190,34.48
Kevin Schade,BRE,NFO,$7.1,M,190,34.48
Dominic Solanke,TOT,BRN,$7.2,F,190,34.48
Cody Gakpo,LIV,BOU,$7.3,M,195,33.90
Anthony Gordon,NEW,AVL,$7.5,M,195,33.90
Dominic Calvert-Lewin,LEE,EVE,$6.0,F,200,33.33
Jeremy Doku,MCI,WOL,$6.4,M,200,33.33
Tyrique George,CHE,CRY,$4.8,F,200,33.33
Sean Neave,NEW,AVL,$4.3,F,200,33.33
Ollie Watkins,AVL,NEW,$8.8,F,200,33.33
Noni Madueke,ARS,MUN,$6.8,M,210,32.26
Tijjani Reijnders,MCI,WOL,$5.2,M,210,32.26
Dane Scarlett,TOT,BRN,$4.3,F,210,32.26
Leandro Trossard,ARS,MUN,$6.9,M,210,32.26
Jarrod Bowen,WHU,SUN,$7.6,M,220,31.25
Evanilson,BOU,LIV,$7.0,F,220,31.25
Randal Kolo Muani,TOT,BRN,$6.9,F,220,31.25
Ethan Nwaneri,ARS,MUN,$5.0,M,220,31.25
Mathys Tel,TOT,BRN,$6.2,M,220,31.25
Callum Wilson,WHU,SUN,$5.8,F,220,31.25
Taiwo Awoniyi,NFO,BRE,$5.2,F,230,30.30
Thierno Barry,EVE,LEE,$5.7,F,230,30.30
Zian Flemming,BRN,TOT,$5.3,F,230,30.30
Alejandro Garnacho,CHE,CRY,$6.4,M,230,30.30
Gabriel Martinelli,ARS,MUN,$6.8,M,230,30.30
Mikel Merino,ARS,MUN,$5.6,M,230,30.30
Dango Ouattara,BRE,NFO,$5.8,M,230,30.30
Brian Brobbey,SUN,WHU,$5.5,F,240,29.41
Federico Chiesa,LIV,BOU,$6.3,M,240,29.41
Ryan McAidoo,MCI,WOL,,,240,29.41
Harry Wilson,FUL,BHA,$5.9,M,240,29.41
Igor Jesus,NFO,BRE,$5.8,F,250,28.57
Eliezer Mayenda,SUN,WHU,$5.2,F,250,28.57
Joel Piroe,LEE,EVE,$4.9,F,250,28.57
Dominik Szoboszlai,LIV,BOU,$6.6,M,250,28.57
Florian Wirtz,LIV,BOU,$8.2,M,250,28.57
Ashley Barnes,BRN,TOT,$4.2,F,260,27.78
Anthony Elanga,NEW,AVL,$6.5,M,260,27.78
Lyle Foster,BRN,TOT,$4.9,F,260,27.78
Evann Guessand,AVL,NEW,$6.2,M,260,27.78
Iliman Ndiaye,EVE,LEE,$6.2,F,260,27.78
Rio Ngumoha,LIV,BOU,$4.3,M,260,27.78
Lukas Nmecha,LEE,EVE,$5.0,F,260,27.78
Christantus Uche,CRY,CHE,$5.5,F,260,27.78
Estevao,CHE,CRY,$6.4,M,260,27.78
Charalampos Kostoulas,BHA,FUL,$4.8,F,270,27.03
Keane Lewis-Potter,BRE,NFO,$4.9,M,270,27.03
Morgan Rogers,AVL,NEW,$7.7,M,270,27.03
Eddie Nketiah,CRY,CHE,$5.4,F,280,26.32
Gustavo Nunes,BRE,NFO,$4.9,M,280,26.32
Armando Broja,BRN,TOT,$5.2,F,290,25.64
Jonah Kusi-Asare,FUL,BHA,$4.5,F,290,25.64
Reiss Nelson,BRE,NFO,$4.8,M,290,25.64
Benjamin Sesko,MUN,ARS,$7.2,F,290,25.64
Xavi Simons,TOT,BRN,$6.5,M,290,25.64
Enes Unal,BOU,LIV,$5.4,F,290,25.64
Rayan Ait-Nouri,MCI,WOL,$5.7,D,300,25.00
Brajan Gruda,BHA,FUL,$5.4,M,300,25.00
Alex Iwobi,FUL,BHA,$6.3,M,310,24.39
Remy Rees-Dottin,BOU,LIV,,,310,24.39
Ismaila Sarr,CRY,CHE,$6.3,M,310,24.39
Emile Smith Rowe,FUL,BHA,$5.6,M,310,24.39
Pedro Neto,CHE,CRY,$7.1,M,320,23.81
Georginio Rutter,BHA,FUL,$5.6,F,320,23.81
Dwight McNeil,EVE,LEE,$5.5,M,330,23.26
Jorgen Strand Larsen,WOL,MCI,$6.1,F,330,23.26
Tom Watson,BHA,FUL,$4.8,M,330,23.26
Jaidon Anthony,BRN,TOT,$5.1,M,340,22.73
Tolu Arokodare,WOL,MCI,$5.4,F,340,22.73
Jamie Gittens,CHE,CRY,$6.0,M,340,22.73
Bruno Guimaraes,NEW,AVL,$7.2,M,340,22.73
Bryan Mbeumo,MUN,ARS,$8.1,F,350,22.22
Noah Okafor,LEE,EVE,$5.5,M,350,22.22
Kevin,FUL,BHA,$5.8,M,350,22.22
Chemsdine Talbi,SUN,WHU,$4.9,M,350,22.22
David Brooks,BOU,LIV,$5.0,M,360,21.74
Tyler Dibling,EVE,LEE,$5.3,M,360,21.74
Josh King,FUL,BHA,$4.4,M,360,21.74
Matheus Cunha,MUN,ARS,$8.1,F,360,21.74
Samuel Chukwueze,FUL,BHA,$5.3,M,370,21.28
Wilfried Gnonto,LEE,EVE,$5.2,F,370,21.28
Rodri,MCI,WOL,$6.3,M,370,21.28
Kaoru Mitoma,BHA,FUL,$6.1,M,370,21.28
Jacob Ramsey,NEW,AVL,$5.3,M,370,21.28
Bernardo Silva,MCI,WOL,$6.2,M,370,21.28
Luca Williams-Barnett,TOT,BRN,$4.5,M,370,21.28
Simon Adingra,SUN,WHU,$4.9,M,380,20.83
Jacob Bruun Larsen,BRN,TOT,$5.3,M,380,20.83
Yankuba Minteh,BHA,FUL,$5.8,M,380,20.83
Martin Odegaard,ARS,MUN,$7.8,M,380,20.83
Lucas Paqueta,WHU,SUN,$5.9,M,380,20.83
Carlos Alcaraz,EVE,LEE,$5.2,M,390,20.41
Enzo Fernandez,CHE,CRY,$6.5,M,390,20.41
Brennan Johnson,CRY,CHE,$6.5,F,390,20.41
Andrey Santos,CHE,CRY,$4.5,M,390,20.41
Marcus Tavernier,BOU,LIV,$5.5,M,390,20.41
Tynan Thompson,TOT,BRN,,,390,20.41
Marcus Edwards,BRN,TOT,$4.7,M,400,20.00
Bruno Fernandes,MUN,ARS,$9.2,M,400,20.00
Diego Gomez,BHA,FUL,$4.9,M,400,20.00
Curtis Jones,LIV,BOU,$5.4,M,400,20.00
Wilson Odobert,TOT,BRN,$5.3,M,400,20.00
Joelinton,NEW,AVL,$5.9,M,410,19.61
Joshua Zirkzee,MUN,ARS,$5.8,F,410,19.61
Adama Traore,FUL,BHA,$5.1,M,420,19.23
Ben Broggio,AVL,NEW,$4.4,M,430,18.87
Emiliano Buendia,AVL,NEW,$5.3,M,430,18.87
Maxim De Cuyper,BHA,FUL,$4.3,D,430,18.87
Loum Tchaouna,BRN,TOT,$4.9,M,430,18.87
Leon Bailey,AVL,NEW,$5.5,M,440,18.52
Amad Diallo,MUN,ARS,$6.2,M,440,18.52
Jeremie Frimpong,LIV,BOU,$5.8,D,440,18.52
Nico Gonzalez,MCI,WOL,$5.9,M,440,18.52
Alexis Mac Allister,LIV,BOU,$6.2,M,440,18.52
Chris Rigg,SUN,WHU,$4.7,M,440,18.52
Facundo Buonanotte,LEE,EVE,$4.6,M,450,18.18
Jack Grealish,EVE,LEE,$6.4,M,450,18.18
Marc Guehi,MCI,WOL,$5.3,D,450,18.18
Nico O'Reilly,MCI,WOL,$5.2,M,450,18.18
Yeremy Pino,CRY,CHE,$5.8,M,450,18.18
Ryan Sessegnon,FUL,BHA,$5.4,D,450,18.18
Crysencio Summerville,WHU,SUN,$5.5,M,450,18.18
Joe Willock,NEW,AVL,$5.0,M,450,18.18
Romelle Donovan,BRE,NFO,$4.4,M,460,17.86
Omari Hutchinson,NFO,BRE,$5.4,M,460,17.86
Dan Ndoye,NFO,BRE,$5.5,M,460,17.86
Trey Nyoni,LIV,BOU,$4.3,M,460,17.86
Mike Tresor,BRN,TOT,$4.4,M,460,17.86
Conor Gallagher,TOT,BRN,$5.5,M,470,17.54
Hwang Hee-Chan,WOL,MCI,$5.6,M,470,17.54
Brenden Aaronson,LEE,EVE,$5.4,M,480,17.24
Amine Adli,BOU,LIV,$5.4,M,480,17.24
Harrison Armstrong,EVE,LEE,$4.5,M,480,17.24
Justin Devenny,CRY,CHE,$4.3,M,480,17.24
Kiernan Dewsbury-Hall,EVE,LEE,$4.9,M,480,17.24
Romaine Mundle,SUN,WHU,$4.9,M,480,17.24
Declan Rice,ARS,MUN,$7.4,M,480,17.24
Mikkel Damsgaard,BRE,NFO,$5.7,M,490,16.95
Mateus Mane,WOL,MCI,$4.5,F,490,16.95
James McAtee,NFO,BRE,$5.0,M,490,16.95
Jhon Arias,WOL,MCI,$4.9,M,500,16.67
Jaydon Banel,BRN,TOT,$4.5,M,500,16.67
Lucas Bergvall,TOT,BRN,$5.3,M,500,16.67
Habib Diarra,SUN,WHU,$5.3,M,500,16.67
Morgan Gibbs-White,NFO,BRE,$7.3,M,500,16.67
Callum Hudson-Odoi,NFO,BRE,$5.7,M,500,16.67
Trai Hume,SUN,WHU,$4.5,D,500,16.67
Enzo Le Fee,SUN,WHU,$4.9,M,500,16.67
Hannibal,BRN,TOT,$4.7,M,500,16.67
Pape Sarr,TOT,BRN,$4.5,M,500,16.67
Tomas Soucek,WHU,SUN,$5.7,M,500,16.67
Patrick Dorgu,MUN,ARS,$4.2,D,550,15.38
Pascal Gross,BHA,FUL,$5.5,M,550,15.38
Reece James,CHE,CRY,$5.7,D,550,15.38
Fer Lopez,WOL,MCI,$5.2,M,550,15.38
Callum Olusesi,TOT,BRN,$4.3,M,550,15.38
Merlin Rohl,EVE,LEE,$5.0,M,550,15.38
Dominic Sadi,BOU,LIV,$4.5,F,550,15.38
Jadon Sancho,AVL,NEW,$5.8,M,550,15.38
Sandro Tonali,NEW,AVL,$5.3,M,550,15.38
Lesley Ugochukwu,BRN,TOT,$5.0,M,550,15.38
Joel Drakes-Thomas,CRY,CHE,,,600,14.29
Mateus Fernandes,WHU,SUN,$5.5,M,600,14.29
Jamaldeen Jimoh-Aloba,AVL,NEW,$4.5,M,600,14.29
Mason Mount,MUN,ARS,$5.9,M,600,14.29
Matheus Nunes,MCI,WOL,$5.5,M,600,14.29
Yasin Ayari,BHA,FUL,$4.8,M,650,13.33
Dilane Bakwa,NFO,BRE,$5.9,M,650,13.33
Tom Cairney,FUL,BHA,$4.8,M,650,13.33
Ryan Christie,BOU,LIV,$4.9,M,650,13.33
Gabriel,ARS,MUN,$6.8,D,650,13.33
Ryan Gravenberch,LIV,BOU,$5.7,M,650,13.33
John McGinn,AVL,NEW,$5.4,M,650,13.33
Joao Palhinha,TOT,BRN,$5.5,M,650,13.33
Youri Tielemans,AVL,NEW,$5.9,M,650,13.33
Daniel Ballard,SUN,WHU,$4.6,D,700,12.50
Tawanda Chirewa,WOL,MCI,$4.3,M,700,12.50
Rico Lewis,MCI,WOL,$4.6,D,700,12.50
Lewis Miley,NEW,AVL,$4.5,M,700,12.50
Cristian Romero,TOT,BRN,$5.0,D,700,12.50
Anton Stach,LEE,EVE,$4.9,M,700,12.50
Malick Thiaw,NEW,AVL,$5.1,D,700,12.50
Martin Zubimendi,ARS,MUN,$5.2,M,700,12.50
Omar Alderete,SUN,WHU,$4.1,D,750,11.76
Callum Bates,EVE,LEE,$4.3,M,750,11.76
Marc Cucurella,CHE,CRY,$6.0,D,750,11.76
Rodrigo Gomes,WOL,MCI,$4.4,M,750,11.76
Jack Hinshelwood,BHA,FUL,$5.1,M,750,11.76
Malik Olayiwola,EVE,LEE,,,750,11.76
Frank Onyeka,BRE,NFO,$4.8,M,750,11.76
Alex Scott,BOU,LIV,$5.0,M,750,11.76
Charlie Stevens,BOU,LIV,,,750,11.76
Ao Tanaka,LEE,EVE,$4.8,M,750,11.76
Granit Xhaka,SUN,WHU,$5.2,M,750,11.76
Casemiro,MUN,ARS,$5.5,M,800,11.11
Trevoh Chalobah,CHE,CRY,$5.5,D,800,11.11
Wataru Endo,LIV,BOU,$4.9,M,800,11.11
Sean Longstaff,LEE,EVE,$4.8,M,800,11.11
Konstantinos Mavropanos,WHU,SUN,$4.4,D,800,11.11
Daniel Munoz,CRY,CHE,$5.8,D,800,11.11
Christian Norgaard,ARS,MUN,$5.1,M,800,11.11
Elliot Anderson,NFO,BRE,$5.3,M,850,10.53
Carlos Baleba,BHA,FUL,$4.5,M,850,10.53
Archie Gray,TOT,BRN,$4.8,M,850,10.53
Vitaly Janelt,BRE,NFO,$4.9,M,850,10.53
Mohamadou Kante,WHU,SUN,,,850,10.53
Abdukodir Khusanov,MCI,WOL,$5.4,D,850,10.53
Rio Kyerematen,TOT,BRN,,,850,10.53
Kobbie Mainoo,MUN,ARS,$4.6,M,850,10.53
Guido Rodriguez,WHU,SUN,$4.8,M,850,10.53
Micky van de Ven,TOT,BRN,$4.6,D,850,10.53
Moises Caicedo,CHE,CRY,$5.7,M,900,10.00
Nicolas Dominguez,NFO,BRE,$5.0,M,900,10.00
Ferdi Kadioglu,BHA,FUL,$4.4,D,900,10.00
Josh Laurent,BRN,TOT,$4.8,M,900,10.00
Oliver Sonne,BRN,TOT,$3.8,D,900,10.00
Nathan Ake,MCI,WOL,$5.3,D,950,9.52
Matty Cash,AVL,NEW,$4.8,D,950,9.52
Piero Hincapie,ARS,MUN,$5.2,D,950,9.52
Myles Lewis-Skelly,ARS,MUN,$5.1,M,950,9.52
Douglas Luiz,NFO,BRE,$4.9,M,950,9.52
Virgil van Dijk,LIV,BOU,$5.9,D,950,9.52
Sander Berge,FUL,BHA,$4.9,M,1000,9.09
Jayden Bogle,LEE,EVE,$4.4,D,1000,9.09
Sven Botman,NEW,AVL,$4.9,D,1000,9.09
El Hadji Malick Diouf,WHU,SUN,$4.0,D,1000,9.09
George Hemmings,AVL,NEW,,,1000,9.09
Mathias Jensen,BRE,NFO,$4.9,M,1000,9.09
Jefferson Lerma,CRY,CHE,$4.9,M,1000,9.09
Ian Maatsen,AVL,NEW,$4.2,M,1000,9.09
Stephen Mfuni,MCI,WOL,$3.9,D,1000,9.09
Dan Neil,SUN,WHU,$4.8,M,1000,9.09
Jake O'Brien,EVE,LEE,$4.9,D,1000,9.09
Pedro Porro,TOT,BRN,$5.2,D,1000,9.09
Harrison Reed,FUL,BHA,$4.3,M,1000,9.09
Djed Spence,TOT,BRN,$4.3,D,1000,9.09
Pascal Struijk,LEE,EVE,$4.3,D,1000,9.09
Jurrien Timber,ARS,MUN,$6.3,D,1000,9.09
Sepp van den Berg,BRE,NFO,$4.5,D,1000,9.09
Yehor Yarmolyuk,BRE,NFO,$5.0,M,1000,9.09
Ryan Yates,NFO,BRE,$4.7,M,1000,9.09
Benoit Badiashile,CHE,CRY,$4.4,D,1100,8.33
Yves Bissouma,TOT,BRN,$5.2,M,1100,8.33
Nathan Collins,BRE,NFO,$5.0,D,1100,8.33
Jorge Cuenca,FUL,BHA,$4.3,D,1100,8.33
