,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Manchester City,Wolverhampton,H,73.49,16.01,46.21,2.38,0.79,3.17
Arsenal,Manchester United,H,59.90,22.18,37.64,2.00,0.99,2.98
Brentford,Nottingham Forest,H,50.52,25.73,35.00,1.65,1.06,2.71
Liverpool,AFC Bournemouth,A,49.35,24.28,26.43,1.92,1.32,3.24
Chelsea,Crystal Palace,A,46.65,25.91,30.37,1.68,1.21,2.88
Tottenham Hotspur,Burnley,A,46.17,26.51,32.45,1.53,1.12,2.65
Newcastle United,Aston Villa,H,45.86,25.48,26.47,1.76,1.33,3.09
West Ham United,Sunderland,H,41.45,27.63,30.30,1.41,1.19,2.59
Fulham,Brighton & Hove Albion,H,39.05,26.41,23.64,1.47,1.42,2.89
Everton,Leeds United,H,37.55,29.07,30.30,1.29,1.19,2.47
Brighton & Hove Albion,Fulham,A,34.54,26.41,22.76,1.42,1.47,2.89
Leeds United,Everton,A,33.38,29.07,27.45,1.19,1.29,2.47
Sunderland,West Ham United,A,30.91,27.63,24.38,1.19,1.41,2.59
Aston Villa,Newcastle United,A,28.66,25.48,16.57,1.33,1.76,3.09
Crystal Palace,Chelsea,H,27.44,25.91,18.28,1.21,1.68,2.88
Burnley,Tottenham Hotspur,H,27.32,26.51,21.49,1.12,1.53,2.65
AFC Bournemouth,Liverpool,H,26.36,24.28,14.51,1.32,1.92,3.24
Nottingham Forest,Brentford,A,23.75,25.73,18.29,1.06,1.65,2.71
Manchester United,Arsenal,A,17.92,22.18,12.53,0.99,2.00,2.98
Wolverhampton,Manchester City,A,10.50,16.01,8.43,0.79,2.38,3.17
