,Matchup,,Daily,,Odds,
Player,Team,Opponent,Salary,Position,Player Line,Percentage
Viktor Gyokeres,ARS,SUN,$19,FWD,-105,51.22
Benjamin Sesko,MUN,TOT,$15,FWD,105,48.78
Bryan Mbeumo,MUN,TOT,$22,MID,115,46.51
Bukayo Saka,ARS,SUN,$5,MID,130,43.48
Matheus Cunha,MUN,TOT,$20,FWD,130,43.48
Igor Thiago,BRE,NEW,$20,FWD,135,42.55
Cole Palmer,CHE,WOL,$20,MID,135,42.55
Nick Woltemade,NEW,BRE,$18,FWD,135,42.55
Liam Delap,CHE,WOL,$14,FWD,140,41.67
Gabriel Jesus,ARS,SUN,$17,FWD,140,41.67
Kai Havertz,ARS,SUN,$13,FWD,145,40.82
Joao Pedro,CHE,WOL,$21,FWD,145,40.82
Bruno Fernandes,MUN,TOT,$23,MID,155,39.22
Marc Guiu,CHE,WOL,$12,FWD,155,39.22
Raul Jimenez,FUL,EVE,$19,FWD,155,39.22
Ollie Watkins,AVL,BOU,$17,FWD,155,39.22
Yoane Wissa,NEW,BRE,$16,MID,155,39.22
Taty Castellanos,WHU,BRN,$16,FWD,160,38.46
Rodrigo Muniz,FUL,EVE,$13,FWD,160,38.46
Joshua Zirkzee,MUN,TOT,$13,FWD,160,38.46
Amad Diallo,MUN,TOT,$16,FWD,170,37.04
Junior Kroupi,BOU,AVL,$18,FWD,170,37.04
Tammy Abraham,AVL,BOU,$16,FWD,180,35.71
Will Osula,NEW,BRE,$9,FWD,180,35.71
Rayan,BOU,AVL,$11,FWD,180,35.71
Jarrod Bowen,WHU,BRN,$20,FWD,185,35.09
Callum Wilson,WHU,BRN,$14,FWD,185,35.09
Evanilson,BOU,AVL,$17,FWD,190,34.48
Leandro Trossard,ARS,SUN,$18,MID,190,34.48
Harvey Barnes,NEW,BRE,$15,MID,195,33.90
Eberechi Eze,ARS,SUN,$13,MID,195,33.90
Zian Flemming,BRN,WHU,$16,MID,195,33.90
Noni Madueke,ARS,SUN,$16,FWD,200,33.33
Gabriel Martinelli,ARS,SUN,$13,MID,200,33.33
Lyle Foster,BRN,WHU,$13,FWD,210,32.26
Anthony Gordon,NEW,BRE,$17,MID,210,32.26
Estevao,CHE,WOL,$15,FWD,210,32.26
Ashley Barnes,BRN,WHU,$9,FWD,220,31.25
Mason Mount,MUN,TOT,$14,MID,220,31.25
Morgan Rogers,AVL,BOU,$19,FWD,220,31.25
Beto,EVE,FUL,$15,FWD,230,30.30
Tolu Arokodare,WOL,CHE,$14,FWD,240,29.41
Armando Broja,BRN,WHU,$12,FWD,240,29.41
Enes Unal,BOU,AVL,$11,FWD,240,29.41
Adam Armstrong,WOL,CHE,$13,FWD,250,28.57
Jacob Murphy,NEW,BRE,$14,DEF,250,28.57
Sean Neave,NEW,BRE,$7,FWD,250,28.57
Pablo Felipe,WHU,BRN,$14,FWD,250,28.57
Harry Wilson,FUL,EVE,$20,MID,250,28.57
Enzo Fernandez,CHE,WOL,$22,MID,270,27.03
Dominic Solanke,TOT,MUN,$19,FWD,270,27.03
Pedro Neto,CHE,WOL,$17,FWD,280,26.32
Jaidon Anthony,BRN,WHU,$17,FWD,290,25.64
Thierno Barry,EVE,FUL,$16,FWD,290,25.64
Anthony Elanga,NEW,BRE,$12,FWD,290,25.64
Alejandro Garnacho,CHE,WOL,$16,MID,290,25.64
Jamie Gittens,CHE,WOL,$13,FWD,290,25.64
Dango Ouattara,BRE,NEW,$17,FWD,290,25.64
Remy Rees-Dottin,BOU,AVL,$9,FWD,300,25.00
Randal Kolo Muani,TOT,MUN,$14,FWD,310,24.39
David Brooks,BOU,AVL,$14,MID,320,23.81
Jacob Bruun Larsen,BRN,WHU,$11,FWD,320,23.81
Emile Smith Rowe,FUL,EVE,$13,MID,320,23.81
Marcus Edwards,BRN,WHU,$14,FWD,330,23.26
Iliman Ndiaye,EVE,FUL,$17,MID,330,23.26
Tomas Soucek,WHU,BRN,$15,MID,330,23.26
Leon Bailey,AVL,BOU,$11,FWD,340,22.73
Emiliano Buendia,AVL,BOU,$15,MID,340,22.73
Casemiro,MUN,TOT,$17,MID,340,22.73
Harvey Elliott,AVL,BOU,$10,MID,340,22.73
Jonah Kusi-Asare,FUL,EVE,$8,FWD,340,22.73
Keane Lewis-Potter,BRE,NEW,$13,FWD,340,22.73
Martin Odegaard,ARS,SUN,$14,MID,340,22.73
Oscar Bobb,FUL,EVE,$9,MID,350,22.22
Hwang Hee-Chan,WOL,CHE,$15,FWD,350,22.22
Tyrique George,EVE,FUL,$9,FWD,360,21.74
Bruno Guimaraes,NEW,BRE,$21,MID,360,21.74
Reiss Nelson,BRE,NEW,$10,FWD,360,21.74
Kevin,FUL,EVE,$14,MID,360,21.74
Loum Tchaouna,BRN,WHU,$9,FWD,360,21.74
Samuel Chukwueze,FUL,EVE,$16,FWD,370,21.28
Mateus Mane,WOL,CHE,$18,FWD,370,21.28
Josh King,FUL,EVE,$11,MID,380,20.83
Crysencio Summerville,WHU,BRN,$17,MID,380,20.83
Adama Traore,WHU,BRN,$11,MID,380,20.83
Jhon Arias,WOL,CHE,$13,MID,390,20.41
Kobbie Mainoo,MUN,TOT,$11,MID,390,20.41
Andrey Santos,CHE,WOL,$11,MID,390,20.41
Mathys Tel,TOT,MUN,$13,FWD,390,20.41
Amine Adli,BOU,AVL,$16,FWD,410,19.61
Dwight McNeil,EVE,FUL,$13,FWD,410,19.61
Jacob Ramsey,NEW,BRE,$12,MID,410,19.61
Xavi Simons,TOT,MUN,$17,MID,410,19.61
Ross Barkley,AVL,BOU,$9,MID,420,19.23
Dominic Sadi,BOU,AVL,,,420,19.23
Declan Rice,ARS,SUN,$22,MID,430,18.87
Jadon Sancho,AVL,BOU,$13,MID,430,18.87
Luca Williams-Barnett,TOT,MUN,$7,FWD,430,18.87
Wilson Isidor,SUN,ARS,$13,FWD,440,18.52
Alex Jimenez,BOU,AVL,$12,DEF,440,18.52
Hannibal,BRN,WHU,$10,MID,440,18.52
Douglas Luiz,AVL,BOU,$12,MID,440,18.52
Luka Bentt,BRE,NEW,$5,MID,450,18.18
Ryan Sessegnon,FUL,EVE,$14,MID,450,18.18
Tyler Dibling,EVE,FUL,$10,MID,460,17.86
Joe Willock,NEW,BRE,$11,MID,460,17.86
Romelle Donovan,BRE,NEW,$8,MID,480,17.24
Reece James,CHE,WOL,$14,DEF,480,17.24
Carlos Alcaraz,EVE,FUL,$12,MID,490,16.95
Christian Norgaard,ARS,SUN,$12,MID,490,16.95
Lesley Ugochukwu,BRN,WHU,$12,FWD,490,16.95
Gabriel,ARS,SUN,$15,DEF,500,16.67
Mateus Fernandes,WHU,BRN,$18,MID,500,16.67
Amadou Onana,AVL,BOU,$14,MID,500,16.67
Charlie Stevens,BOU,AVL,$5,MID,500,16.67
Alex Toth,BOU,AVL,$10,MID,500,16.67
Brian Brobbey,SUN,ARS,$15,FWD,550,15.38
Ryan Christie,BOU,AVL,$12,MID,550,15.38
Kiernan Dewsbury-Hall,EVE,FUL,$18,MID,550,15.38
Jack Fletcher,MUN,TOT,$9,FWD,550,15.38
Rodrigo Gomes,WOL,CHE,$12,FWD,550,15.38
Alex Iwobi,FUL,EVE,$15,MID,550,15.38
Wilson Odobert,TOT,MUN,$14,FWD,550,15.38
Tynan Thompson,TOT,MUN,$5,FWD,550,15.38
Jean-Ricner Bellegarde,WOL,CHE,$10,MID,600,14.29
Mikkel Damsgaard,BRE,NEW,$16,MID,600,14.29
Conor Gallagher,TOT,MUN,$15,MID,600,14.29
Mathias Jensen,BRE,NEW,$14,MID,600,14.29
Eliezer Mayenda,SUN,ARS,$13,FWD,600,14.29
Lewis Miley,NEW,BRE,$13,MID,600,14.29
Sandro Tonali,NEW,BRE,$13,MID,600,14.29
Harrison Armstrong,EVE,FUL,$12,MID,650,13.33
Tom Cairney,FUL,EVE,$10,MID,650,13.33
Marc Cucurella,CHE,WOL,$13,DEF,650,13.33
Alex Scott,BOU,AVL,$15,MID,650,13.33
