Competition,Stake,Date,League Number,Type,Draft Spot,Round,
Superflex,$35,,95947,Slow,12,1,Brock Bowers
,,,,,,2,CeeDee Lamb
,,,,,,3,Josh Jacobs
,,,,,,4,Jordan Love
,,,,,,5,Rashee Rice
,,,,,,6,J.J McCarthy
,,,,,,7,David Montgomery
,,,,,,8,Jordan Addison
,,,,,,9,Najee Harris
,,,,,,10,George Pickens
,,,,,,11,Matthew Golden
,,,,,,12,Brandon Aiyuk
,,,,,,13,Mike Gesicki
,,,,,,14,Tyler Allgeier
,,,,,,15,Mason Taylor
,,,,,,16,MarShawn Lloyd
,,,,,,17,Will Shipley
,,,,,,18,Brashard Smith
,,,,,,19,Jordan James
,,,,,,20,Troy Franklin
