Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1064795,4562191,Scheffler,Scottie,2026,expected,player,16
1064795,4562192,Rai,Aaron,2026,expected,player,10.1
1064795,4562193,Morikawa,Collin,2026,expected,player,11.1
1064795,4562194,Noren,Alexander,2026,expected,player,10.8
1064795,4562195,Fitzpatrick,Matt,2026,expected,player,11.8
1064795,4562196,Rose,Justin,2026,expected,player,10.3
1064795,4562197,Reitan,Kristoffer,2026,expected,player,9.1
1064795,4562198,Kim,Michael,2026,expected,player,9.3
1064795,4562199,Echavarria,Nicolas,2026,expected,player,9.5
1064795,4562200,Pendrith,Taylor,2026,expected,player,10.2
1064795,4562201,McCarty,Matt,2026,expected,player,9.6
1064795,4562202,English,Harris,2026,expected,player,10.7
1064795,4562203,Greyserman,Max,2026,expected,player,9.5
1064795,4562204,Gotterup,Christopher,2026,expected,player,10
1064795,4562205,Keefer,John,2026,expected,player,8.8
1064795,4562206,McNealy,Maverick,2026,expected,player,10.8
1064795,4562207,Fox,Ryan,2026,expected,player,8.8
1064795,4562208,DeChambeau,Bryson,2026,expected,player,12.2
1064795,4562209,MacIntyre,Robert,2026,expected,player,11.6
1064795,4562210,Harman,Brian,2026,expected,player,10.1
1064795,4562211,Hovland,Viktor,2026,expected,player,11.2
1064795,4562212,Brennan,Michael,2026,expected,player,8.6
1064795,4562213,Gerard,Ryan,2026,expected,player,9.2
1064795,4562214,Bradley,Keegan,2026,expected,player,10.6
1064795,4562215,Penge,Marco,2026,expected,player,10
1064795,4562216,Conners,Corey,2026,expected,player,10.7
1064795,4562217,Burns,Sam,2026,expected,player,12
1064795,4562218,Spaun,J.J.,2026,expected,player,11.5
1064795,4562219,Im,Sung-Jae,2026,expected,player,10.3
1064795,4562220,Hatton,Tyrrell,2026,expected,player,10.4
1064795,4562221,Horschel,Billy,2026,expected,player,9.1
1064795,4562222,Woo Kim,Si,2026,expected,player,10.6
1064795,4562223,Bhatia,Akshay,2026,expected,player,10.2
1064795,4562224,Clark,Wyndham,2026,expected,player,10.8
1064795,4562225,Day,Jason,2026,expected,player,9.9
1064795,4562226,Schauffele,Xander,2026,expected,player,12.6
1064795,4562227,Straka,Sepp,2026,expected,player,10.9
1064795,4562228,Kitayama,Kurt,2026,expected,player,9.2
1064795,4562229,Cantlay,Patrick,2026,expected,player,11.3
1064795,4562230,Thomas,Justin,2026,expected,player,11.1
1064795,4562231,Fleetwood,Tommy,2026,expected,player,12.8
1064795,4562232,Neergaard-Petersen,Rasmus,2026,expected,player,8.9
1064795,4562233,Matsuyama,Hideki,2026,expected,player,11.4
1064795,4562234,Stevens,Sam,2026,expected,player,8.8
1064795,4562235,Valimaki,Sami,2026,expected,player,10
1064795,4562236,Hojgaard,Rasmus,2026,expected,player,10.3
1064795,4562237,McIlroy,Rory,2026,expected,player,14.5
1064795,4562238,Novak,Andrew,2026,expected,player,9.7
1064795,4562239,Lowry,Shane,2026,expected,player,10.8
1064795,4562240,Reed,Patrick,2026,expected,player,8.6
1064795,4562241,Griffin,Ben,2026,expected,player,12
1064795,4562242,Aberg,Ludvig,2026,expected,player,12
1064795,4562243,Poston,JT,2026,expected,player,9.6
1064795,4562244,Taylor,Nick,2026,expected,player,9.9
1064795,4562245,Bridgeman,Jacob,2026,expected,player,9.4
1064795,4562246,Berger,Daniel,2026,expected,player,9.2
1064795,4562247,Lawrence,Thriston,2026,expected,player,7.9
1064795,4562249,Hall,Harry,2026,expected,player,10.5
1064795,4562250,Scott,Adam,2026,expected,player,9
1064795,4562251,Hoge,Tom,2026,expected,player,8.5
1064795,4562252,Finau,Tony,2026,expected,player,9.7
1064795,4562253,McGreevy,Max,2026,expected,player,8.7
1064795,4562254,Highsmith,Joe,2026,expected,player,8
1064795,4562255,Coody,Pierceson,2026,expected,player,8.9
1064795,4562256,Knapp,Jake,2026,expected,player,9.1
1064795,4562257,L. Smith,Jordan,2026,expected,player,8.5
1064795,4562258,Jaeger,Stephan,2026,expected,player,9.1
1064795,4562259,An,Byeong-Hun,2026,expected,player,8.5
1064795,4562260,Fisk,Steven,2026,expected,player,8.1
1064795,4562261,Detry,Thomas,2026,expected,player,9.5
1064795,4562262,Henley,Russell,2026,expected,player,12.5
1064795,4562263,Li,Hao-Tong,2026,expected,player,8.5
1064795,4562264,Young,Cameron,2026,expected,player,11
1064795,4562265,Woo Lee,Min,2026,expected,player,10.3
1064795,4562266,Van Rooyen,Erik,2026,expected,player,7.8
1064795,4562267,Grillo,Emiliano,2026,expected,player,8.8
1064795,4562268,Hughes,Mackenzie,2026,expected,player,8.4
1064795,4562269,Schmid,Matthias,2026,expected,player,8.7
1064795,4562270,Bezuidenhout,Christiaan,2026,expected,player,9.5
1064795,4562271,McKibbin,Tom,2026,expected,player,9.1
1064795,4562272,Spieth,Jordan,2026,expected,player,9.9
1064795,4562273,Campbell,Brian,2026,expected,player,8.4
1064795,4562274,Rahm,Jon,2026,expected,player,13.2
1064795,4562275,Theegala,Sahith,2026,expected,player,9.7
1064795,4562276,Brown,Daniel,2026,expected,player,8.3
1064795,4562277,Higgo,Garrick,2026,expected,player,9.4
1064795,4562278,Vegas,Jhonattan,2026,expected,player,8.4
1064795,4562279,Meissner,Mac,2026,expected,player,8.3
1064795,4562280,Whaley,Vince,2026,expected,player,8.8
1064795,4562281,Parry,John,2026,expected,player,8.3
1064795,4562282,Riley,Davis,2026,expected,player,8.1
1064795,4562283,Yu,Kevin,2026,expected,player,8.8
1064795,4562284,Cole,Eric,2026,expected,player,8.5
1064795,4562285,Potgieter,Aldrich,2026,expected,player,8.1
1064795,4562287,Glover,Lucas,2026,expected,player,9
1064795,4562288,Wallace,Matt,2026,expected,player,8.3
1064795,4562289,Nakajima,Keita,2026,expected,player,8.2
1064795,4562290,Olesen,Thorbjorn,2026,expected,player,8.7
1064795,4562291,Kirk,Chris,2026,expected,player,9.7
1064795,4562292,Thompson,Davis,2026,expected,player,9.4
1064795,4562293,Thorbjornsen,Michael,2026,expected,player,10
1064795,4562294,Hoey,Rico,2026,expected,player,9
1064795,4562295,Kim,Tom,2026,expected,player,9.1
1064795,4562296,Shipley,Neal,2026,expected,player,8.4
1064795,4562297,Mouw,William,2026,expected,player,8.3
1064795,4562298,Schaper,Jayden,2026,expected,player,10
1064795,4562299,McCarthy,Denny,2026,expected,player,9.9
1064795,4562300,Fowler,Rickie,2026,expected,player,10
1064795,4562302,Puig,David,2026,expected,player,9.1
1064795,4562303,Cauley,Bud,2026,expected,player,8.5
1064795,4562305,Saddier,Adrien,2026,expected,player,8.1
1064795,4562306,Hojgaard,Nicolai,2026,expected,player,9.7
1064795,4562307,Perez,Victor,2026,expected,player,8.5
1064795,4562310,Lower,Justin,2026,expected,player,7.5
1064795,4562311,Fishburn,Patrick,2026,expected,player,8.2
1064795,4562312,Schenk,Adam,2026,expected,player,7.5
1064795,4562313,Woodland,Gary,2026,expected,player,8.3
1064795,4562314,Kanaya,Takumi,2026,expected,player,8.5
1064795,4562315,Blanchet,Chandler,2026,expected,player,8.5
1064795,4562316,Ortiz,Carlos,2026,expected,player,8.8
1064795,4562318,Hisatsune,Ryo,2026,expected,player,7.9
1064795,4562319,Rodgers,Patrick,2026,expected,player,8.6
1064795,4562320,Hubbard,Mark,2026,expected,player,8.4
1064795,4562321,Smalley,Alex,2026,expected,player,8.4
1064795,4562322,Ayora,Angel,2026,expected,player,9.1
1064795,4562323,Smotherman,Austin,2026,expected,player,8
1064795,4562325,Mitchell,Keith,2026,expected,player,8.6
1064795,4562328,Eckroat,Austin,2026,expected,player,8.5
1064795,4562331,Castillo,Ricky,2026,expected,player,8.2
1064795,4562332,Hillier,Daniel,2026,expected,player,8.7
1064795,4562333,Lipsky,David,2026,expected,player,7.8
1064795,4562335,Gonzalez,Emilio,2026,expected,player,7.9
1064795,4562336,Moore,Taylor,2026,expected,player,7.8
1064795,4562338,Lamprecht,Christo,2026,expected,player,8.1
1064795,4562339,Hirata,Kensei,2026,expected,player,7.5
1064795,4562340,Kuchar,Matt,2026,expected,player,8.5
1064795,4562342,Norgaard Moller,Niklas,2026,expected,player,7.5
1064795,4562343,Hodges,Lee,2026,expected,player,8.3
1064795,4562345,Power,Seamus,2026,expected,player,8.1
1064795,4562346,Rozner,Antoine,2026,expected,player,7.8
1064795,4562347,Dumont,Adrien,2026,expected,player,8.3
1064795,4562348,Phillips,Chandler,2026,expected,player,8.1
1064795,4562349,Ramey,Chad,2026,expected,player,8.1
1064795,4562350,Vilips,Karl,2026,expected,player,7.5
1064795,4562353,Ryder,Sam,2026,expected,player,7.8
1064795,4562355,Clanton,Luke,2026,expected,player,8.5
1064795,4562356,Kim,Seong-Hyeon,2026,expected,player,8.1
1064795,4562359,Homa,Max,2026,expected,player,9.1
1064795,4562360,Niemann,Joaquin,2026,expected,player,10.5
1064795,4562362,Manassero,Matteo,2026,expected,player,7.5
1064795,4562363,Dahmen,Joel,2026,expected,player,7.6
1064795,4562365,Roy,Kevin,2026,expected,player,8.2
1064795,4562367,Salinda,Isaiah,2026,expected,player,7.7
1064795,4562371,Lebioda,Henry,2026,expected,player,7.9
1064795,4562373,Crowe,Trace,2026,expected,player,7.7
1064795,4562374,Davis,Cam,2026,expected,player,8.2
1064795,4562377,Ghim,Doug,2026,expected,player,8.1
1064795,4562378,Kang,Jeffrey,2026,expected,player,7.5
1064795,4562379,Zalatoris,Will,2026,expected,player,9.7
1064795,4562380,Putnam,Andrew,2026,expected,player,7.9
1064795,4562381,Smith,Cameron,2026,expected,player,8.3
1064795,4562382,Dunlap,Nick,2026,expected,player,7.5
1064795,4562383,Koivun,Jackson,2026,expected,player,8.9
1064795,4562386,Hossler,Beau,2026,expected,player,8.2
1064795,4562387,Suber,Jackson,2026,expected,player,7.6
1064795,4562389,Svensson,Jesper,2026,expected,player,7.8
1064795,4562393,Montgomery,Taylor,2026,expected,player,7.8
1064795,4562396,Ventura,Kristoffer,2026,expected,player,8.1
1064795,4562397,Peterson,Paul,2026,expected,player,7.5
1064795,4562400,Chatfield,Davis,2026,expected,player,7.7
1064795,4562407,Young,Carson,2026,expected,player,7.5
1064795,4562408,Tosti,Alejandro,2026,expected,player,8
1064795,4562409,Bauchou,Zach,2026,expected,player,7.5
1064795,4562411,Capan,Frankie,2026,expected,player,7.5
1064795,4562414,Hoffman,Charley,2026,expected,player,7.5
1064795,4562419,Hadwin,Adam,2026,expected,player,7.5
1064795,4562420,Leishman,Marc,2026,expected,player,8.3
1064795,4562421,Dou,Ze-Cheng,2026,expected,player,8
1064795,4562423,Springer,Hayden,2026,expected,player,7.7
1064795,4562425,Koepka,Brooks,2026,expected,player,10.2
1064795,4562427,Silverman,Benjamin,2026,expected,player,7.9
1064795,4562428,Griffin,Lanto,2026,expected,player,7.5
1064795,4562433,Herbert,Lucas,2026,expected,player,7.9
1064795,4562435,Higgs,Harry,2026,expected,player,7.5
1064795,4562437,Kizzire,Patton,2026,expected,player,7.7
1064795,4562439,Walker,Danny,2026,expected,player,7.5
1064795,4562440,Pavon,Matthieu,2026,expected,player,8.1
1064795,4562441,Kim,Chan,2026,expected,player,7.5
1064795,4562442,Lee,Seung-Taek,2026,expected,player,7.5
1064795,4562445,Waring,Paul,2026,expected,player,7.5
1064795,4562448,Sigg,Greyson,2026,expected,player,8
1064795,4562449,Burmester,Dean,2026,expected,player,8.1
1064795,4562456,Norlander,Henrik,2026,expected,player,7.5
1064795,4562458,Skinns,David,2026,expected,player,7.5
1064795,4562459,Blair,Zac,2026,expected,player,7.8
1064795,4562466,Snedeker,Brandt,2026,expected,player,7.8
1064795,4562467,Johnson,Zach,2026,expected,player,7.8
1064795,4562469,Kohles,Ben,2026,expected,player,7.8
1064795,4562470,Vanderlaan,John,2026,expected,player,7.5
1064795,4562473,Rosenmuller,Thomas,2026,expected,player,8
1064795,4562476,Yellamaraju,Sudarshan,2026,expected,player,7.5
1064795,4562477,Cummins,Quade,2026,expected,player,7.5
1064795,4562482,Pak,John,2026,expected,player,7.5
1064795,4562485,Goodwin,Noah,2026,expected,player,7.5
1064795,4562487,Nyholm,Pontus,2026,expected,player,7.5
1064795,4562489,Cone,Trevor,2026,expected,player,7.8
1064795,4562491,Garnett,Brice,2026,expected,player,7.5
1064795,4562507,Paul,Jeremy,2026,expected,player,7.5
1064795,4562509,Gordon,Will,2026,expected,player,7.5
1064795,4562513,Champ,Cameron,2026,expected,player,7.5
1064795,4562527,Oosthuizen,Louis,2026,expected,player,8.2
1064795,4562536,Mullinax,Trey,2026,expected,player,7.5
1064795,4562539,Lashley,Nate,2026,expected,player,7.6
1064795,4562543,Willett,Danny,2026,expected,player,7.5
1064795,4562547,Svensson,Adam,2026,expected,player,7.7
1064795,4562549,Laird,Martin,2026,expected,player,7.5
1064795,4562552,Wu,Dylan,2026,expected,player,8.1
1064795,4562553,Campos,Rafael,2026,expected,player,7.5
1064795,4562573,Lee,Kyoung-Hoon,2026,expected,player,7.5
1064795,4562580,Bramlett,Joseph,2026,expected,player,7.5
1064795,4562594,Rozo,Marcelo,2026,expected,player,7.5
1064795,4562599,Tsung Pan,Cheng,2026,expected,player,7.5
1064795,4562612,Molinari,Francesco,2026,expected,player,7.5
