"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Christian McCaffrey","RB","SF","@SEA","25.1","21.6","24.2","17.2","20.6","24.0","40.2","35.6","Saturday"
"Puka Nacua","WR","LA","@CHI","23.5","19.6","22.2","14.5","18.3","22.2","38.6","33.2","Other"
"Jaxon Smith-Njigba","WR","SEA","SF","22.3","18.9","21.0","14.2","17.6","21.0","37.7","32.8","Saturday"
"Josh Allen","QB","BUF","@DEN","21.7","21.4","22.7","20.2","20.2","20.2","33.1","33.0","Saturday"
"Bo Nix","QB","DEN","BUF","19.0","18.8","20.0","17.6","17.6","17.6","29.1","29.0","Saturday"
"Drake Maye","QB","NE","HOU","19.0","18.7","20.1","17.6","17.6","17.6","29.2","29.1","Other"
"Matthew Stafford","QB","LA","@CHI","18.8","18.7","20.0","17.2","17.2","17.2","28.9","28.8","Other"
"Caleb Williams","QB","CHI","LA","17.8","17.6","18.9","16.4","16.4","16.4","27.8","27.8","Other"
"Brock Purdy","QB","SF","@SEA","17.8","17.6","18.8","16.1","16.1","16.1","27.6","27.5","Saturday"
"Sam Darnold","QB","SEA","SF","17.3","17.1","18.3","15.8","15.8","15.8","27.6","27.6","Saturday"
"James Cook","RB","BUF","@DEN","17.1","16.0","16.1","13.9","14.9","16.0","30.0","28.6","Saturday"
"RJ Harvey","RB","DEN","BUF","16.9","15.2","16.4","13.1","14.7","16.3","29.4","27.2","Saturday"
"Davante Adams","WR","LA","@CHI","15.0","12.7","14.5","9.9","12.2","14.5","28.0","24.5","Other"
"Colston Loveland","TE","CHI","LA","14.5","11.9","16.6","8.8","11.4","14.0","26.2","22.3","Other"
"Kyren Williams","RB","LA","@CHI","14.5","13.5","14.0","12.0","12.9","13.9","26.6","25.3","Other"
"CJ Stroud","QB","HOU","@NE","14.1","13.9","15.2","13.0","13.0","13.0","22.8","22.8","Other"
"Courtland Sutton","WR","DEN","BUF","13.8","11.5","13.3","8.8","11.0","13.3","26.0","22.5","Saturday"
"Zach Charbonnet","RB","SEA","SF","13.4","12.3","13.1","11.0","12.0","13.0","24.7","23.3","Saturday"
"Stefon Diggs","WR","NE","HOU","12.9","10.4","12.5","7.6","10.0","12.5","24.0","20.2","Other"
"Khalil Shakir","WR","BUF","@DEN","12.6","9.8","12.3","6.6","9.5","12.3","22.4","18.3","Saturday"
"Rhamondre Stevenson","RB","NE","HOU","12.5","10.9","12.3","9.3","10.8","12.2","22.8","20.7","Other"
"Kenneth Walker","RB","SEA","SF","12.5","11.4","12.2","10.1","11.1","12.1","23.6","22.1","Saturday"
"D'Andre Swift","RB","CHI","LA","12.3","11.3","12.0","10.1","11.0","11.9","23.4","22.0","Other"
"Woody Marks","RB","HOU","@NE","11.8","10.8","11.5","9.6","10.5","11.3","22.1","20.7","Other"
"Jauan Jennings","WR","SF","@SEA","10.9","8.8","10.6","6.4","8.5","10.6","20.7","17.5","Saturday"
"Dalton Schultz","TE","HOU","@NE","10.2","8.0","12.3","5.7","7.9","10.1","18.8","15.4","Other"
"Jayden Higgins","WR","HOU","@NE","9.9","8.1","9.7","6.2","7.9","9.7","19.4","16.7","Other"
"Hunter Henry","TE","NE","HOU","9.8","8.0","11.4","6.0","7.8","9.6","19.1","16.2","Other"
"Luther Burden","WR","CHI","LA","9.6","7.8","9.4","5.9","7.7","9.4","19.1","16.4","Other"
"Jake Tonges","TE","SF","@SEA","9.6","7.5","11.6","5.4","7.4","9.5","17.8","14.7","Saturday"
"Christian Kirk","WR","HOU","@NE","9.4","7.4","9.2","5.3","7.3","9.2","18.0","15.0","Other"
"Harrison Mevis","K","LA","@CHI","9.3","9.3","9.9","9.3","9.3","9.3","15.6","15.6","Other"
"Jason Myers","K","SEA","SF","9.0","9.0","9.7","9.0","9.0","9.0","15.3","15.3","Saturday"
"Kyle Monangai","RB","CHI","LA","8.9","8.0","8.8","7.1","7.9","8.7","17.7","16.5","Other"
"Pat Bryant","WR","DEN","BUF","8.9","7.3","8.8","5.5","7.2","8.8","17.8","15.3","Saturday"
"Blake Corum","RB","LA","@CHI","8.9","8.5","8.6","7.9","8.2","8.5","18.6","18.1","Other"
"Dalton Kincaid","TE","BUF","@DEN","8.8","7.1","10.5","5.3","7.0","8.7","16.9","14.1","Saturday"
"AJ Barner","TE","SEA","SF","8.8","7.1","10.5","5.4","7.1","8.8","17.1","14.4","Saturday"
"Matt Prater","K","BUF","@DEN","8.7","8.7","9.4","8.7","8.7","8.7","15.1","15.1","Saturday"
"Wil Lutz","K","DEN","BUF","8.7","8.7","9.4","8.7","8.7","8.7","15.1","15.1","Saturday"
"Andy Borregales","K","NE","HOU","8.3","8.3","9.0","8.3","8.3","8.3","14.7","14.7","Other"
"DJ Moore","WR","CHI","LA","8.1","6.7","8.0","5.3","6.6","8.0","17.0","14.7","Other"
"Rome Odunze","WR","CHI","LA","8.1","6.8","8.0","5.5","6.7","8.0","17.0","14.9","Other"
"Cairo Santos","K","CHI","LA","8.1","8.1","8.8","8.1","8.1","8.1","14.4","14.4","Other"
"Kayshon Boutte","WR","NE","HOU","8.0","6.7","7.8","5.3","6.5","7.8","17.0","14.8","Other"
"Ka'imi Fairbairn","K","HOU","@NE","7.8","7.8","8.4","7.8","7.8","7.8","14.1","14.1","Other"
"Eddy Pineiro","K","SF","@SEA","7.8","7.8","8.4","7.8","7.8","7.8","14.0","14.0","Saturday"
"Xavier Hutchinson","WR","HOU","@NE","7.7","6.3","7.7","4.8","6.2","7.7","16.0","13.6","Other"
"Cooper Kupp","WR","SEA","SF","7.6","6.1","7.5","4.6","6.1","7.5","16.0","13.6","Saturday"
"HOU DST","DST","HOU","@NE","7.4","7.4","8.2","7.4","7.4","7.4","14.8","14.8","Other"
"NE DST","DST","NE","HOU","7.4","7.4","8.3","7.4","7.4","7.4","14.6","14.6","Other"
"SEA DST","DST","SEA","SF","7.2","7.2","8.1","7.2","7.2","7.2","14.6","14.6","Saturday"
"TreVeyon Henderson","RB","NE","HOU","7.1","6.6","7.0","6.0","6.5","7.0","15.1","14.3","Other"
"Ricky Pearsall","WR","SF","@SEA","6.7","5.5","6.6","4.2","5.4","6.6","14.4","12.3","Saturday"
"Rashid Shaheed","WR","SEA","SF","6.7","5.6","6.6","4.5","5.6","6.6","14.9","13.2","Saturday"
"Brandin Cooks","WR","BUF","@DEN","6.5","5.4","6.4","4.3","5.3","6.4","14.6","12.7","Saturday"
"Troy Franklin","WR","DEN","BUF","6.5","5.4","6.5","4.2","5.3","6.4","14.2","12.3","Saturday"
"Tyler Higbee","TE","LA","@CHI","6.5","5.2","7.7","3.9","5.2","6.5","13.8","11.7","Other"
"DEN DST","DST","DEN","BUF","6.5","6.5","7.2","6.5","6.5","6.5","13.5","13.5","Saturday"
"Colby Parkinson","TE","LA","@CHI","6.3","5.0","7.5","3.7","5.0","6.2","13.4","11.2","Other"
"Evan Engram","TE","DEN","BUF","6.0","4.7","7.3","3.3","4.6","6.0","12.5","10.3","Saturday"
"LA DST","DST","LA","@CHI","6.0","6.0","6.8","6.0","6.0","6.0","13.0","13.0","Other"
"BUF DST","DST","BUF","@DEN","5.4","5.4","6.2","5.4","5.4","5.4","12.3","12.3","Saturday"
