"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Jaxon Smith-Njigba","WR","SEA","NE","22.8","19.2","21.5","14.3","17.9","21.4","38.3","33.2","Other"
"Drake Maye","QB","NE","SEA","19.4","19.1","20.5","17.9","17.9","17.9","29.8","29.7","Other"
"Kenneth Walker","RB","SEA","NE","18.8","17.4","18.1","15.3","16.6","17.9","31.9","30.2","Other"
"Sam Darnold","QB","SEA","NE","17.5","17.3","18.5","15.9","15.9","15.9","27.9","27.9","Other"
"Rhamondre Stevenson","RB","NE","SEA","15.0","13.2","14.7","11.2","12.9","14.6","26.4","24.0","Other"
"Stefon Diggs","WR","NE","SEA","11.8","9.4","11.5","6.9","9.2","11.5","21.9","18.4","Other"
"Hunter Henry","TE","NE","SEA","9.8","8.0","11.6","6.0","7.9","9.7","18.9","16.0","Other"
"Jason Myers","K","SEA","NE","9.5","9.5","10.2","9.5","9.5","9.5","16.1","16.1","Other"
"Cooper Kupp","WR","SEA","NE","9.1","7.4","9.0","5.5","7.3","9.0","18.3","15.6","Other"
"Andy Borregales","K","NE","SEA","8.3","8.3","9.0","8.3","8.3","8.3","14.6","14.6","Other"
"Kayshon Boutte","WR","NE","SEA","8.1","6.8","8.0","5.4","6.7","8.0","17.2","15.0","Other"
"SEA DST","DST","SEA","NE","7.6","7.6","8.4","7.6","7.6","7.6","15.0","15.0","Other"
"Mack Hollins","WR","NE","SEA","7.5","6.2","7.4","4.8","6.1","7.4","15.9","13.7","Other"
"AJ Barner","TE","SEA","NE","7.5","6.0","8.9","4.5","6.0","7.4","14.9","12.6","Other"
"Rashid Shaheed","WR","SEA","NE","6.4","5.5","6.4","4.6","5.4","6.3","14.3","12.8","Other"
"NE DST","DST","NE","SEA","5.4","5.4","6.1","5.4","5.4","5.4","12.3","12.3","Other"
"George Holani","RB","SEA","NE","5.3","4.5","5.3","3.7","4.5","5.3","12.2","10.9","Other"
"TreVeyon Henderson","RB","NE","SEA","4.2","3.8","4.2","3.5","3.8","4.1","9.9","9.3","Other"
"Demario Douglas","WR","NE","SEA","3.2","2.6","3.2","2.0","2.6","3.2","8.5","7.2","Other"
"Austin Hooper","TE","NE","SEA","2.8","2.3","3.4","1.7","2.3","2.8","7.7","6.5","Other"
"Eric Saubert","TE","SEA","NE","2.0","1.6","2.4","1.2","1.6","2.0","5.9","5.0","Other"
"Kyle Williams","WR","NE","SEA","1.1","0.9","1.1","0.8","0.9","1.1","4.3","3.7","Other"
"Jake Bobo","WR","SEA","NE","0.7","0.6","0.7","0.4","0.6","0.7","2.8","2.3","Other"
"Jack Westover","TE","NE","SEA","0.3","0.2","0.3","0.2","0.2","0.3","1.2","1.0","Other"
"D'Ernest Johnson","RB","NE","SEA","0.1","0.1","0.1","0.1","0.1","0.1","0.3","0.3","Other"
"Brady Russell","RB","SEA","NE","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Other"
"Cam Akers","RB","SEA","NE","0.1","0.1","0.1","0.1","0.1","0.1","0.4","0.4","Other"
"Robbie Ouzts","RB","SEA","NE","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Other"
"Dareke Young","WR","SEA","NE","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Other"
"Nick Kallerup","TE","SEA","NE","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Other"
