"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Christian McCaffrey","RB","SF","LA","24.7","21.6","23.7","17.8","20.7","23.6","39.6","35.7","Main"
"Jonathan Taylor","RB","IND","ATL","24.0","22.6","22.6","19.7","21.1","22.4","39.4","37.6","Other"
"Josh Allen","QB","BUF","@MIA","23.4","23.2","24.7","22.1","22.1","22.1","35.6","35.5","Main"
"Jaxon Smith-Njigba","WR","SEA","ARI","23.3","19.7","21.9","14.6","18.2","21.8","38.8","33.7","Main"
"Bijan Robinson","RB","ATL","IND","22.8","20.0","22.0","16.5","19.2","21.9","37.7","34.1","Other"
"Puka Nacua","WR","LA","@SF","22.6","18.6","21.3","13.3","17.3","21.3","37.9","32.2","Main"
"Lamar Jackson","QB","BAL","@MIN","22.3","22.1","23.5","21.0","21.0","21.0","34.0","33.9","Main"
"Amon-Ra St Brown","WR","DET","@WAS","22.2","18.5","21.1","13.7","17.4","21.1","37.6","32.4","Main"
"De'Von Achane","RB","MIA","BUF","21.8","19.0","21.1","15.5","18.2","21.0","36.1","32.5","Main"
"Drake Maye","QB","NE","@TB","21.5","21.1","22.4","19.6","19.6","19.6","32.4","32.3","Main"
"Justin Herbert","QB","LAC","PIT","21.3","21.0","22.3","19.3","19.3","19.3","32.6","32.5","Sunday"
"Baker Mayfield","QB","TB","NE","20.5","20.3","21.6","18.9","18.9","18.9","31.4","31.4","Main"
"Bo Nix","QB","DEN","LV","20.2","20.1","21.4","19.0","19.0","19.0","30.8","30.7","Thursday"
"Matthew Stafford","QB","LA","@SF","20.1","19.9","21.2","18.3","18.3","18.3","30.5","30.5","Main"
"Daniel Jones","QB","IND","ATL","19.6","19.4","20.7","17.9","17.9","17.9","30.6","30.6","Other"
"Rico Dowdle","RB","CAR","NO","19.2","17.8","18.0","15.4","16.6","17.9","32.2","30.5","Main"
"Jared Goff","QB","DET","@WAS","19.1","18.9","20.3","17.6","17.6","17.6","29.4","29.3","Main"
"Justin Jefferson","WR","MIN","BAL","18.9","15.7","17.9","11.7","14.8","17.9","33.1","28.6","Main"
"Jaxson Dart","QB","NYG","@CHI","18.8","18.5","19.8","17.5","17.5","17.5","29.3","29.2","Main"
"Jahmyr Gibbs","RB","DET","@WAS","18.7","17.1","17.8","14.7","16.2","17.7","32.8","30.9","Main"
"Jalen Hurts","QB","PHI","@GB","18.7","18.4","19.9","17.5","17.5","17.5","29.1","29.0","Monday"
"Sam Darnold","QB","SEA","ARI","18.5","18.3","19.6","17.0","17.0","17.0","28.8","28.8","Main"
"James Cook","RB","BUF","@MIA","18.3","17.3","17.2","15.3","16.2","17.1","32.2","31.0","Main"
"Caleb Williams","QB","CHI","NYG","18.3","18.1","19.5","17.1","17.1","17.1","28.6","28.6","Main"
"Emeka Egbuka","WR","TB","NE","18.0","15.2","17.2","11.7","14.4","17.2","32.7","28.6","Main"
"Marcus Mariota","QB","WAS","DET","17.9","17.6","18.9","16.4","16.4","16.4","28.0","27.9","Main"
"Drake London","WR","ATL","IND","17.8","14.6","17.0","10.6","13.8","16.9","31.4","26.8","Other"
"Josh Jacobs","RB","GB","PHI","17.7","16.2","17.0","14.2","15.5","16.9","30.6","28.8","Monday"
"JJ McCarthy","QB","MIN","BAL","17.7","17.3","18.7","16.1","16.1","16.1","27.9","27.8","Main"
