"Player","Team","Position","DK Projection","FD Projection","Std","Half","Full","Slate","DK Ceiling","FD Ceiling"
"Jonathan Taylor","IND","RB","23.2","21.6","18.9","20.3","21.7","Main","37.9","36.1"
"Christian McCaffrey","SF","RB","23.2","19.7","15.7","19.0","22.3","Thursday","37.0","32.5"
"Josh Allen","BUF","QB","23.1","23.0","22.2","22.2","22.2","Sunday","34.5","34.5"
"Puka Nacua","LA","WR","22.3","18.4","13.3","17.2","21.0","Thursday","38.3","32.8"
"De'Von Achane","MIA","RB","22.1","19.3","15.8","18.5","21.2","Main","36.2","32.7"
"Jahmyr Gibbs","DET","RB","20.9","18.9","16.1","18.0","19.9","Main","34.6","32.2"
"Justin Fields","NYJ","QB","20.8","20.5","20.1","20.1","20.1","Main","32.3","32.2"
"Patrick Mahomes","KC","QB","20.7","20.5","19.6","19.6","19.6","Monday","31.4","31.3"
"Justin Herbert","LAC","QB","20.5","20.2","19.3","19.3","19.3","Main","31.4","31.4"
"Jayden Daniels","WAS","QB","20.5","20.2","19.6","19.6","19.6","Main","31.6","31.5"
"Jalen Hurts","PHI","QB","20.3","20.0","19.6","19.6","19.6","Main","31.1","31.0"
"Jaxon Smith-Njigba","SEA","WR","20.2","16.8","12.3","15.7","19.1","Main","35.0","30.1"
"Kyler Murray","ARI","QB","19.7","19.5","19.0","19.0","19.0","Main","30.6","30.5"
"Saquon Barkley","PHI","RB","19.5","18.1","15.6","16.9","18.2","Main","32.8","31.1"
"James Cook","BUF","RB","19.3","17.9","15.6","16.9","18.1","Sunday","33.0","31.3"
"Breece Hall","NYJ","RB","18.9","17.0","14.4","16.2","18.0","Main","31.9","29.5"
"Jared Goff","DET","QB","18.8","18.6","17.8","17.8","17.8","Main","29.7","29.7"
"Amon-Ra St Brown","DET","WR","18.8","15.6","11.7","14.8","17.9","Main","33.4","28.9"
"Drake Maye","NE","QB","18.8","18.5","18.0","18.0","18.0","Sunday","29.0","29.0"
"Daniel Jones","IND","QB","18.6","18.4","17.7","17.7","17.7","Main","29.4","29.4"
"Javonte Williams","DAL","RB","18.4","16.7","14.3","15.9","17.4","Main","31.3","29.3"
"Ja'Marr Chase","CIN","WR","17.7","14.3","10.2","13.6","16.9","Main","31.0","26.3"
"Dak Prescott","DAL","QB","17.7","17.5","16.9","16.9","16.9","Main","27.7","27.7"
"Omarion Hampton","LAC","RB","17.7","16.1","13.9","15.4","17.0","Main","30.6","28.6"
"Bo Nix","DEN","QB","17.3","17.2","16.8","16.8","16.8","Main","26.8","26.7"
"Ashton Jeanty","LV","RB","17.3","15.6","13.4","14.9","16.5","Main","29.2","27.1"
"Matthew Stafford","LA","QB","17.2","17.0","16.3","16.3","16.3","Thursday","27.3","27.3"
"Baker Mayfield","TB","QB","17.2","17.0","16.5","16.5","16.5","Main","27.1","27.0"
"Jakobi Meyers","LV","WR","17.1","13.8","9.8","13.0","16.3","Main","30.3","25.6"
"Jaxson Dart","NYG","QB","17.1","16.8","16.5","16.5","16.5","Main","27.0","26.9"
"Sam Darnold","SEA","QB","16.8","16.6","16.0","16.0","16.0","Main","26.9","26.9"
"Derrick Henry","BAL","RB","16.7","16.1","14.3","14.8","15.3","Main","29.3","28.5"
"Garrett Wilson","NYJ","WR","16.7","13.8","10.2","13.1","16.0","Main","30.3","26.0"
"George Pickens","DAL","WR","16.4","13.8","10.5","13.1","15.6","Main","30.1","26.2"
"Xavier Worthy","KC","WR","16.4","13.6","10.2","13.0","15.7","Monday","29.4","25.3"
"Cam Skattebo","NYG","RB","16.4","14.8","12.7","14.1","15.5","Main","28.3","26.4"
"Quinshon Judkins","CLE","RB","16.3","15.0","12.9","14.1","15.2","Other","28.2","26.6"
"Bryce Young","CAR","QB","16.0","15.8","15.4","15.4","15.4","Main","25.5","25.4"
"Jake Browning","CIN","QB","16.0","15.7","15.2","15.2","15.2","Main","26.0","25.9"
"Kyren Williams","LA","RB","16.0","14.8","13.0","14.1","15.2","Thursday","28.4","26.9"
"Spencer Rattler","NO","QB","16.0","15.8","15.4","15.4","15.4","Main","25.6","25.5"
"CJ Stroud","HOU","QB","15.9","15.6","15.3","15.3","15.3","Main","25.0","24.9"
"Nico Collins","HOU","WR","15.8","13.2","9.8","12.5","15.1","Main","28.8","24.8"
"Justin Jefferson","MIN","WR","15.8","13.1","9.7","12.4","15.1","Other","28.7","24.7"
"Geno Smith","LV","QB","15.6","15.4","14.9","14.9","14.9","Main","24.9","24.9"
"Davante Adams","LA","WR","15.6","13.1","10.2","12.6","15.0","Thursday","28.9","25.2"
"Tyler Warren","IND","TE","15.5","12.7","9.5","12.2","15.0","Main","27.0","22.9"
"Trevor Lawrence","JAX","QB","15.5","15.3","14.8","14.8","14.8","Monday","24.8","24.8"
"Rachaad White","TB","RB","15.5","13.5","11.4","13.2","15.0","Main","26.7","24.1"
"Quentin Johnston","LAC","WR","15.3","12.8","9.8","12.2","14.7","Main","28.5","24.8"
"Tua Tagovailoa","MIA","QB","15.3","15.2","14.7","14.7","14.7","Main","24.7","24.6"
"Trey McBride","ARI","TE","15.2","12.0","8.4","11.6","14.7","Main","26.4","21.8"
"Jaylen Waddle","MIA","WR","15.1","12.4","9.1","11.8","14.4","Main","27.7","23.6"
"Deebo Samuel","WAS","WR","15.0","12.3","9.3","11.9","14.6","Main","26.3","22.5"
"Chase Brown","CIN","RB","14.9","13.2","11.3","12.8","14.4","Main","25.1","22.9"
"Emeka Egbuka","TB","WR","14.9","12.4","9.3","11.8","14.3","Main","27.6","23.8"
"AJ Brown","PHI","WR","14.8","12.2","9.0","11.6","14.2","Main","27.7","23.7"
"Chris Olave","NO","WR","14.7","11.8","8.5","11.3","14.2","Main","26.5","22.4"
"Rico Dowdle","CAR","RB","14.6","13.1","11.3","12.7","14.0","Main","25.9","24.1"
"Mac Jones","SF","QB","14.5","14.3","13.8","13.8","13.8","Thursday","23.2","23.2"
"Carson Wentz","MIN","QB","14.3","14.0","13.7","13.7","13.7","Other","22.9","22.8"
"Jordan Mason","MIN","RB","14.3","13.3","11.8","12.6","13.4","Other","25.8","24.6"
"Tetairoa McMillan","CAR","WR","14.1","11.7","8.7","11.1","13.5","Main","26.6","23.0"
"Travis Etienne","JAX","RB","14.1","12.9","11.3","12.4","13.5","Monday","25.4","23.9"
"Keenan Allen","LAC","WR","14.1","11.4","8.4","11.0","13.7","Main","25.8","22.0"
"Michael Pittman","IND","WR","13.9","11.3","8.3","10.8","13.4","Main","26.3","22.5"
"Ladd McConkey","LAC","WR","13.9","11.4","8.5","10.9","13.4","Main","26.2","22.5"
"Courtland Sutton","DEN","WR","13.6","11.4","8.7","10.9","13.1","Main","25.8","22.4"
"Brian Thomas","JAX","WR","13.6","11.3","8.5","10.8","13.0","Monday","25.8","22.4"
"Alvin Kamara","NO","RB","13.5","12.0","10.3","11.7","13.1","Main","24.1","22.1"
"Chris Godwin","TB","WR","13.4","10.9","7.9","10.5","13.0","Main","24.9","21.1"
"Dillon Gabriel","CLE","QB","13.1","12.9","12.7","12.7","12.7","Other","21.0","20.9"
"Jake Ferguson","DAL","TE","13.1","10.0","6.7","9.8","12.9","Main","22.3","17.8"
"Zay Flowers","BAL","WR","13.0","10.6","7.8","10.2","12.6","Main","23.9","20.3"
"David Montgomery","DET","RB","12.6","11.8","10.7","11.4","12.1","Main","23.5","22.5"
"Marvin Harrison","ARI","WR","12.5","10.5","8.1","10.1","12.1","Main","24.5","21.4"
"Jameson Williams","DET","WR","12.5","10.8","8.6","10.4","12.1","Main","24.6","21.9"
"Michael Carter","ARI","RB","12.4","11.2","9.8","10.9","12.0","Main","23.0","21.5"
"Cameron Ward","TEN","QB","12.4","12.1","12.0","12.0","12.0","Main","20.3","20.2"
"Cooper Rush","BAL","QB","12.3","12.1","11.9","11.9","11.9","Main","20.3","20.2"
"Tre Tucker","LV","WR","12.3","10.2","7.8","9.9","12.0","Main","23.1","20.0"
"Wan'Dale Robinson","NYG","WR","12.3","9.8","7.0","9.5","12.0","Main","22.7","19.0"
"Woody Marks","HOU","RB","12.2","10.9","9.4","10.7","11.9","Main","22.0","20.2"
"Tony Pollard","TEN","RB","11.9","10.8","9.5","10.5","11.5","Main","21.7","20.3"
"DeVonta Smith","PHI","WR","11.8","9.5","6.9","9.2","11.5","Main","22.6","19.2"
"Kenneth Walker","SEA","RB","11.8","10.9","9.7","10.6","11.5","Main","22.1","20.9"
"Tee Higgins","CIN","WR","11.7","9.7","7.4","9.4","11.4","Main","22.4","19.4"
"Cooper Kupp","SEA","WR","11.6","9.3","6.8","9.0","11.3","Main","21.8","18.4"
"Keon Coleman","BUF","WR","11.1","9.4","7.4","9.1","10.8","Sunday","22.6","19.9"
"Sam LaPorta","DET","TE","11.1","9.1","6.8","8.9","10.9","Main","21.0","17.9"
"Stefon Diggs","NE","WR","10.7","8.6","6.3","8.4","10.4","Sunday","20.4","17.3"
"Khalil Shakir","BUF","WR","10.6","8.5","6.2","8.3","10.3","Sunday","20.4","17.3"
"Hunter Henry","NE","TE","10.5","8.5","6.4","8.4","10.4","Sunday","19.9","16.8"
"Travis Kelce","KC","TE","10.4","8.2","5.9","8.1","10.2","Monday","19.1","15.8"
"Jerry Jeudy","CLE","WR","10.3","8.5","6.3","8.2","10.0","Other","20.2","17.3"
"Jordan Addison","MIN","WR","10.3","8.5","6.5","8.3","10.1","Other","20.3","17.5"
"Rashid Shaheed","NO","WR","10.3","8.5","6.5","8.3","10.1","Main","20.0","17.3"
"Malik Washington","MIA","WR","10.2","8.3","6.4","8.2","10.0","Main","18.8","16.1"
"Zach Charbonnet","SEA","RB","10.1","9.2","8.3","9.1","9.8","Main","19.3","18.2"
"Jalen Tolbert","DAL","WR","10.0","8.2","6.2","8.0","9.8","Main","19.6","16.8"
"Troy Franklin","DEN","WR","10.0","8.1","5.9","7.9","9.8","Main","19.0","16.0"
"Kendrick Bourne","SF","WR","10.0","8.0","5.8","7.8","9.8","Thursday","19.2","16.1"
"Zach Ertz","WAS","TE","10.0","8.1","6.0","8.0","9.9","Main","18.9","15.9"
"JK Dobbins","DEN","RB","9.9","9.1","8.2","8.9","9.6","Main","19.0","18.0"
"Rhamondre Stevenson","NE","RB","9.9","8.5","7.1","8.4","9.7","Sunday","18.1","16.1"
"Darius Slayton","NYG","WR","9.9","8.2","6.4","8.0","9.7","Main","19.8","17.2"
"Christian Kirk","HOU","WR","9.8","7.9","5.9","7.7","9.5","Main","19.1","16.3"
"Marquise Brown","KC","WR","9.7","7.8","5.9","7.7","9.5","Monday","19.0","16.1"
"ARI DST","ARI","DST","9.5","9.5","9.5","9.5","9.5","Main","17.2","17.2"
"TreVeyon Henderson","NE","RB","9.4","8.0","6.5","7.9","9.3","Sunday","17.4","15.4"
"Joshua Karty","LA","K","9.4","9.4","9.4","9.4","9.4","Thursday","15.9","15.9"
"Josh Downs","IND","WR","9.2","7.3","5.4","7.2","9.0","Main","18.1","15.3"
"Jake Bates","DET","K","9.1","9.1","9.1","9.1","9.1","Main","15.0","15.0"
"MIN DST","MIN","DST","8.9","8.9","8.9","8.9","8.9","Other","16.5","16.5"
"Matt Prater","BUF","K","8.7","8.7","8.7","8.7","8.7","Sunday","14.6","14.6"
"Brandon Aubrey","DAL","K","8.7","8.7","8.7","8.7","8.7","Main","14.9","14.9"
"Spencer Shrader","IND","K","8.7","8.7","8.7","8.7","8.7","Main","14.8","14.8"
"RJ Harvey","DEN","RB","8.6","7.6","6.6","7.5","8.5","Main","16.8","15.3"
"Brenton Strange","JAX","TE","8.6","6.7","4.7","6.6","8.5","Monday","16.0","13.0"
"Jake Elliott","PHI","K","8.6","8.6","8.6","8.6","8.6","Main","14.7","14.7"
"Chase McLaughlin","TB","K","8.6","8.6","8.6","8.6","8.6","Main","15.0","15.0"
"DET DST","DET","DST","8.6","8.6","8.6","8.6","8.6","Main","16.5","16.5"
"Isiah Pacheco","KC","RB","8.5","7.5","6.4","7.4","8.4","Monday","16.9","15.4"
"Dallas Goedert","PHI","TE","8.5","6.6","4.8","6.6","8.4","Main","16.0","13.1"
"Chad Ryland","ARI","K","8.5","8.5","8.5","8.5","8.5","Main","14.7","14.7"
"Harrison Butker","KC","K","8.5","8.5","8.5","8.5","8.5","Monday","14.7","14.7"
"Cameron Dicker","LAC","K","8.5","8.5","8.5","8.5","8.5","Main","14.6","14.6"
"Jason Myers","SEA","K","8.5","8.5","8.5","8.5","8.5","Main","14.6","14.6"
"Elic Ayomanor","TEN","WR","8.4","6.9","5.2","6.7","8.3","Main","17.0","14.6"
"Matt Gay","WAS","K","8.3","8.3","8.3","8.3","8.3","Main","14.6","14.6"
"Dalton Kincaid","BUF","TE","8.2","6.6","4.9","6.5","8.1","Sunday","16.1","13.6"
"Travis Hunter","JAX","WR","8.2","6.5","4.7","6.4","8.1","Monday","16.2","13.5"
"Jacory Croskey-Merritt","WAS","RB","8.2","7.3","6.4","7.2","8.0","Main","16.5","15.3"
"Blake Grupe","NO","K","8.2","8.2","8.2","8.2","8.2","Main","14.5","14.5"
"BUF DST","BUF","DST","8.2","8.2","8.2","8.2","8.2","Sunday","15.8","15.8"
"JuJu Smith-Schuster","KC","WR","8.1","6.5","4.7","6.4","8.0","Monday","16.1","13.6"
"Calvin Ridley","TEN","WR","8.1","6.6","5.1","6.5","7.9","Main","16.3","14.0"
"Xavier Legette","CAR","WR","8.0","6.5","4.8","6.4","7.9","Main","16.2","13.7"
"Harold Fannin","CLE","TE","8.0","6.2","4.4","6.2","7.9","Other","14.8","12.0"
"Darren Waller","MIA","TE","8.0","6.5","4.9","6.4","7.9","Main","16.0","13.6"
"Nick Folk","NYJ","K","8.0","8.0","8.0","8.0","8.0","Main","14.2","14.2"
"Juwan Johnson","NO","TE","7.9","6.2","4.5","6.1","7.8","Main","15.2","12.5"
"Will Reichard","MIN","K","7.9","7.9","7.9","7.9","7.9","Other","14.1","14.1"
"CLE DST","CLE","DST","7.9","7.9","7.9","7.9","7.9","Other","15.2","15.2"
"Dalton Schultz","HOU","TE","7.8","6.1","4.5","6.1","7.8","Main","15.0","12.4"
"Demarcus Robinson","SF","WR","7.8","6.5","5.0","6.3","7.7","Thursday","16.2","13.9"
"Jake Tonges","SF","TE","7.8","6.1","4.4","6.1","7.8","Thursday","15.2","12.4"
"Wil Lutz","DEN","K","7.8","7.8","7.8","7.8","7.8","Main","13.8","13.8"
"Ka'imi Fairbairn","HOU","K","7.8","7.8","7.8","7.8","7.8","Main","14.0","14.0"
"Eddy Piñeiro","SF","K","7.8","7.8","7.8","7.8","7.8","Thursday","14.1","14.1"
"Hunter Renfrow","CAR","WR","7.7","6.1","4.4","6.0","7.7","Main","15.3","12.7"
"Dyami Brown","JAX","WR","7.7","6.3","4.7","6.2","7.6","Monday","15.3","12.9"
"Kareem Hunt","KC","RB","7.7","7.0","6.4","7.0","7.6","Monday","16.1","15.2"
"Riley Patterson","MIA","K","7.7","7.7","7.7","7.7","7.7","Main","13.9","13.9"
"Jude McAtamney","NYG","K","7.7","7.7","7.7","7.7","7.7","Main","13.8","13.8"
"IND DST","IND","DST","7.7","7.7","7.7","7.7","7.7","Main","15.2","15.2"
"LA DST","LA","DST","7.7","7.7","7.7","7.7","7.7","Thursday","15.2","15.2"
"NO DST","NO","DST","7.7","7.7","7.7","7.7","7.7","Main","15.0","15.0"
