"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Josh Allen","QB","BUF","@JAX","23.0","22.8","24.0","21.5","21.5","21.5","34.7","34.7","Main"
"Christian McCaffrey","RB","SF","@PHI","22.6","19.7","21.8","16.1","18.9","21.6","36.9","33.1","Other"
"Puka Nacua","WR","LA","@CAR","21.3","17.6","20.1","12.8","16.5","20.1","35.9","30.8","Saturday"
"Trevor Lawrence","QB","JAX","BUF","21.2","21.0","22.2","19.6","19.6","19.6","32.3","32.3","Main"
"Drake Maye","QB","NE","LAC","19.9","19.6","21.0","18.4","18.4","18.4","30.5","30.4","Sunday"
"James Cook","RB","BUF","@JAX","19.8","18.2","18.8","15.6","17.2","18.7","33.8","31.8","Main"
"Jalen Hurts","QB","PHI","SF","19.7","19.5","21.0","18.6","18.6","18.6","30.3","30.3","Other"
"Josh Jacobs","RB","GB","@CHI","19.2","17.9","18.1","15.6","16.8","18.0","32.8","31.1","Saturday"
"Matthew Stafford","QB","LA","@CAR","18.9","18.7","20.1","17.4","17.4","17.4","29.0","28.9","Saturday"
"Saquon Barkley","RB","PHI","SF","18.1","16.7","17.1","14.6","15.8","17.0","31.4","29.7","Other"
"Justin Herbert","QB","LAC","@NE","17.8","17.5","18.9","16.5","16.5","16.5","27.7","27.7","Sunday"
"Jordan Love","QB","GB","@CHI","17.1","17.0","18.3","15.8","15.8","15.8","27.1","27.0","Saturday"
"Caleb Williams","QB","CHI","GB","16.2","16.1","17.4","15.2","15.2","15.2","25.8","25.7","Saturday"
"CJ Stroud","QB","HOU","@PIT","16.1","15.9","17.3","14.8","14.8","14.8","25.6","25.6","Monday"
"Brock Purdy","QB","SF","@PHI","16.0","15.8","17.1","14.6","14.6","14.6","25.3","25.2","Other"
"Kyren Williams","RB","LA","@CAR","15.7","14.6","15.0","13.0","13.9","14.9","28.6","27.3","Saturday"
"George Kittle","TE","SF","@PHI","15.5","12.5","17.9","8.9","11.9","14.9","27.2","22.7","Other"
"AJ Brown","WR","PHI","SF","15.2","12.5","14.6","9.3","11.9","14.5","27.8","23.9","Other"
"Travis Etienne","RB","JAX","BUF","15.1","13.9","14.6","12.2","13.4","14.5","27.9","26.3","Main"
"Nico Collins","WR","HOU","@PIT","14.7","12.3","14.1","9.4","11.7","14.0","27.2","23.6","Monday"
"Davante Adams","WR","LA","@CAR","14.3","12.1","13.9","9.5","11.7","13.8","27.2","23.8","Saturday"
"Stefon Diggs","WR","NE","LAC","13.5","11.0","13.1","8.1","10.5","13.0","25.4","21.6","Sunday"
"Christian Watson","WR","GB","@CHI","13.3","11.3","12.7","8.9","10.8","12.7","26.0","22.9","Saturday"
"Jakobi Meyers","WR","JAX","BUF","13.3","10.9","12.9","8.3","10.6","12.9","24.9","21.4","Main"
"Bryce Young","QB","CAR","LA","13.2","13.0","14.1","12.0","12.0","12.0","21.5","21.5","Saturday"
"Parker Washington","WR","JAX","BUF","13.2","11.0","12.8","8.4","10.6","12.8","25.1","21.7","Main"
"Aaron Rodgers","QB","PIT","HOU","13.1","12.9","14.3","11.9","11.9","11.9","21.4","21.4","Monday"
"Kenneth Gainwell","RB","PIT","HOU","13.0","10.6","12.9","8.2","10.5","12.8","23.0","19.6","Monday"
"D'Andre Swift","RB","CHI","GB","12.8","11.8","12.4","10.4","11.4","12.3","23.9","22.6","Saturday"
"DeVonta Smith","WR","PHI","SF","12.8","10.5","12.4","7.8","10.1","12.3","24.4","21.0","Other"
