"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue"
"Rayan Philippe","14","fr FRA","FW","25-045","58","0","0","0","0","2","0","0","0","22","1","0","0","0.4","0.4","0.0","0","0","9","13","69.2","0","14","2","2","1","/en/players/a046fc35/Rayan-Philippe","Hamburger SV","0","1","9","12","6","22","50.0","1","50.0","64","34","0","2","1","2","17","4","Bundesliga","2025-2026","Sunday December 7, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Werder Bremen","https://fbref.com/en/matches/c333d68f/Hamburger-SV-Werder-Bremen-December-7-2025-Bundesliga","13","Volksparkstadion"
"Ransford Königsdörffer","11","gh GHA","FW,RW","24-085","32","0","0","0","0","0","0","0","0","12","0","0","1","0.0","0.0","0.0","1","0","6","7","85.7","0","7","0","1","1","/en/players/ab99782e/Ransford-Konigsdorffer","Hamburger SV","1","2","3","7","1","12","100.0","0","0.0","28","0","0","0","3","1","7","4","Bundesliga","2025-2026","Sunday December 7, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Werder Bremen","https://fbref.com/en/matches/c333d68f/Hamburger-SV-Werder-Bremen-December-7-2025-Bundesliga","13","Volksparkstadion"
"Jean-Luc Dompé","7","fr FRA","LW","30-117","89","0","0","0","0","1","0","0","0","41","0","0","0","0.1","0.1","0.7","5","0","27","38","71.1","4","24","2","3","3","/en/players/9ffdf29a/Jean-Luc-Dompe","Hamburger SV","0","4","9","28","1","41","100.0","0","0.0","129","96","1","0","0","0","31","7","Bundesliga","2025-2026","Sunday December 7, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Werder Bremen","https://fbref.com/en/matches/c333d68f/Hamburger-SV-Werder-Bremen-December-7-2025-Bundesliga","13","Volksparkstadion"
"Fabio Baldé","45","pt POR","LW","20-140","1","0","0","0","0","0","0","0","0","1","0","0","0","0.0","0.0","0.0","0","0","0","1","0.0","0","1","0","0","0","/en/players/54b140c0/Fabio-Balde","Hamburger SV","0","0","1","0","0","1","","0","","1","0","0","0","0","0","1","1","Bundesliga","2025-2026","Sunday December 7, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Werder Bremen","https://fbref.com/en/matches/c333d68f/Hamburger-SV-Werder-Bremen-December-7-2025-Bundesliga","13","Volksparkstadion"
"Fabio Vieira","20","pt POR","RW","25-191","82","0","1","0","0","2","1","0","0","51","0","1","1","0.1","0.1","0.1","4","1","41","46","89.1","7","39","0","2","1","/en/players/6412cc03/Fabio-Vieira","Hamburger SV","1","8","22","22","3","51","50.0","1","50.0","141","64","1","0","1","1","40","7","Bundesliga","2025-2026","Sunday December 7, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Werder Bremen","https://fbref.com/en/matches/c333d68f/Hamburger-SV-Werder-Bremen-December-7-2025-Bundesliga","13","Volksparkstadion"
"Yussuf Poulsen","15","dk DEN","FW","31-175","8","1","0","0","0","1","1","0","0","6","0","0","0","0.2","0.2","0.0","0","0","2","4","50.0","1","3","0","2","2","/en/players/d2416c2e/Yussuf-Poulsen","Hamburger SV","0","0","2","5","1","6","100.0","0","0.0","11","2","0","0","1","0","4","1","Bundesliga","2025-2026","Sunday December 7, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Werder Bremen","https://fbref.com/en/matches/c333d68f/Hamburger-SV-Werder-Bremen-December-7-2025-Bundesliga","13","Volksparkstadion"
"Aboubaka Soumahoro","22","fr FRA","LM","20-306","58","0","0","0","0","0","0","0","0","36","0","0","0","0.0","0.0","0.0","2","0","29","33","87.9","3","21","1","0","0","/en/players/abb2efc5/Aboubaka-Soumahoro","Hamburger SV","1","12","13","11","1","36","","0","","79","27","1","0","1","2","25","5","Bundesliga","2025-2026","Sunday December 7, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Werder Bremen","https://fbref.com/en/matches/c333d68f/Hamburger-SV-Werder-Bremen-December-7-2025-Bundesliga","13","Volksparkstadion"
"Miro Muheim","28","ch SUI","LM","27-258","32","0","1","0","0","0","0","0","0","23","0","2","0","0.0","0.0","0.2","2","2","14","18","77.8","2","12","2","2","2","/en/players/844c6a91/Miro-Muheim","Hamburger SV","2","2","14","8","0","23","100.0","0","0.0","63","46","1","0","1","0","13","1","Bundesliga","2025-2026","Sunday December 7, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Werder Bremen","https://fbref.com/en/matches/c333d68f/Hamburger-SV-Werder-Bremen-December-7-2025-Bundesliga","13","Volksparkstadion"
"Nicolai Remberg","21","de GER","CM","25-171","90","0","0","0","0","0","0","1","0","63","3","2","2","0.0","0.0","0.0","1","0","42","43","97.7","8","38","2","3","1","/en/players/625fd441/Nicolai-Remberg","Hamburger SV","4","24","35","4","0","63","33.3","2","66.7","210","99","1","0","1","0","39","0","Bundesliga","2025-2026","Sunday December 7, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Werder Bremen","https://fbref.com/en/matches/c333d68f/Hamburger-SV-Werder-Bremen-December-7-2025-Bundesliga","13","Volksparkstadion"
"Albert Sambi Lokonga","6","be BEL","CM","26-046","90","1","0","0","0","2","2","0","0","77","3","1","0","0.2","0.2","0.1","5","1","55","62","88.7","6","45","0","4","2","/en/players/1b4f1169/Albert-Sambi-Lokonga","Hamburger SV","5","19","34","24","2","77","50.0","2","50.0","199","74","0","0","1","0","51","6","Bundesliga","2025-2026","Sunday December 7, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Werder Bremen","https://fbref.com/en/matches/c333d68f/Hamburger-SV-Werder-Bremen-December-7-2025-Bundesliga","13","Volksparkstadion"
