"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue","fouls","fouled","offsides","crosses","tackles_won","own_goals","pens_won","pens_conceded"
"Mihailo Ivanović","9","rs SRB","FW","20-362","86","0","0","0","0","3","0","0","0","20","0","1","0","0.6","0.6","0.3","3","0","6","8","75.0","1","7","0","2","0","/en/players/71c620d7/Mihailo-Ivanovic","Millwall","1","1","10","9","5","20","0.0","1","50.0","30","6","0","0","2","1","10","3","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Macaulay Langstaff","17","eng ENG","FW","28-296","4","0","0","0","0","0","0","0","0","3","0","0","0","0.0","0.0","0.0","1","0","1","1","100.0","0","2","1","1","1","/en/players/ca9b48af/Macaulay-Langstaff","Millwall","0","0","1","2","0","3","100.0","0","0.0","19","10","0","0","1","0","3","2","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Aidomo Emakhu","22","ie IRL","LW","22-031","86","0","0","0","0","4","2","0","0","36","2","1","1","0.2","0.2","0.0","2","0","7","16","43.8","0","21","6","4","2","/en/players/be7c526f/Aidomo-Emakhu","Millwall","0","2","10","25","5","36","50.0","2","50.0","222","116","2","2","6","0","26","13","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Kelly","16","sct SCO","LW","20-054","4","0","0","0","0","1","1","0","0","2","0","0","1","0.0","0.0","0.0","0","0","0","0","","0","0","0","0","0","/en/players/dec73dc2/Daniel-Kelly","Millwall","0","0","1","1","1","2","","0","","0","0","0","0","0","0","1","1","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Thierno Ballo","7","at AUT","RW","23-328","60","0","0","0","0","2","1","0","0","19","0","0","0","0.8","0.8","0.0","1","0","11","14","78.6","1","12","0","0","0","/en/players/d32daf5d/Thierno-Ballo","Millwall","0","0","9","10","4","19","","0","","54","7","0","0","3","0","13","2","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Femi Azeez","11","eng ENG","RW","24-174","30","1","0","0","0","3","2","0","0","30","1","0","1","0.3","0.3","0.2","3","0","13","23","56.5","4","14","2","1","0","/en/players/2d590087/Femi-Azeez","Millwall","0","2","9","20","3","30","0.0","1","100.0","70","53","2","1","1","0","18","5","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Camiel Neghli","10","nl NED","AM","24-020","60","0","0","0","0","2","0","0","0","29","0","0","1","0.1","0.1","0.0","3","0","12","24","50.0","3","15","2","0","0","/en/players/ad0d3536/Camiel-Neghli","Millwall","0","0","19","11","1","29","","0","","118","48","1","0","1","0","21","3","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Raees Bangura-Williams","31","","AM","","30","0","0","0","0","0","0","0","0","16","1","0","1","0.0","0.0","0.1","2","0","6","10","60.0","2","4","0","2","1","/en/players/ccb5fe22/Raees-Bangura-Williams","Millwall","1","2","8","6","1","16","50.0","1","50.0","11","1","0","0","0","1","7","2","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Luke Cundle","25","eng ENG","DM","23-214","90","0","0","0","0","2","0","0","0","58","1","2","1","0.3","0.3","0.0","1","0","40","45","88.9","2","32","1","1","0","/en/players/cc3b8e78/Luke-Cundle","Millwall","3","6","43","9","3","58","0.0","1","100.0","123","60","0","0","0","0","34","1","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Casper de Norre","24","be BEL","DM","28-292","90","0","0","0","0","0","0","0","0","64","1","0","0","0.0","0.0","0.0","2","0","46","56","82.1","9","34","0","0","0","/en/players/b3e4a674/Casper-de-Norre","Millwall","3","8","43","13","1","64","","0","","174","68","2","0","0","1","36","0","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
