"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue"
"Tyreece Campbell","7","jm JAM","FW,LW","22-069","90","0","0","0","0","1","0","1","0","35","0","0","1","0.0","0.0","0.0","3","0","23","29","79.3","2","27","7","2","2","/en/players/2b5b375a/Tyreece-Campbell","Charlton Athletic","0","3","15","19","3","35","100.0","0","0.0","216","128","3","3","3","2","29","8","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Miles Leaburn","11","eng ENG","FW","21-359","77","0","0","0","0","0","0","0","0","23","0","1","0","0.0","0.0","0.2","6","0","12","18","66.7","1","14","2","4","2","/en/players/ce3da348/Miles-Leaburn","Charlton Athletic","0","0","10","13","2","23","50.0","1","25.0","78","22","1","1","0","1","17","8","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Harvey Knibbs","41","eng ENG","FW","26-210","13","0","0","0","0","1","0","0","0","7","0","0","0","0.1","0.1","0.0","0","0","2","2","100.0","0","2","0","1","0","/en/players/10856e41/Harvey-Knibbs","Charlton Athletic","2","2","3","2","1","7","0.0","1","100.0","8","1","0","0","1","0","2","0","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Onel Hernández","27","cu CUB","RW,LW","32-294","90","0","0","0","0","1","0","0","0","22","1","1","1","0.0","0.0","0.0","0","0","11","13","84.6","0","9","1","0","0","/en/players/007b39a5/Onel-Hernandez","Charlton Athletic","0","6","11","5","1","22","","0","","56","36","1","1","1","1","9","1","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Robert Apter","30","sct SCO","RW","22-213","23","0","0","0","0","0","0","0","0","6","0","0","0","0.0","0.0","0.0","0","0","3","6","50.0","0","2","0","0","0","/en/players/1c12ee0a/Robert-Apter","Charlton Athletic","0","0","3","3","0","6","","0","","11","7","0","0","0","0","3","0","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Joe Rankin-Costello","26","eng ENG","CB,DM","26-119","67","0","0","0","0","0","0","1","0","31","1","0","0","0.0","0.0","0.0","1","0","17","26","65.4","4","21","1","6","4","/en/players/60f63958/Joe-Rankin-Costello","Charlton Athletic","0","5","24","3","0","31","66.7","2","33.3","115","82","0","0","0","0","19","2","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Greg Docherty","10","sct SCO","CM","29-073","72","0","0","0","0","2","0","1","0","25","1","0","1","0.1","0.1","0.0","1","0","15","16","93.8","0","13","0","1","0","/en/players/d6d15aea/Greg-Docherty","Charlton Athletic","3","10","8","7","4","25","0.0","1","100.0","82","6","0","0","1","3","16","2","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Isaac Olaofe","22","eng ENG","FW","26-001","18","0","0","0","0","0","0","0","0","4","0","0","0","0.0","0.0","0.1","0","0","1","2","50.0","0","2","0","0","0","/en/players/2f4fb18c/Isaac-Olaofe","Charlton Athletic","0","0","3","1","0","4","","0","","9","0","0","0","0","1","2","1","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Sonny Carey","14","eng ENG","CM","24-306","72","0","1","0","0","4","1","0","0","31","0","0","0","0.1","0.1","0.2","3","1","19","22","86.4","1","14","1","0","0","/en/players/1db3715b/Sonny-Carey","Charlton Athletic","1","3","17","11","4","31","","0","","98","30","0","0","3","1","19","3","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Karoy Anderson","18","jm JAM","CM","21-052","18","0","0","0","0","0","0","0","0","10","1","0","0","0.0","0.0","0.0","0","0","3","3","100.0","0","4","0","2","0","/en/players/fb69f073/Karoy-Anderson","Charlton Athletic","0","1","3","6","0","10","0.0","2","100.0","7","0","0","0","2","0","4","0","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Conor Coventry","6","ie IRL","DM","25-242","72","0","0","0","0","1","0","0","0","55","3","2","2","0.1","0.1","0.0","0","0","36","45","80.0","4","39","1","1","0","/en/players/a5ca9127/Conor-Coventry","Charlton Athletic","0","15","34","6","0","55","0.0","1","100.0","180","78","1","0","0","0","39","0","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Luke Berry","8","eng ENG","CM","33-133","18","0","0","0","0","0","0","0","0","4","1","0","0","0.0","0.0","0.0","0","0","1","3","33.3","0","1","0","0","0","/en/players/2aaadf33/Luke-Berry","Charlton Athletic","0","0","1","3","0","4","","0","","2","2","0","0","0","0","2","1","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Macaulay Gillesphey","3","eng ENG","LW,CB","29-363","90","0","0","0","0","0","0","0","0","63","1","0","1","0.0","0.0","0.1","6","1","46","57","80.7","10","37","1","0","0","/en/players/bba2a6a4/Macaulay-Gillesphey","Charlton Athletic","5","22","31","11","0","63","","0","","87","46","1","0","0","1","42","2","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Lloyd Jones","5","eng ENG","CB","30-046","90","1","0","0","0","2","1","0","0","56","0","1","2","0.2","0.2","0.0","2","0","40","42","95.2","1","37","0","2","0","/en/players/cda3eb58/Lloyd-Jones","Charlton Athletic","10","34","20","3","2","56","0.0","1","50.0","143","45","1","0","0","0","35","0","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Kayne Ramsey","2","eng ENG","CB","25-043","90","0","0","0","0","0","0","1","0","44","2","1","2","0.0","0.0","0.0","0","0","32","37","86.5","6","28","0","0","0","/en/players/dc31b84c/Kayne-Ramsey","Charlton Athletic","5","13","30","1","1","44","","0","","139","91","0","0","0","0","30","0","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Thomas Kaminski","1","be BEL","GK","33-030","90","0","0","0","0","0","0","0","0","37","0","0","0","0.0","0.0","0.0","1","0","27","33","81.8","0","21","0","0","0","/en/players/1caa93a5/Thomas-Kaminski","Charlton Athletic","28","37","0","0","0","37","","0","","52","18","0","0","0","0","16","0","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Adam Armstrong","9","eng ENG","FW","28-285","74","1","2","0","0","8","2","0","0","35","3","0","0","0.9","0.9","1.5","12","4","19","22","86.4","6","16","2","2","1","/en/players/68c720b5/Adam-Armstrong","Southampton","0","3","19","13","7","35","50.0","0","0.0","80","53","1","1","3","0","24","5","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Damion Downs","42","us USA","FW","21-139","16","0","0","0","0","1","0","0","0","11","0","0","0","0.1","0.1","0.0","0","0","3","4","75.0","0","11","1","1","1","/en/players/640134d6/Damion-Downs","Southampton","0","0","5","6","2","11","100.0","0","0.0","71","31","1","0","3","0","11","4","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Léo Scienza","13","br BRA","AM","27-070","64","0","0","0","0","3","1","0","0","35","0","0","1","0.1","0.1","0.3","3","0","24","29","82.8","2","18","5","1","1","/en/players/79064bc9/Leo-Scienza","Southampton","0","3","16","17","4","35","100.0","0","0.0","305","157","4","3","1","2","25","3","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Jay Robinson","46","eng ENG","AM","18-252","26","0","0","0","0","0","0","0","0","10","0","1","1","0.0","0.0","0.0","0","0","2","4","50.0","1","4","1","4","2","/en/players/2a616c85/Jay-Robinson","Southampton","0","3","3","6","3","10","50.0","1","25.0","38","25","0","0","1","0","5","1","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Finn Azaz","10","ie IRL","AM","25-076","64","2","0","0","0","4","3","0","0","38","3","0","0","2.0","2.0","0.1","6","1","14","20","70.0","3","21","1","3","1","/en/players/b6f54c31/Finn-Azaz","Southampton","1","9","14","15","6","38","33.3","2","66.7","78","39","3","0","3","0","28","4","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Joe Aribo","7","ng NGA","AM","29-124","26","0","0","0","0","0","0","0","0","4","0","0","1","0.0","0.0","0.0","0","0","2","2","100.0","0","0","0","0","0","/en/players/328f7d51/Joe-Aribo","Southampton","0","1","3","0","0","4","","0","","0","0","0","0","1","0","1","0","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Caspar Jander","20","de GER","CM","22-244","90","1","0","0","0","2","1","0","0","53","1","2","2","0.6","0.6","0.0","3","0","39","42","92.9","2","20","1","3","3","/en/players/81297bf8/Caspar-Jander","Southampton","2","11","33","10","3","53","100.0","0","0.0","81","28","1","1","1","2","34","3","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Cameron Bragg","48","eng ENG","CM","20-226","74","0","0","0","0","0","0","0","0","52","6","0","0","0.0","0.0","0.1","4","0","44","46","95.7","1","20","0","1","0","/en/players/a596a82a/Cameron-Bragg","Southampton","5","17","26","9","0","52","0.0","1","100.0","75","25","0","0","0","0","36","0","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
"Flynn Downes","4","eng ENG","CM","26-306","16","0","0","0","0","0","0","0","0","10","2","1","1","0.0","0.0","0.0","0","0","5","5","100.0","1","3","0","0","0","/en/players/69fdb896/Flynn-Downes","Southampton","0","3","6","1","0","10","","0","","9","7","0","0","1","0","4","0","Championship","2025-2026","Saturday November 22, 2025, 12:30 (venue time)","Charlton Athletic","Southampton","https://fbref.com/en/matches/1d077c9a/Charlton-Athletic-Southampton-November-22-2025-Championship","16","The Valley"
