"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue"
"Federico Viñas","9","uy URU","FW","27-173","85","0","0","0","0","1","0","0","0","28","0","0","0","0.1","0.1","0.1","3","0","16","19","84.2","3","12","0","6","2","/en/players/d30c7094/Federico-Vinas","Oviedo","0","0","15","14","5","28","33.3","4","66.7","43","8","1","0","0","1","17","3","La-Liga","2025-2026","Saturday December 20, 2025, 14:00 (venue time) 13:00 (local time)","Oviedo","Celta Vigo","https://fbref.com/en/matches/f9d5b454/Oviedo-Celta-Vigo-December-20-2025-La-Liga","17","Estadio Nuevo Carlos Tartiere"
"Luka Ilić","21","rs SRB","LW","26-171","5","0","0","0","0","0","0","0","0","5","1","0","1","0.0","0.0","0.0","0","0","1","1","100.0","0","3","0","1","0","/en/players/7bbcff4d/Luka-Ilic","Oviedo","0","1","2","2","0","5","0.0","1","100.0","10","0","0","0","1","0","3","2","La-Liga","2025-2026","Saturday December 20, 2025, 14:00 (venue time) 13:00 (local time)","Oviedo","Celta Vigo","https://fbref.com/en/matches/f9d5b454/Oviedo-Celta-Vigo-December-20-2025-La-Liga","17","Estadio Nuevo Carlos Tartiere"
"Josip Brekalo","18","hr CRO","LW","27-180","70","0","0","0","0","1","0","0","0","45","3","1","2","0.0","0.0","0.0","2","0","22","36","61.1","7","21","1","1","1","/en/players/d4a2533d/Josip-Brekalo","Oviedo","0","3","21","22","3","45","100.0","0","0.0","142","40","1","1","1","0","31","5","La-Liga","2025-2026","Saturday December 20, 2025, 14:00 (venue time) 13:00 (local time)","Oviedo","Celta Vigo","https://fbref.com/en/matches/f9d5b454/Oviedo-Celta-Vigo-December-20-2025-La-Liga","17","Estadio Nuevo Carlos Tartiere"
"Haissem Hassan","10","fr FRA","RW","23-315","20","0","0","0","0","0","0","0","0","15","0","0","1","0.0","0.0","0.0","0","0","9","12","75.0","0","11","2","0","0","/en/players/e0979e74/Haissem-Hassan","Oviedo","0","1","7","7","1","15","","0","","106","60","0","0","0","0","13","1","La-Liga","2025-2026","Saturday December 20, 2025, 14:00 (venue time) 13:00 (local time)","Oviedo","Celta Vigo","https://fbref.com/en/matches/f9d5b454/Oviedo-Celta-Vigo-December-20-2025-La-Liga","17","Estadio Nuevo Carlos Tartiere"
"Ilyas Chaira","7","ma MAR","RW,LW","24-321","81","0","0","0","0","2","2","0","0","57","4","1","1","0.1","0.1","0.3","2","0","29","39","74.4","3","34","5","1","0","/en/players/c998f00f/Ilyas-Chaira","Oviedo","0","7","20","32","5","57","0.0","1","100.0","231","140","6","0","6","0","41","11","La-Liga","2025-2026","Saturday December 20, 2025, 14:00 (venue time) 13:00 (local time)","Oviedo","Celta Vigo","https://fbref.com/en/matches/f9d5b454/Oviedo-Celta-Vigo-December-20-2025-La-Liga","17","Estadio Nuevo Carlos Tartiere"
"Salomón Rondón","23","ve VEN","FW,LW","36-095","9","0","0","0","0","0","0","0","0","3","0","0","0","0.0","0.0","0.0","0","0","2","2","100.0","0","1","0","0","0","/en/players/b318a643/Salomon-Rondon","Oviedo","0","1","1","1","0","3","","0","","1","1","0","0","0","0","1","0","La-Liga","2025-2026","Saturday December 20, 2025, 14:00 (venue time) 13:00 (local time)","Oviedo","Celta Vigo","https://fbref.com/en/matches/f9d5b454/Oviedo-Celta-Vigo-December-20-2025-La-Liga","17","Estadio Nuevo Carlos Tartiere"
"Alberto Reina","5","es ESP","AM","28-102","81","0","0","0","0","1","1","0","0","53","1","0","0","0.0","0.0","0.0","2","0","41","48","85.4","8","32","1","1","1","/en/players/dede3190/Alberto-Reina","Oviedo","0","6","34","14","1","53","100.0","0","0.0","142","62","1","0","0","0","40","5","La-Liga","2025-2026","Saturday December 20, 2025, 14:00 (venue time) 13:00 (local time)","Oviedo","Celta Vigo","https://fbref.com/en/matches/f9d5b454/Oviedo-Celta-Vigo-December-20-2025-La-Liga","17","Estadio Nuevo Carlos Tartiere"
"Santi Cazorla","8","es ESP","AM","41-007","9","0","0","0","0","0","0","0","0","7","0","0","0","0.0","0.0","0.0","0","0","6","7","85.7","1","5","0","0","0","/en/players/e2e9c250/Santi-Cazorla","Oviedo","0","0","5","2","0","7","","0","","19","8","0","0","0","0","8","0","La-Liga","2025-2026","Saturday December 20, 2025, 14:00 (venue time) 13:00 (local time)","Oviedo","Celta Vigo","https://fbref.com/en/matches/f9d5b454/Oviedo-Celta-Vigo-December-20-2025-La-Liga","17","Estadio Nuevo Carlos Tartiere"
"Santiago Colombatto","11","ar ARG","DM","28-337","90","0","0","0","0","1","0","1","0","49","0","0","1","0.1","0.1","0.1","2","0","32","42","76.2","4","19","0","0","0","/en/players/ad9fdbf3/Santiago-Colombatto","Oviedo","1","10","22","18","4","49","","0","","89","39","1","0","1","0","25","5","La-Liga","2025-2026","Saturday December 20, 2025, 14:00 (venue time) 13:00 (local time)","Oviedo","Celta Vigo","https://fbref.com/en/matches/f9d5b454/Oviedo-Celta-Vigo-December-20-2025-La-Liga","17","Estadio Nuevo Carlos Tartiere"
"Kwasi Sibo","6","gh GHA","DM","27-179","90","0","0","0","0","1","0","0","0","44","0","0","0","0.1","0.1","0.0","0","0","35","41","85.4","1","27","1","0","0","/en/players/be834ad7/Kwasi-Sibo","Oviedo","1","11","26","7","1","44","","0","","77","36","0","0","2","0","37","0","La-Liga","2025-2026","Saturday December 20, 2025, 14:00 (venue time) 13:00 (local time)","Oviedo","Celta Vigo","https://fbref.com/en/matches/f9d5b454/Oviedo-Celta-Vigo-December-20-2025-La-Liga","17","Estadio Nuevo Carlos Tartiere"
