"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue"
"Armando Broja","27","al ALB","FW","24-111","90","0","1","0","0","1","0","0","0","31","2","1","0","0.1","0.1","0.2","3","1","13","18","72.2","2","16","3","2","1","/en/players/97220da2/Armando-Broja","Burnley","2","3","15","15","3","31","50.0","1","50.0","181","87","3","1","3","0","17","3","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19","Turf Moor"
"Loum Tchaouna","17","fr FRA","LW,RW","22-113","73","0","0","0","0","4","1","0","0","37","0","0","2","0.3","0.3","0.0","2","0","21","28","75.0","2","16","1","0","0","/en/players/a3c8b4d3/Loum-Tchaouna","Burnley","0","4","17","16","2","37","","0","","109","36","0","0","2","1","27","2","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19","Turf Moor"
"Jacob Bruun Larsen","7","dk DEN","LW","27-102","17","0","0","0","0","0","0","0","0","5","0","1","0","0.0","0.0","0.0","0","0","2","3","66.7","0","1","0","1","0","/en/players/4e204552/Jacob-Bruun-Larsen","Burnley","0","0","5","0","0","5","0.0","1","100.0","12","0","0","0","0","0","3","1","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19","Turf Moor"
"Marcus Edwards","10","eng ENG","RW,LW","27-027","90","0","0","0","0","4","1","0","0","40","1","0","0","0.3","0.3","0.2","5","0","22","26","84.6","2","28","6","5","1","/en/players/57760e66/Marcus-Edwards","Burnley","0","1","19","20","6","40","20.0","4","80.0","219","131","2","3","5","2","32","9","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19","Turf Moor"
"Lucas","23","br BRA","LM","24-281","90","0","0","0","0","3","0","0","0","59","3","2","2","0.1","0.1","0.2","5","1","32","44","72.7","1","25","1","1","0","/en/players/5d68f5b2/Lucas","Burnley","4","14","25","22","3","59","0.0","1","100.0","148","91","2","0","2","1","32","7","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19","Turf Moor"
"Lesley Ugochukwu","8","fr FRA","CM","21-279","87","0","0","0","0","0","0","0","0","65","4","1","4","0.0","0.0","0.0","4","0","44","56","78.6","6","32","3","0","0","/en/players/1df4a109/Lesley-Ugochukwu","Burnley","0","4","46","16","4","65","","0","","210","132","1","0","1","0","45","1","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19","Turf Moor"
"Ashley Barnes","35","eng ENG","CM","36-061","3","0","0","0","0","1","0","0","0","3","0","0","0","0.1","0.1","0.0","0","0","0","0","","0","1","0","0","0","/en/players/2691c772/Ashley-Barnes","Burnley","0","0","1","2","2","3","","0","","0","0","0","0","1","0","1","0","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19","Turf Moor"
"Florentino Luís","16","pt POR","CM","26-133","87","0","0","0","0","0","0","1","0","70","4","1","2","0.0","0.0","0.1","1","0","51","57","89.5","4","32","1","3","1","/en/players/881cd6be/Florentino-Luis","Burnley","3","14","50","6","0","70","33.3","2","66.7","110","32","1","0","0","1","44","0","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19","Turf Moor"
"Mike Trésor","31","be BEL","CM","26-216","3","0","0","0","0","0","0","0","0","4","0","0","0","0.0","0.0","0.0","0","0","3","3","100.0","0","2","0","1","0","/en/players/b2a81fc6/Mike-Tresor","Burnley","0","1","4","0","0","4","0.0","1","100.0","22","16","0","0","0","0","1","0","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19","Turf Moor"
"Kyle Walker","2","eng ENG","RM","35-216","90","0","0","0","0","0","0","1","0","67","4","2","2","0.0","0.0","0.0","1","0","36","55","65.5","3","17","0","1","0","/en/players/86dd77d1/Kyle-Walker","Burnley","2","16","36","16","0","67","0.0","1","100.0","93","64","0","0","3","0","34","0","Premier-League","2025-2026","Tuesday December 30, 2025, 19:30 (venue time)","Burnley","Newcastle United","https://fbref.com/en/matches/7e8f51ca/Burnley-Newcastle-United-December-30-2025-Premier-League","19","Turf Moor"
