"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue"
"Mattéo Tramoni","10","fr FRA","FW,LM","25-341","90","0","0","0","0","1","0","1","0","34","1","1","0","0.1","0.1","0.3","4","0","13","21","61.9","1","21","3","2","0","/en/players/2e0ae188/Matteo-Tramoni","Pisa","0","4","11","19","4","34","0.0","2","100.0","135","42","1","2","3","2","20","7","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17","Arena Garibaldi - Stadio Romeo Anconetan..."
"Stefano Moreo","32","it ITA","FW","32-180","90","0","0","0","0","3","0","0","0","28","1","1","2","0.3","0.3","0.0","1","0","7","14","50.0","0","10","1","0","0","/en/players/7c52943c/Stefano-Moreo","Pisa","2","5","12","12","4","28","","0","","50","17","1","0","2","1","15","5","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17","Arena Garibaldi - Stadio Romeo Anconetan..."
"İsak Vural","21","tr TUR","CM","19-213","64","0","0","0","0","1","0","1","0","28","0","0","1","0.1","0.1","0.0","1","0","18","20","90.0","2","16","0","1","0","/en/players/c7d1b2ff/Isak-Vural","Pisa","3","5","17","6","1","28","0.0","0","0.0","57","23","0","0","3","0","17","2","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17","Arena Garibaldi - Stadio Romeo Anconetan..."
"Malthe Hojholt","8","dk DEN","CM","24-255","26","0","0","0","0","0","0","0","0","16","0","0","1","0.0","0.0","0.0","0","0","9","12","75.0","0","5","0","1","0","/en/players/b52b9079/Malthe-Hojholt","Pisa","1","1","8","7","0","16","0.0","1","100.0","12","8","1","0","2","0","6","0","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17","Arena Garibaldi - Stadio Romeo Anconetan..."
"Michel Aebischer","20","ch SUI","CM","28-355","78","0","0","0","0","0","0","0","0","46","1","1","2","0.0","0.0","0.1","1","0","31","41","75.6","4","24","0","0","0","/en/players/f9c927de/Michel-Aebischer","Pisa","1","14","23","9","0","46","","0","","91","25","1","0","0","3","30","1","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17","Arena Garibaldi - Stadio Romeo Anconetan..."
"Marius Marin","6","ro ROU","CM","27-119","12","0","0","0","0","1","0","0","0","14","0","0","0","0.0","0.0","0.0","0","0","10","12","83.3","4","7","0","0","0","/en/players/a5106847/Marius-Marin","Pisa","0","3","6","5","1","14","","0","","34","23","1","0","0","0","6","0","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17","Arena Garibaldi - Stadio Romeo Anconetan..."
"Mehdi Léris","7","dz ALG","CM","27-218","77","0","0","0","0","0","0","0","0","32","1","0","1","0.0","0.0","0.1","3","0","14","20","70.0","2","15","1","1","0","/en/players/7d3cbc67/Mehdi-Leris","Pisa","3","11","10","11","0","32","0.0","1","100.0","56","15","0","0","3","1","20","5","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17","Arena Garibaldi - Stadio Romeo Anconetan..."
"Lorran","99","br BRA","RM,CM","19-176","13","0","0","0","0","0","0","0","0","14","0","0","0","0.0","0.0","0.0","0","0","9","12","75.0","0","9","2","1","1","/en/players/f87b8eed/Lorran","Pisa","0","0","5","9","2","14","100.0","0","0.0","70","48","1","0","2","0","10","1","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17","Arena Garibaldi - Stadio Romeo Anconetan..."
"Samuele Angori","3","it ITA","WB","22-081","64","0","0","0","0","1","0","1","0","26","1","2","0","0.1","0.1","0.0","0","0","16","21","76.2","3","18","3","1","1","/en/players/9ee1d39e/Samuele-Angori","Pisa","1","6","15","6","0","26","100.0","0","0.0","96","50","1","0","0","0","21","1","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17","Arena Garibaldi - Stadio Romeo Anconetan..."
"Giovanni Bonfanti","94","it ITA","WB,LB","22-344","26","0","0","0","0","0","0","0","0","18","2","0","0","0.0","0.0","0.0","1","0","5","14","35.7","1","8","1","0","0","/en/players/938d8a55/Giovanni-Bonfanti","Pisa","1","7","2","10","0","18","","0","","33","4","0","0","1","1","8","1","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17","Arena Garibaldi - Stadio Romeo Anconetan..."
