"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Nicolas Jackson","11","sn SEN","FW","24-120","60","25","0","1","11","13","0","25","2","0","0.0","1","50.0","14","50","6","0","0","0","2","1","19","4","Bayern Munich","Bundesliga","2025-2026","Saturday October 18, 2025, 18:30 (venue time) 17:30 (local time)","Bayern Munich","Dortmund","https://fbref.com/en/matches/2b1ceae8/Der-Klassiker-Bayern-Munich-Dortmund-October-18-2025-Bundesliga","7"
"Leon Goretzka","8","de GER","DM,CM","30-254","30","13","1","11","2","0","0","13","0","0","","0","","4","19","1","0","0","0","0","0","4","0","Bayern Munich","Bundesliga","2025-2026","Saturday October 18, 2025, 18:30 (venue time) 17:30 (local time)","Bayern Munich","Dortmund","https://fbref.com/en/matches/2b1ceae8/Der-Klassiker-Bayern-Munich-Dortmund-October-18-2025-Bundesliga","7"
"Luis Díaz","14","co COL","LW,FW","28-278","90","52","0","6","23","24","7","52","6","1","16.7","5","83.3","32","232","57","4","2","5","5","2","37","12","Bayern Munich","Bundesliga","2025-2026","Saturday October 18, 2025, 18:30 (venue time) 17:30 (local time)","Bayern Munich","Dortmund","https://fbref.com/en/matches/2b1ceae8/Der-Klassiker-Bayern-Munich-Dortmund-October-18-2025-Bundesliga","7"
"Michael Olise","17","fr FRA","RW,CM","23-310","90","75","1","5","38","33","8","75","3","1","33.3","1","33.3","56","268","124","5","2","5","2","3","63","11","Bayern Munich","Bundesliga","2025-2026","Saturday October 18, 2025, 18:30 (venue time) 17:30 (local time)","Bayern Munich","Dortmund","https://fbref.com/en/matches/2b1ceae8/Der-Klassiker-Bayern-Munich-Dortmund-October-18-2025-Bundesliga","7"
"Harry Kane","9","eng ENG","AM,FW","32-082","90","62","3","21","28","13","3","62","3","1","33.3","0","0.0","31","143","88","2","1","1","3","1","44","1","Bayern Munich","Bundesliga","2025-2026","Saturday October 18, 2025, 18:30 (venue time) 17:30 (local time)","Bayern Munich","Dortmund","https://fbref.com/en/matches/2b1ceae8/Der-Klassiker-Bayern-Munich-Dortmund-October-18-2025-Bundesliga","7"
"Aleksandar Pavlovic","45","de GER","DM,AM","21-168","89","82","2","16","47","19","1","82","0","0","","0","","39","133","62","2","0","0","3","0","66","1","Bayern Munich","Bundesliga","2025-2026","Saturday October 18, 2025, 18:30 (venue time) 17:30 (local time)","Bayern Munich","Dortmund","https://fbref.com/en/matches/2b1ceae8/Der-Klassiker-Bayern-Munich-Dortmund-October-18-2025-Bundesliga","7"
"Kim Min-jae","3","kr KOR","CB","28-337","1","1","0","1","0","0","0","1","0","0","","0","","1","19","10","0","0","0","0","0","0","0","Bayern Munich","Bundesliga","2025-2026","Saturday October 18, 2025, 18:30 (venue time) 17:30 (local time)","Bayern Munich","Dortmund","https://fbref.com/en/matches/2b1ceae8/Der-Klassiker-Bayern-Munich-Dortmund-October-18-2025-Bundesliga","7"
"Joshua Kimmich","6","de GER","DM,RB,CM","30-252","90","101","3","36","50","16","1","101","1","1","100.0","0","0.0","45","206","87","0","0","0","0","0","65","0","Bayern Munich","Bundesliga","2025-2026","Saturday October 18, 2025, 18:30 (venue time) 17:30 (local time)","Bayern Munich","Dortmund","https://fbref.com/en/matches/2b1ceae8/Der-Klassiker-Bayern-Munich-Dortmund-October-18-2025-Bundesliga","7"
"Konrad Laimer","27","at AUT","LB","28-144","90","72","3","23","35","14","0","72","0","0","","0","","32","213","163","5","1","0","4","1","52","0","Bayern Munich","Bundesliga","2025-2026","Saturday October 18, 2025, 18:30 (venue time) 17:30 (local time)","Bayern Munich","Dortmund","https://fbref.com/en/matches/2b1ceae8/Der-Klassiker-Bayern-Munich-Dortmund-October-18-2025-Bundesliga","7"
"Jonathan Tah","4","de GER","CB","29-249","90","74","7","43","29","2","0","74","0","0","","0","","42","197","81","0","0","0","2","0","53","0","Bayern Munich","Bundesliga","2025-2026","Saturday October 18, 2025, 18:30 (venue time) 17:30 (local time)","Bayern Munich","Dortmund","https://fbref.com/en/matches/2b1ceae8/Der-Klassiker-Bayern-Munich-Dortmund-October-18-2025-Bundesliga","7"
