"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Lucas Beltrán","15","ar ARG","FW","24-265","86","34","1","1","12","21","5","34","2","1","50.0","0","0.0","20","100","43","2","1","0","5","2","29","11","Valencia","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"Diego López","16","es ESP","AM","23-220","4","3","0","0","1","2","1","3","0","0","","0","","2","8","0","0","0","0","0","0","3","0","Valencia","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"Hugo Duro","9","es ESP","FW","26-039","90","35","1","5","12","18","9","35","0","0","","0","","12","47","15","0","0","0","1","0","22","4","Valencia","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"Domingos André Ribeiro Almeida","10","pt POR","LM","25-203","75","65","0","2","30","33","4","65","1","1","100.0","0","0.0","38","263","130","6","2","2","4","2","54","8","Valencia","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"Arnaut Danjuma","7","nl NED","LM,LW","28-322","15","13","1","2","4","7","2","13","1","0","0.0","0","0.0","7","89","45","1","1","1","0","2","6","3","Valencia","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"José Luis García Vayá","18","es ESP","CM,DM","27-130","90","112","2","14","71","27","0","112","0","0","","0","","60","301","141","1","0","0","0","0","78","0","Valencia","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"Filip Ugrinic","23","ch SUI","CM","26-348","71","71","0","5","41","25","2","71","1","1","100.0","0","0.0","43","176","59","0","1","0","0","0","63","2","Valencia","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"Javier Guerra","8","es ESP","CM,DM","22-352","19","6","1","2","1","3","0","6","0","0","","0","","1","0","0","0","0","0","0","0","3","2","Valencia","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"Luis Rioja","11","es ESP","RM","32-064","71","60","0","2","14","44","8","60","2","1","50.0","1","50.0","35","299","102","3","3","3","1","3","46","16","Valencia","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"Largie Ramazani","17","be BEL","RM,RW","24-295","19","9","0","1","6","2","0","9","0","0","","0","","6","38","10","0","0","0","1","3","6","3","Valencia","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
