"minute","player","team","xg_shot","psxg_shot","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","league","season","match_date","home_team","away_team","match_url","gameweek"
"2","Derry Scherhant","Freiburg","0.04","0.14","Saved","19","Right Foot","","Philipp Lienhart","Pass (Live)","Noah Atubolu","Pass (Live)","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"3","Philipp Lienhart","Freiburg","0.11","0.00","Off Target","5","Head","","Derry Scherhant","Pass (Dead)","Derry Scherhant","Shot","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"4","Junior Adamu","Freiburg","0.06","0.42","Saved","18","Left Foot","","","","","","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"5","Junior Adamu","Freiburg","0.05","0.04","Saved","9","Head","","Derry Scherhant","Pass (Dead)","Junior Adamu","Shot","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"6","Christian Kofane","Leverkusen","0.26","0.00","Off Target","5","Head","","Arthur","Pass (Live)","Ezequiél Fernández","Pass (Live)","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"17","Álex Grimaldo","Leverkusen","0.05","0.46","Saved","26","Left Foot","Free kick","Álex Grimaldo","Fouled","Jonas Hofmann","Pass (Live)","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"20","Álex Grimaldo","Leverkusen","0.02","0.00","Blocked","28","Left Foot","","Aleix García","Pass (Live)","Ezequiél Fernández","Pass (Live)","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"20","Loïc Bade","Leverkusen","0.02","0.00","Off Target","34","Right Foot","","Aleix García","Pass (Live)","Ezequiél Fernández","Pass (Live)","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"22","Ernest Poku","Leverkusen","0.05","0.22","Goal","28","Right Foot","","Aleix García","Pass (Live)","Ernest Poku","Pass (Live)","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"26","Lukas Kübler","Freiburg","0.10","0.00","Blocked","17","Right Foot","","Matthias Ginter","Pass (Live)","Philipp Treu","Pass (Live)","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"37","Christian Kofane","Leverkusen","0.04","0.00","Blocked","12","Head","","Aleix García","Pass (Live)","Arthur","Pass (Live)","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
