"minute","player","team","xg","psxg","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","squad","league","season","match_date","home_team","away_team","match_url","gameweek"
"10","Thomas Keller","Heidenheim","0.01","0.00","Blocked","29","Right Foot","","Julian Niehues","Pass (Live)","","","Heidenheim","Bundesliga","2025-2026","Saturday December 13, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Heidenheim","https://fbref.com/en/matches/11d46242/St-Pauli-Heidenheim-December-13-2025-Bundesliga","14"
"13","Marvin Pieringer","Heidenheim","0.12","0.00","Off Target","9","Head","","Adrian Beck","Pass (Live)","Marvin Pieringer","Pass (Live)","Heidenheim","Bundesliga","2025-2026","Saturday December 13, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Heidenheim","https://fbref.com/en/matches/11d46242/St-Pauli-Heidenheim-December-13-2025-Bundesliga","14"
"18","James Sands","St. Pauli","0.04","0.04","Saved","23","Right Foot","","Joel Fujita","Pass (Live)","Martijn Kaars","Pass (Live)","St. Pauli","Bundesliga","2025-2026","Saturday December 13, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Heidenheim","https://fbref.com/en/matches/11d46242/St-Pauli-Heidenheim-December-13-2025-Bundesliga","14"
"18","Mathias Pereira Lage","St. Pauli","0.21","0.00","Blocked","14","Right Foot","Deflected","Jackson Irvine","Pass (Live)","Jackson Irvine","Take-On","St. Pauli","Bundesliga","2025-2026","Saturday December 13, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Heidenheim","https://fbref.com/en/matches/11d46242/St-Pauli-Heidenheim-December-13-2025-Bundesliga","14"
"19","Mathias Pereira Lage","St. Pauli","0.11","0.21","Saved","9","Right Foot","Volley","Arkadiusz Pyrka","Pass (Live)","Joel Fujita","Pass (Live)","St. Pauli","Bundesliga","2025-2026","Saturday December 13, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Heidenheim","https://fbref.com/en/matches/11d46242/St-Pauli-Heidenheim-December-13-2025-Bundesliga","14"
"22","Jackson Irvine","St. Pauli","0.07","0.00","Off Target","17","Right Foot","","Joel Fujita","Pass (Live)","Mathias Pereira Lage","Pass (Live)","St. Pauli","Bundesliga","2025-2026","Saturday December 13, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Heidenheim","https://fbref.com/en/matches/11d46242/St-Pauli-Heidenheim-December-13-2025-Bundesliga","14"
"29","Martijn Kaars","St. Pauli","0.03","0.00","Blocked","11","Right Foot","","Joel Fujita","Pass (Live)","Arkadiusz Pyrka","Pass (Live)","St. Pauli","Bundesliga","2025-2026","Saturday December 13, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Heidenheim","https://fbref.com/en/matches/11d46242/St-Pauli-Heidenheim-December-13-2025-Bundesliga","14"
"31","Mathias Pereira Lage","St. Pauli","0.15","0.00","Off Target","10","Head","","Jackson Irvine","Pass (Live)","Louis Oppie","Pass (Live)","St. Pauli","Bundesliga","2025-2026","Saturday December 13, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Heidenheim","https://fbref.com/en/matches/11d46242/St-Pauli-Heidenheim-December-13-2025-Bundesliga","14"
"35","Martijn Kaars","St. Pauli","0.07","0.56","Goal","15","Right Foot","","Joel Fujita","Pass (Live)","Arkadiusz Pyrka","Pass (Live)","St. Pauli","Bundesliga","2025-2026","Saturday December 13, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Heidenheim","https://fbref.com/en/matches/11d46242/St-Pauli-Heidenheim-December-13-2025-Bundesliga","14"
"","","","","","","","","","","","","","","Bundesliga","2025-2026","Saturday December 13, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Heidenheim","https://fbref.com/en/matches/11d46242/St-Pauli-Heidenheim-December-13-2025-Bundesliga","14"
