"minute","player","team","xg_shot","psxg_shot","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","league","season","match_date","home_team","away_team","match_url","gameweek"
"1","Will Lankshear","Oxford United","0.11","0.00","Off Target","8","Head","","Brian De Keersmaecker","Pass (Dead)","","","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"1","Greg Leigh","Oxford United","0.53","0.00","Off Target","2","Head","","Brian De Keersmaecker","Pass (Live)","Will Lankshear","Shot","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"6","Cameron Brannagan","Oxford United","0.02","0.00","Blocked","27","Right Foot","","Will Vaulks","Pass (Live)","Przemysław Płacheta","Pass (Live)","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"10","Divin Mubama","Stoke City","0.23","0.16","Saved","12","Left Foot","","Million Manhoef","Pass (Live)","Sorba Thomas","Pass (Live)","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"10","Lewis Baker","Stoke City","0.95","0.99","Goal","3","Right Foot","","Divin Mubama","Shot","","","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"16","Stanley Mills","Oxford United","0.22","0.00","Off Target","14","Left Foot","Volley","Przemysław Płacheta","Pass (Live)","Stanley Mills","Pass (Live)","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"19","Greg Leigh","Oxford United","0.17","0.00","Off Target","7","Left Foot","Volley","Brian De Keersmaecker","Pass (Dead)","Stanley Mills","Pass (Live)","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"23","Sorba Thomas","Stoke City","0.01","0.02","Saved","32","Right Foot","","","","","","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"25","Million Manhoef","Stoke City","0.08","0.52","Saved","16","Left Foot","Deflected","Viktor Johansson","Pass (Live)","Ashley Phillips","Pass (Live)","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"28","Divin Mubama","Stoke City","0.08","0.00","Blocked","13","Right Foot","","Junior Tchamadeu","Pass (Live)","Million Manhoef","Pass (Live)","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"32","Steven Nzonzi","Stoke City","0.11","0.62","Goal","8","Right Foot","Volley","Lewis Baker","Pass (Dead)","Lewis Baker","Pass (Live)","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"38","Stanley Mills","Oxford United","0.02","0.00","Off Target","25","Left Foot","","Cameron Brannagan","Pass (Live)","Cameron Brannagan","Pass (Live)","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"43","Przemysław Płacheta","Oxford United","0.07","0.00","Off Target","16","Left Foot","","Cameron Brannagan","Pass (Live)","Sam Long","Pass (Live)","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"45","Greg Leigh","Oxford United","0.05","0.00","Blocked","11","Right Foot","Volley","Ciaron Brown","Pass (Live)","Brian De Keersmaecker","Pass (Dead)","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"47","Stanley Mills","Oxford United","0.02","0.11","Saved","45","Right Foot","","","","","","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"48","Lewis Baker","Stoke City","0.15","0.00","Blocked","16","Right Foot","","Junior Tchamadeu","Pass (Live)","Million Manhoef","Pass (Live)","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
"48","Lewis Baker","Stoke City","0.11","0.84","Goal","11","Left Foot","","Lewis Baker","Shot","","","Championship","2025-2026","Tuesday November 4, 2025, 19:45 (venue time)","Oxford United","Stoke City","https://fbref.com/en/matches/5985ae78/Oxford-United-Stoke-City-November-4-2025-Championship","14"
