"minute","player","team","xg","psxg","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","squad","league","season","match_date","home_team","away_team","match_url","gameweek"
"4","Yuki Ohashi","Blackburn","0.04","0.00","Blocked","15","Left Foot","","Yuki Ohashi","Take-On","Yuri Ribeiro","Pass (Live)","Blackburn","Championship","2025-2026","Saturday August 30, 2025, 15:00 (venue time)","Blackburn Rovers","Norwich City","https://fbref.com/en/matches/db6bd038/Blackburn-Rovers-Norwich-City-August-30-2025-Championship","4"
"4","Yuki Ohashi","Blackburn","0.17","0.00","Blocked","5","Right Foot","","Ryan Hedges","Pass (Live)","Yuri Ribeiro","Pass (Live)","Blackburn","Championship","2025-2026","Saturday August 30, 2025, 15:00 (venue time)","Blackburn Rovers","Norwich City","https://fbref.com/en/matches/db6bd038/Blackburn-Rovers-Norwich-City-August-30-2025-Championship","4"
"6","Josh Sargent","Norwich City","0.04","0.00","Blocked","8","Left Foot","","Kenny McLean","Pass (Dead)","","","Norwich City","Championship","2025-2026","Saturday August 30, 2025, 15:00 (venue time)","Blackburn Rovers","Norwich City","https://fbref.com/en/matches/db6bd038/Blackburn-Rovers-Norwich-City-August-30-2025-Championship","4"
"8","Benjamin Chrisene","Norwich City","0.02","0.00","Saved off Target","28","Left Foot","","Ante Crnac","Pass (Live)","","","Norwich City","Championship","2025-2026","Saturday August 30, 2025, 15:00 (venue time)","Blackburn Rovers","Norwich City","https://fbref.com/en/matches/db6bd038/Blackburn-Rovers-Norwich-City-August-30-2025-Championship","4"
"14","Ante Crnac","Norwich City","0.07","0.00","Blocked","26","Left Foot","","Mirko Topić","Pass (Live)","Kenny McLean","Pass (Live)","Norwich City","Championship","2025-2026","Saturday August 30, 2025, 15:00 (venue time)","Blackburn Rovers","Norwich City","https://fbref.com/en/matches/db6bd038/Blackburn-Rovers-Norwich-City-August-30-2025-Championship","4"
"15","Mathias Kvistgaarden","Norwich City","0.08","0.00","Off Target","7","Head","","Kenny McLean","Pass (Dead)","Ante Crnac","Shot","Norwich City","Championship","2025-2026","Saturday August 30, 2025, 15:00 (venue time)","Blackburn Rovers","Norwich City","https://fbref.com/en/matches/db6bd038/Blackburn-Rovers-Norwich-City-August-30-2025-Championship","4"
"16","Papa Amadou Diallo","Norwich City","0.12","0.23","Saved","5","Right Foot","","Harry Darling","Pass (Live)","","","Norwich City","Championship","2025-2026","Saturday August 30, 2025, 15:00 (venue time)","Blackburn Rovers","Norwich City","https://fbref.com/en/matches/db6bd038/Blackburn-Rovers-Norwich-City-August-30-2025-Championship","4"
"17","Ante Crnac","Norwich City","0.02","0.00","Off Target","22","Left Foot","Volley","Papa Amadou Diallo","Shot","","","Norwich City","Championship","2025-2026","Saturday August 30, 2025, 15:00 (venue time)","Blackburn Rovers","Norwich City","https://fbref.com/en/matches/db6bd038/Blackburn-Rovers-Norwich-City-August-30-2025-Championship","4"
"25","Josh Sargent","Norwich City","0.19","0.00","Off Target","5","Head","","Benjamin Chrisene","Pass (Live)","Papa Amadou Diallo","Pass (Live)","Norwich City","Championship","2025-2026","Saturday August 30, 2025, 15:00 (venue time)","Blackburn Rovers","Norwich City","https://fbref.com/en/matches/db6bd038/Blackburn-Rovers-Norwich-City-August-30-2025-Championship","4"
"30","Yuki Ohashi","Blackburn","0.01","0.00","Off Target","59","Right Foot","","Yuki Ohashi","Tackle","Yuri Ribeiro","Pass (Live)","Blackburn","Championship","2025-2026","Saturday August 30, 2025, 15:00 (venue time)","Blackburn Rovers","Norwich City","https://fbref.com/en/matches/db6bd038/Blackburn-Rovers-Norwich-City-August-30-2025-Championship","4"
