"minute","player","team","xg","psxg","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","squad","league","season","match_date","home_team","away_team","match_url","gameweek"
"8","Alexis Sánchez","Sevilla","0.14","0.21","Saved","12","Head","","Juanlu Sánchez","Pass (Live)","Lucien Agoume","Pass (Live)","Sevilla","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"19","Iker Losada","Levante","0.28","0.00","Off Target","13","Left Foot","","Pablo Martínez","Pass (Live)","Kervin Arriaga","Pass (Live)","Levante","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"38","Carlos Álvarez","Levante","0.03","0.11","Saved","32","Left Foot","Free kick","Carlos Álvarez","Fouled","Pablo Martínez","Pass (Live)","Levante","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"39","Joaquín Martínez Gauna","Sevilla","0.09","0.00","Blocked","13","Right Foot","Volley","Lucien Agoume","Pass (Live)","Alexis Sánchez","Pass (Live)","Sevilla","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"45","Djibril Sow","Sevilla","0.16","0.54","Saved","13","Left Foot","","Peque","Pass (Live)","Joaquín Martínez Gauna","Pass (Dead)","Sevilla","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"45+2","Iker Losada","Levante","0.17","0.69","Goal","14","Right Foot","","Iván Romero","Pass (Live)","Iker Losada","Pass (Live)","Levante","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"","","","","","","","","","","","","","","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"49","Juanlu Sánchez","Sevilla","0.03","0.00","Blocked","14","Right Foot","","Djibril Sow","Pass (Live)","Alexis Sánchez","Pass (Live)","Sevilla","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"51","Batista Mendy","Sevilla","0.08","0.53","Saved","22","Right Foot","","Juanlu Sánchez","Pass (Live)","Alexis Sánchez","Pass (Live)","Sevilla","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"51","Kike Salas","Sevilla","0.05","0.50","Saved","11","Left Foot","Volley","Adnan Januzaj","Pass (Dead)","Batista Mendy","Shot","Sevilla","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"52","Nemanja Gudelj","Sevilla","0.02","0.05","Saved","32","Right Foot","","Adnan Januzaj","Pass (Live)","Batista Mendy","Pass (Live)","Sevilla","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"65","Lucien Agoume","Sevilla","0.04","0.00","Off Target","11","Head","","Adnan Januzaj","Pass (Dead)","Batista Mendy","Pass (Live)","Sevilla","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"67","Adnan Januzaj","Sevilla","0.02","0.00","Blocked","21","Left Foot","","Batista Mendy","Pass (Live)","Adnan Januzaj","Pass (Live)","Sevilla","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"67","Carmona","Sevilla","0.05","0.00","Blocked","18","Left Foot","","Adnan Januzaj","Pass (Live)","Carmona","Pass (Live)","Sevilla","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"70","Pablo Martínez","Levante","0.01","0.00","Blocked","31","Right Foot","","Carlos Espí","Fouled","Iker Losada","Pass (Live)","Levante","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"74","Isaac Romero","Sevilla","0.06","0.00","Off Target","13","Left Foot","","Carmona","Pass (Live)","Kike Salas","Pass (Live)","Sevilla","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"77","Carlos Espí","Levante","0.23","0.25","Goal","17","Left Foot","","Jeremy Toljan","Pass (Live)","Carlos Álvarez","Pass (Live)","Levante","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"82","Adnan Januzaj","Sevilla","0.03","0.00","Blocked","25","Left Foot","","Batista Mendy","Pass (Live)","Nemanja Gudelj","Pass (Live)","Sevilla","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"85","Alexis Sánchez","Sevilla","0.10","0.00","Off Target","11","Head","","Adnan Januzaj","Pass (Live)","Batista Mendy","Pass (Live)","Sevilla","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"90+2","Isaac Romero (pen)","Sevilla","0.79","0.79","Saved","13","Left Foot","","Kike Salas","Fouled","Carmona","Pass (Live)","Sevilla","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"90+2","Isaac Romero","Sevilla","0.28","0.27","Saved","10","Head","","Isaac Romero","Shot","","","Sevilla","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"90+4","Carlos Álvarez","Levante","0.31","0.75","Goal","15","Left Foot","","Kervin Arriaga","Pass (Live)","Mathew Ryan","Pass (Live)","Levante","La-Liga","2025-2026","Sunday January 4, 2026, 14:00 (venue time) 13:00 (local time)","Sevilla","Levante","https://fbref.com/en/matches/99b10eae/Sevilla-Levante-January-4-2026-La-Liga","18"
"3","Federico Valverde","Real Madrid","0.02","0.00","Off Target","30","Right Foot","","Vinicius Júnior","Take-On","Aurélien Tchouaméni","Pass (Live)","Real Madrid","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"5","Vinicius Júnior","Real Madrid","0.07","0.00","Blocked","17","Right Foot","","Jude Bellingham","Pass (Live)","Vinicius Júnior","Pass (Live)","Real Madrid","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"12","Federico Valverde","Real Madrid","0.03","0.00","Blocked","33","Right Foot","Free kick","Rodrygo","Fouled","Eduardo Camavinga","Pass (Live)","Real Madrid","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"13","Eduardo Camavinga","Real Madrid","0.04","0.00","Off Target","22","Right Foot","Volley","Rodrygo","Pass (Dead)","Rodrygo","Fouled","Real Madrid","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"17","Rodrygo","Real Madrid","0.03","0.00","Saved off Target","27","Right Foot","","Jude Bellingham","Pass (Live)","Jude Bellingham","Tackle","Real Madrid","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"20","Gonzalo García","Real Madrid","0.40","0.86","Goal","3","Head","","Rodrygo","Pass (Dead)","Vinicius Júnior","Fouled","Real Madrid","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"22","Antony","Betis","0.03","0.00","Off Target","21","Left Foot","","Aitor Ruibal","Pass (Live)","Ricardo Rodríguez","Pass (Live)","Betis","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"24","Nelson Deossa","Betis","0.01","0.00","Off Target","34","Left Foot","","Antony","Pass (Live)","Nelson Deossa","Pass (Live)","Betis","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"26","Eduardo Camavinga","Real Madrid","0.09","0.00","Blocked","19","Right Foot","","Álvaro Carreras","Pass (Live)","Álvaro Carreras","Tackle","Real Madrid","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"26","Aurélien Tchouaméni","Real Madrid","0.02","0.00","Off Target","27","Right Foot","","Jude Bellingham","Pass (Live)","Eduardo Camavinga","Shot","Real Madrid","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"34","Nelson Deossa","Betis","0.04","0.00","Off Target","28","Left Foot","","Antony","Pass (Live)","Cucho","Pass (Live)","Betis","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"40","Rodrygo","Real Madrid","0.03","0.00","Off Target","13","Right Foot","","Jude Bellingham","Pass (Live)","Álvaro Carreras","Pass (Live)","Real Madrid","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"42","Cucho","Betis","0.11","0.00","Blocked","7","Head","","Ángel Ortíz","Pass (Live)","Pablo Fornals","Pass (Live)","Betis","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"44","Nelson Deossa","Betis","0.02","0.00","Off Target","25","Left Foot","Volley","","","","","Betis","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"","","","","","","","","","","","","","","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"50","Gonzalo García","Real Madrid","0.09","0.65","Goal","22","Right Foot","Volley","Federico Valverde","Pass (Live)","Jude Bellingham","Pass (Live)","Real Madrid","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"56","Raúl Asencio","Real Madrid","0.19","0.68","Goal","10","Head","","Rodrygo","Pass (Dead)","","","Real Madrid","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"58","Eduardo Camavinga","Real Madrid","0.01","0.25","Saved","26","Left Foot","","","","","","Real Madrid","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"63","Marc Roca","Betis","0.02","0.04","Saved","12","Right Foot","","Pablo Fornals","Pass (Live)","Antony","Pass (Live)","Betis","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"64","Rodrygo","Real Madrid","0.23","0.49","Saved","14","Right Foot","","Thibaut Courtois","Pass (Live)","","","Real Madrid","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"64","Aitor Ruibal","Betis","0.03","0.07","Saved","22","Right Foot","","Cucho","Pass (Live)","Pablo Fornals","Pass (Live)","Betis","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"65","Jude Bellingham","Real Madrid","0.04","0.00","Blocked","14","Right Foot","","Vinicius Júnior","Pass (Live)","","","Real Madrid","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"66","Cucho","Betis","0.48","0.99","Goal","7","Right Foot","","Cucho","Take-On","Aitor Ruibal","Pass (Live)","Betis","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"68","Rodrigo Riquelme","Betis","0.19","0.24","Saved","16","Right Foot","","Cucho","Take-On","Antony","Pass (Live)","Betis","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"70","Antony","Betis","0.07","0.05","Saved","17","Left Foot","","Rodrigo Riquelme","Pass (Live)","Giovani Lo Celso","Pass (Live)","Betis","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
"73","Aurélien Tchouaméni","Real Madrid","0.09","0.04","Saved","12","Head","","Rodrygo","Pass (Dead)","Rodrygo","Fouled","Real Madrid","La-Liga","2025-2026","Sunday January 4, 2026, 16:15 (venue time) 15:15 (local time)","Real Madrid","Real Betis","https://fbref.com/en/matches/27659606/Real-Madrid-Real-Betis-January-4-2026-La-Liga","18"
