"minute","player","team","xg_shot","psxg_shot","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","league","season","match_date","home_team","away_team","match_url","gameweek"
"12","Giovane","Hellas Verona","0.07","0.00","Blocked","24","Left Foot","","Giovane","Take-On","Suat Serdar","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"21","Giovane","Hellas Verona","0.09","0.00","Blocked","14","Left Foot","Volley","Martin Frese","Pass (Live)","Gift Orban","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"22","Fallou Cham","Hellas Verona","0.09","0.00","Off Target","17","Left Foot","","Giovane","Pass (Live)","Unai Núñez","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"28","M'Bala Nzola","Pisa","0.08","0.00","Off Target","10","Head","","Mehdi Léris","Pass (Live)","Michel Aebischer","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"31","Stefano Moreo","Pisa","0.04","0.00","Blocked","21","Left Foot","","Raúl Albiol","Pass (Live)","Michel Aebischer","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"32","Stefano Moreo","Pisa","0.08","0.00","Off Target","9","Head","","Michel Aebischer","Pass (Dead)","Stefano Moreo","Shot","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"40","Ebenezer Akinsanmiro","Pisa","0.04","0.00","Off Target","13","Right Foot","","Ebenezer Akinsanmiro","Pass (Live)","Samuele Angori","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"42","Fallou Cham","Hellas Verona","0.08","0.12","Saved","14","Right Foot","","Suat Serdar","Pass (Live)","Gift Orban","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"42","Fallou Cham","Hellas Verona","0.11","0.00","Off Target","11","Right Foot","","Fallou Cham","Shot","","","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"42","Gift Orban","Hellas Verona","0.50","0.00","Off Target","7","Head","","Fallou Cham","Shot","","","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"45+1","Unai Núñez","Hellas Verona","0.07","0.00","Off Target","11","Head","","Fallou Cham","Pass (Live)","Suat Serdar","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"","","","","","","","","","","","","","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"55","Gift Orban","Hellas Verona","0.34","0.00","Off Target","11","Right Foot","Volley","","","","","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"57","Nicolás Valentini","Hellas Verona","0.01","0.12","Saved","15","Head","","Martin Frese","Pass (Dead)","","Fouled","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"58","M'Bala Nzola","Pisa","0.09","0.00","Off Target","22","Left Foot","","M'Bala Nzola","Take-On","Raúl Albiol","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"69","Rafik Belghali","Hellas Verona","0.05","0.00","Blocked","14","Right Foot","Volley","Nicolás Valentini","Pass (Live)","Daniel Mosquera","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"69","Amin Sarr","Hellas Verona","0.06","0.00","Blocked","10","Head","","Suat Serdar","Pass (Live)","Rafik Belghali","Shot","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"69","Roberto Gagliardini","Hellas Verona","0.02","0.00","Off Target","12","Left Foot","Volley","Amin Sarr","Shot","","","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"80","Nicolás Valentini","Hellas Verona","0.01","0.00","Off Target","28","Left Foot","Volley","","","","","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"88","Yellu Santiago","Hellas Verona","0.01","0.07","Saved","30","Right Foot","Volley","Daniel Mosquera","Fouled","Roberto Gagliardini","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"89","Antonio Caracciolo","Pisa","0.04","0.00","Blocked","17","Right Foot","Volley","Simone Canestrelli","Pass (Live)","Juan Cuadrado","Pass (Dead)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"90+2","Giovanni Bonfanti","Pisa","0.13","0.00","Off Target","16","Left Foot","","Gabriele Piccinini","Pass (Live)","Michel Aebischer","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"90+4","Martin Frese","Hellas Verona","0.04","0.00","Off Target","18","Left Foot","","Yellu Santiago","Pass (Live)","Yellu Santiago","Take-On","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Pisa","Hellas Verona","https://fbref.com/en/matches/2a702242/Pisa-Hellas-Verona-October-18-2025-Serie-A","7"
"4","Ylber Ramadani","Lecce","0.06","0.00","Off Target","23","Right Foot","","Nikola Štulić","Pass (Live)","Antonino Gallo","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"13","Danilo Veiga","Lecce","0.07","0.57","Saved","12","Left Foot","","Danilo Veiga","Take-On","Santiago Pierotti","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"18","Armand Lauriente","Sassuolo","0.02","0.10","Saved","32","Right Foot","","Nemanja Matić","Pass (Live)","Armand Lauriente","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"22","Aster Vranckx","Sassuolo","0.02","0.00","Off Target","24","Left Foot","","Armand Lauriente","Pass (Live)","Filippo Romagna","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"23","Kristian Thorstvedt","Sassuolo","0.04","0.00","Off Target","10","Head","","Armand Lauriente","Pass (Dead)","Filippo Romagna","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"31","Santiago Pierotti","Lecce","0.03","0.00","Off Target","12","Head","","Medon Berisha","Pass (Dead)","Santiago Pierotti","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"35","Tete Morente","Lecce","0.06","0.00","Blocked","24","Right Foot","","Danilo Veiga","Pass (Live)","Ylber Ramadani","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"37","Nikola Štulić","Lecce","0.03","0.00","Off Target","24","Left Foot","","Lassana Coulibaly","Pass (Live)","Nikola Štulić","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"40","Medon Berisha","Lecce","0.02","0.00","Off Target","31","Right Foot","","Antonino Gallo","Pass (Live)","Ylber Ramadani","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"42","Nikola Štulić","Lecce","0.14","0.00","Blocked","11","Right Foot","","Santiago Pierotti","Pass (Live)","Kialonda","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"","","","","","","","","","","","","","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"52","Tiago Gabriel","Lecce","0.06","0.00","Blocked","10","Right Foot","Volley","Lassana Coulibaly","Pass (Live)","Medon Berisha","Pass (Dead)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"63","Domenico Berardi","Sassuolo","0.16","0.17","Saved","11","Left Foot","","Nemanja Matić","Pass (Live)","Kristian Thorstvedt","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"64","Domenico Berardi","Sassuolo","0.10","0.00","Off Target","12","Left Foot","","Domenico Berardi","Shot","","","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"66","Andrea Pinamonti","Sassuolo","0.01","0.00","Off Target","33","Right Foot","Volley","Domenico Berardi","Pass (Live)","Edoardo Iannoni","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"70","Medon Berisha","Lecce","0.03","0.00","Off Target","29","Right Foot","","Ylber Ramadani","Pass (Live)","Þórir Jóhann Helgason","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"76","Þórir Jóhann Helgason","Lecce","0.08","0.54","Saved","22","Right Foot","Deflected","Þórir Jóhann Helgason","Take-On","Ylber Ramadani","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"83","Kialonda","Lecce","0.12","0.00","Off Target","7","Head","","Medon Berisha","Pass (Dead)","Kialonda","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"90+1","Kristian Thorstvedt","Sassuolo","0.02","0.00","Blocked","15","Left Foot","","Walid Cheddira","Pass (Live)","Josh Doig","Pass (Dead)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"90+4","Walid Cheddira","Sassuolo","0.03","0.00","Blocked","16","Right Foot","","Kristian Thorstvedt","Pass (Live)","Nemanja Matić","Pass (Live)","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
"90+4","Nicholas Pierini","Sassuolo","0.03","0.00","Blocked","22","Right Foot","Volley","Walid Cheddira","Shot","","","Serie-A","2025-2026","Saturday October 18, 2025, 15:00 (venue time) 14:00 (local time)","Lecce","Sassuolo","https://fbref.com/en/matches/181b13ba/Lecce-Sassuolo-October-18-2025-Serie-A","7"
