"minute","player","team","xg","psxg","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","squad","league","season","match_date","home_team","away_team","match_url","gameweek"
"4","Brooke Norton-Cuffy","Genoa","0.04","0.00","Off Target","12","Head","","Caleb Ekuban","Pass (Live)","Aarón Martín","Pass (Live)","Genoa","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17"
"14","Matìas Soulé","Roma","0.11","0.28","Goal","12","Left Foot","Deflected","","","","","Roma","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17"
"17","Evan Ferguson","Roma","0.02","0.07","Saved","17","Right Foot","Volley","Gianluca Mancini","Pass (Live)","Zeki Çelik","Pass (Live)","Roma","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17"
"19","Manu Koné","Roma","0.19","0.73","Goal","15","Right Foot","Deflected","Evan Ferguson","Pass (Live)","Gianluca Mancini","Pass (Live)","Roma","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17"
"22","Aarón Martín","Genoa","0.05","0.00","Blocked","30","Left Foot","Free kick","Morten Frendrup","Fouled","Morten Frendrup","Pass (Live)","Genoa","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17"
"31","Matìas Soulé","Roma","0.05","0.15","Saved","13","Left Foot","","","","","","Roma","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17"
"31","Evan Ferguson","Roma","0.44","0.55","Goal","10","Left Foot","","Matìas Soulé","Shot","","","Roma","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17"
"37","Paulo Dybala","Roma","0.02","0.00","Off Target","18","Left Foot","","Wesley","Pass (Live)","Bryan Cristante","Pass (Live)","Roma","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17"
"38","Manu Koné","Roma","0.18","0.00","Blocked","12","Right Foot","","Matìas Soulé","Pass (Live)","Zeki Çelik","Pass (Live)","Roma","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17"
"41","Vitinha","Genoa","0.07","0.00","Off Target","18","Right Foot","","","","","","Genoa","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17"
