"league","season","match_date","gameweek","home_team","away_team","team","player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","match_url","venue"
"Bundesliga","2025-2026","Friday October 3, 2025, 20:30 (venue time) 19:30 (local time)","6","Hoffenheim","Köln","Hoffenheim","Tim Lemperle","19","de GER","FW","23-240","63","0","0","0","0","1","0","0","0","24","1","0","0","0.1","0.1","0.2","5","0","14","19","73.7","0","12","1","1","1","/en/players/792ffa71/Tim-Lemperle","https://fbref.com/en/matches/a3d6d7e4/Hoffenheim-Koln-October-3-2025-Bundesliga","PreZero Arena"
"Bundesliga","2025-2026","Friday October 3, 2025, 20:30 (venue time) 19:30 (local time)","6","Hoffenheim","Köln","Hoffenheim","Ihlas Bebou","9","tg TOG","FW","31-163","27","0","0","0","0","0","0","0","0","5","0","0","0","0.0","0.0","0.0","0","0","1","2","50.0","0","4","0","0","0","/en/players/a53b661f/Ihlas-Bebou","https://fbref.com/en/matches/a3d6d7e4/Hoffenheim-Koln-October-3-2025-Bundesliga","PreZero Arena"
"Bundesliga","2025-2026","Friday October 3, 2025, 20:30 (venue time) 19:30 (local time)","6","Hoffenheim","Köln","Hoffenheim","Bazoumana Touré","29","ci CIV","LW","19-215","90","0","0","0","0","5","1","1","0","64","1","0","0","0.5","0.5","0.0","3","0","30","46","65.2","4","40","7","5","1","/en/players/93945a50/Bazoumana-Toure","https://fbref.com/en/matches/a3d6d7e4/Hoffenheim-Koln-October-3-2025-Bundesliga","PreZero Arena"
"Bundesliga","2025-2026","Friday October 3, 2025, 20:30 (venue time) 19:30 (local time)","6","Hoffenheim","Köln","Hoffenheim","Muhammed Damar","10","de GER","RW","21-177","69","0","0","0","0","3","1","0","0","49","1","1","0","0.2","0.2","0.1","3","0","29","41","70.7","2","30","0","2","1","/en/players/d3d77413/Muhammed-Damar","https://fbref.com/en/matches/a3d6d7e4/Hoffenheim-Koln-October-3-2025-Bundesliga","PreZero Arena"
"Bundesliga","2025-2026","Friday October 3, 2025, 20:30 (venue time) 19:30 (local time)","6","Hoffenheim","Köln","Hoffenheim","Andrej Kramarić","27","hr CRO","RW","34-106","21","0","0","0","0","1","1","0","0","19","0","0","0","0.1","0.1","0.0","0","0","14","18","77.8","0","9","1","1","1","/en/players/603cb947/Andrej-Kramaric","https://fbref.com/en/matches/a3d6d7e4/Hoffenheim-Koln-October-3-2025-Bundesliga","PreZero Arena"
"Bundesliga","2025-2026","Friday October 3, 2025, 20:30 (venue time) 19:30 (local time)","6","Hoffenheim","Köln","Hoffenheim","Fisnik Asllani","11","xk KVX","AM","23-056","69","0","0","0","0","3","1","0","0","31","0","0","0","0.1","0.1","0.4","2","0","17","22","77.3","3","16","1","2","1","/en/players/35f67a30/Fisnik-Asllani","https://fbref.com/en/matches/a3d6d7e4/Hoffenheim-Koln-October-3-2025-Bundesliga","PreZero Arena"
"Bundesliga","2025-2026","Friday October 3, 2025, 20:30 (venue time) 19:30 (local time)","6","Hoffenheim","Köln","Hoffenheim","Max Moerstedt","33","de GER","AM","19-261","21","0","0","0","0","0","0","0","0","12","1","0","0","0.0","0.0","0.0","0","0","7","8","87.5","1","4","0","0","0","/en/players/710045fb/Max-Moerstedt","https://fbref.com/en/matches/a3d6d7e4/Hoffenheim-Koln-October-3-2025-Bundesliga","PreZero Arena"
"Bundesliga","2025-2026","Friday October 3, 2025, 20:30 (venue time) 19:30 (local time)","6","Hoffenheim","Köln","Hoffenheim","Wouter Burger","18","nl NED","DM","24-229","90","0","0","0","0","0","0","1","0","57","1","1","0","0.0","0.0","0.0","3","0","34","46","73.9","7","28","1","1","0","/en/players/fc571dff/Wouter-Burger","https://fbref.com/en/matches/a3d6d7e4/Hoffenheim-Koln-October-3-2025-Bundesliga","PreZero Arena"
"Bundesliga","2025-2026","Friday October 3, 2025, 20:30 (venue time) 19:30 (local time)","6","Hoffenheim","Köln","Hoffenheim","Leon Avdullahu","7","xk KVX","DM","21-222","63","0","0","0","0","0","0","0","0","39","1","0","0","0.0","0.0","0.0","3","0","34","36","94.4","5","25","0","1","1","/en/players/65772516/Leon-Avdullahu","https://fbref.com/en/matches/a3d6d7e4/Hoffenheim-Koln-October-3-2025-Bundesliga","PreZero Arena"
"Bundesliga","2025-2026","Friday October 3, 2025, 20:30 (venue time) 19:30 (local time)","6","Hoffenheim","Köln","Hoffenheim","Grischa Prömel","6","de GER","DM","30-267","27","0","0","0","0","1","0","0","0","23","1","0","0","0.1","0.1","0.0","0","0","18","18","100.0","1","14","0","0","0","/en/players/924f9191/Grischa-Promel","https://fbref.com/en/matches/a3d6d7e4/Hoffenheim-Koln-October-3-2025-Bundesliga","PreZero Arena"
